engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,L5,6idx,P,00,1,0.236347,200
sqlite,100M,L5,6idx,P,00,2,0.237340,200
sqlite,100M,L5,6idx,P,00,3,0.235525,200
sqlite,100M,L5,6idx,P,00,4,0.226838,200
sqlite,100M,L5,6idx,P,00,5,0.224928,200
sqlite,100M,L5,6idx,P,01,1,48.706305,200
sqlite,100M,L5,6idx,P,01,2,0.334631,200
sqlite,100M,L5,6idx,P,01,3,0.345664,200
sqlite,100M,L5,6idx,P,01,4,0.340783,200
sqlite,100M,L5,6idx,P,01,5,0.334554,200
sqlite,100M,L5,6idx,P,02,1,0.336025,200
sqlite,100M,L5,6idx,P,02,2,0.332548,200
sqlite,100M,L5,6idx,P,02,3,0.335793,200
sqlite,100M,L5,6idx,P,02,4,0.343252,200
sqlite,100M,L5,6idx,P,02,5,0.335977,200
sqlite,100M,L5,6idx,P,03,1,22.584257,200
sqlite,100M,L5,6idx,P,03,2,0.276701,200
sqlite,100M,L5,6idx,P,03,3,0.275344,200
sqlite,100M,L5,6idx,P,03,4,0.268444,200
sqlite,100M,L5,6idx,P,03,5,0.277403,200
sqlite,100M,L5,6idx,P,04,1,5.850007,200
sqlite,100M,L5,6idx,P,04,2,0.222190,200
sqlite,100M,L5,6idx,P,04,3,0.236810,200
sqlite,100M,L5,6idx,P,04,4,0.238012,200
sqlite,100M,L5,6idx,P,04,5,0.223705,200
sqlite,100M,L5,6idx,P,05,1,13.930774,200
sqlite,100M,L5,6idx,P,05,2,0.259976,200
sqlite,100M,L5,6idx,P,05,3,0.241123,200
sqlite,100M,L5,6idx,P,05,4,0.253010,200
sqlite,100M,L5,6idx,P,05,5,0.252617,200
sqlite,100M,L5,6idx,P,06,1,0.340310,200
sqlite,100M,L5,6idx,P,06,2,0.352917,200
sqlite,100M,L5,6idx,P,06,3,0.333931,200
sqlite,100M,L5,6idx,P,06,4,0.337235,200
sqlite,100M,L5,6idx,P,06,5,0.342579,200
sqlite,100M,L5,6idx,P,07,1,0.338880,200
sqlite,100M,L5,6idx,P,07,2,0.332537,200
sqlite,100M,L5,6idx,P,07,3,0.349426,200
sqlite,100M,L5,6idx,P,07,4,0.346548,200
sqlite,100M,L5,6idx,P,07,5,0.349131,200
sqlite,100M,L5,6idx,P,08,1,0.349447,200
sqlite,100M,L5,6idx,P,08,2,0.335265,200
sqlite,100M,L5,6idx,P,08,3,0.335070,200
sqlite,100M,L5,6idx,P,08,4,0.346296,200
sqlite,100M,L5,6idx,P,08,5,0.350065,200
sqlite,100M,L5,6idx,P,09,1,0.270674,200
sqlite,100M,L5,6idx,P,09,2,0.263907,200
sqlite,100M,L5,6idx,P,09,3,0.281678,200
sqlite,100M,L5,6idx,P,09,4,0.277573,200
sqlite,100M,L5,6idx,P,09,5,0.263416,200
