engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S1,6idx,P,00,1,1.278569,200
sqlite,100M,S1,6idx,P,00,2,1.286325,200
sqlite,100M,S1,6idx,P,00,3,1.272453,200
sqlite,100M,S1,6idx,P,00,4,1.286257,200
sqlite,100M,S1,6idx,P,00,5,1.274945,200
sqlite,100M,S1,6idx,P,01,1,1.322445,200
sqlite,100M,S1,6idx,P,01,2,1.299224,200
sqlite,100M,S1,6idx,P,01,3,1.283055,200
sqlite,100M,S1,6idx,P,01,4,1.283942,200
sqlite,100M,S1,6idx,P,01,5,1.281352,200
sqlite,100M,S1,6idx,P,02,1,1.394276,200
sqlite,100M,S1,6idx,P,02,2,1.333360,200
sqlite,100M,S1,6idx,P,02,3,1.355714,200
sqlite,100M,S1,6idx,P,02,4,1.339672,200
sqlite,100M,S1,6idx,P,02,5,1.343864,200
sqlite,100M,S1,6idx,P,03,1,1.409479,200
sqlite,100M,S1,6idx,P,03,2,1.317819,200
sqlite,100M,S1,6idx,P,03,3,1.322279,200
sqlite,100M,S1,6idx,P,03,4,1.318743,200
sqlite,100M,S1,6idx,P,03,5,1.313008,200
sqlite,100M,S1,6idx,P,04,1,2.048798,200
sqlite,100M,S1,6idx,P,04,2,1.317763,200
sqlite,100M,S1,6idx,P,04,3,1.308892,200
sqlite,100M,S1,6idx,P,04,4,1.314964,200
sqlite,100M,S1,6idx,P,04,5,1.314618,200
sqlite,100M,S1,6idx,P,05,1,1.348664,200
sqlite,100M,S1,6idx,P,05,2,1.305430,200
sqlite,100M,S1,6idx,P,05,3,1.308180,200
sqlite,100M,S1,6idx,P,05,4,1.315251,200
sqlite,100M,S1,6idx,P,05,5,1.299264,200
sqlite,100M,S1,6idx,P,06,1,1.317558,200
sqlite,100M,S1,6idx,P,06,2,1.289167,200
sqlite,100M,S1,6idx,P,06,3,1.280404,200
sqlite,100M,S1,6idx,P,06,4,1.293572,200
sqlite,100M,S1,6idx,P,06,5,1.284694,200
sqlite,100M,S1,6idx,P,07,1,1.371896,200
sqlite,100M,S1,6idx,P,07,2,1.292566,200
sqlite,100M,S1,6idx,P,07,3,1.289369,200
sqlite,100M,S1,6idx,P,07,4,1.295145,200
sqlite,100M,S1,6idx,P,07,5,1.288182,200
sqlite,100M,S1,6idx,P,08,1,1.289688,200
sqlite,100M,S1,6idx,P,08,2,1.237692,200
sqlite,100M,S1,6idx,P,08,3,1.261699,200
sqlite,100M,S1,6idx,P,08,4,1.239947,200
sqlite,100M,S1,6idx,P,08,5,1.253894,200
sqlite,100M,S1,6idx,P,09,1,1.354724,200
sqlite,100M,S1,6idx,P,09,2,1.287809,200
sqlite,100M,S1,6idx,P,09,3,1.289091,200
sqlite,100M,S1,6idx,P,09,4,1.263278,200
sqlite,100M,S1,6idx,P,09,5,1.272041,200
