engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S2,pso,B,00,1,9.254751,200
sqlite,100M,S2,pso,B,00,2,0.520980,200
sqlite,100M,S2,pso,B,00,3,0.522152,200
sqlite,100M,S2,pso,B,00,4,0.523546,200
sqlite,100M,S2,pso,B,00,5,0.515344,200
sqlite,100M,S2,pso,B,01,1,7.917155,200
sqlite,100M,S2,pso,B,01,2,0.523833,200
sqlite,100M,S2,pso,B,01,3,0.527277,200
sqlite,100M,S2,pso,B,01,4,0.521504,200
sqlite,100M,S2,pso,B,01,5,0.513381,200
sqlite,100M,S2,pso,B,02,1,6.016622,200
sqlite,100M,S2,pso,B,02,2,0.519248,200
sqlite,100M,S2,pso,B,02,3,0.515856,200
sqlite,100M,S2,pso,B,02,4,0.524646,200
sqlite,100M,S2,pso,B,02,5,0.515762,200
sqlite,100M,S2,pso,B,03,1,10.721701,200
sqlite,100M,S2,pso,B,03,2,0.520134,200
sqlite,100M,S2,pso,B,03,3,0.533974,200
sqlite,100M,S2,pso,B,03,4,0.534331,200
sqlite,100M,S2,pso,B,03,5,0.532168,200
sqlite,100M,S2,pso,B,04,1,16.827956,200
sqlite,100M,S2,pso,B,04,2,0.544949,200
sqlite,100M,S2,pso,B,04,3,0.528065,200
sqlite,100M,S2,pso,B,04,4,0.538811,200
sqlite,100M,S2,pso,B,04,5,0.535084,200
sqlite,100M,S2,pso,B,05,1,6.156906,200
sqlite,100M,S2,pso,B,05,2,0.525713,200
sqlite,100M,S2,pso,B,05,3,0.522840,200
sqlite,100M,S2,pso,B,05,4,0.521609,200
sqlite,100M,S2,pso,B,05,5,0.520864,200
sqlite,100M,S2,pso,B,06,1,17.103629,200
sqlite,100M,S2,pso,B,06,2,0.555493,200
sqlite,100M,S2,pso,B,06,3,0.561331,200
sqlite,100M,S2,pso,B,06,4,0.557580,200
sqlite,100M,S2,pso,B,06,5,0.552430,200
sqlite,100M,S2,pso,B,07,1,14.958983,200
sqlite,100M,S2,pso,B,07,2,0.550270,200
sqlite,100M,S2,pso,B,07,3,0.552346,200
sqlite,100M,S2,pso,B,07,4,0.552792,200
sqlite,100M,S2,pso,B,07,5,0.556550,200
sqlite,100M,S2,pso,B,08,1,5.756197,200
sqlite,100M,S2,pso,B,08,2,0.528095,200
sqlite,100M,S2,pso,B,08,3,0.532968,200
sqlite,100M,S2,pso,B,08,4,0.529765,200
sqlite,100M,S2,pso,B,08,5,0.526864,200
sqlite,100M,S2,pso,B,09,1,5.481971,200
sqlite,100M,S2,pso,B,09,2,0.531391,200
sqlite,100M,S2,pso,B,09,3,0.535845,200
sqlite,100M,S2,pso,B,09,4,0.537602,200
sqlite,100M,S2,pso,B,09,5,0.534061,200
