engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S2,pso,P,00,1,0.602902,200
sqlite,100M,S2,pso,P,00,2,0.525603,200
sqlite,100M,S2,pso,P,00,3,0.532913,200
sqlite,100M,S2,pso,P,00,4,0.540548,200
sqlite,100M,S2,pso,P,00,5,0.534817,200
sqlite,100M,S2,pso,P,01,1,0.970366,200
sqlite,100M,S2,pso,P,01,2,0.543102,200
sqlite,100M,S2,pso,P,01,3,0.534555,200
sqlite,100M,S2,pso,P,01,4,0.524074,200
sqlite,100M,S2,pso,P,01,5,0.535332,200
sqlite,100M,S2,pso,P,02,1,0.997051,200
sqlite,100M,S2,pso,P,02,2,0.529411,200
sqlite,100M,S2,pso,P,02,3,0.529181,200
sqlite,100M,S2,pso,P,02,4,0.524503,200
sqlite,100M,S2,pso,P,02,5,0.539142,200
sqlite,100M,S2,pso,P,03,1,1.129551,200
sqlite,100M,S2,pso,P,03,2,0.549644,200
sqlite,100M,S2,pso,P,03,3,0.535230,200
sqlite,100M,S2,pso,P,03,4,0.533069,200
sqlite,100M,S2,pso,P,03,5,0.550896,200
sqlite,100M,S2,pso,P,04,1,3.327398,200
sqlite,100M,S2,pso,P,04,2,0.561518,200
sqlite,100M,S2,pso,P,04,3,0.560476,200
sqlite,100M,S2,pso,P,04,4,0.554101,200
sqlite,100M,S2,pso,P,04,5,0.545963,200
sqlite,100M,S2,pso,P,05,1,1.140445,200
sqlite,100M,S2,pso,P,05,2,0.538618,200
sqlite,100M,S2,pso,P,05,3,0.526309,200
sqlite,100M,S2,pso,P,05,4,0.542280,200
sqlite,100M,S2,pso,P,05,5,0.531357,200
sqlite,100M,S2,pso,P,06,1,2.105972,200
sqlite,100M,S2,pso,P,06,2,0.579222,200
sqlite,100M,S2,pso,P,06,3,0.565586,200
sqlite,100M,S2,pso,P,06,4,0.579433,200
sqlite,100M,S2,pso,P,06,5,0.573962,200
sqlite,100M,S2,pso,P,07,1,2.690428,200
sqlite,100M,S2,pso,P,07,2,0.573090,200
sqlite,100M,S2,pso,P,07,3,0.553897,200
sqlite,100M,S2,pso,P,07,4,0.555276,200
sqlite,100M,S2,pso,P,07,5,0.580813,200
sqlite,100M,S2,pso,P,08,1,1.252468,200
sqlite,100M,S2,pso,P,08,2,0.533578,200
sqlite,100M,S2,pso,P,08,3,0.533974,200
sqlite,100M,S2,pso,P,08,4,0.535201,200
sqlite,100M,S2,pso,P,08,5,0.542405,200
sqlite,100M,S2,pso,P,09,1,1.474067,200
sqlite,100M,S2,pso,P,09,2,0.548836,200
sqlite,100M,S2,pso,P,09,3,0.542603,200
sqlite,100M,S2,pso,P,09,4,0.550709,200
sqlite,100M,S2,pso,P,09,5,0.538788,200
