engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S4,spo,B,00,1,38.647965,200
sqlite,100M,S4,spo,B,00,2,38.403954,200
sqlite,100M,S4,spo,B,00,3,38.168791,200
sqlite,100M,S4,spo,B,00,4,35.146679,200
sqlite,100M,S4,spo,B,00,5,38.212327,200
sqlite,100M,S4,spo,B,01,1,38.301967,200
sqlite,100M,S4,spo,B,01,2,38.014243,200
sqlite,100M,S4,spo,B,01,3,37.821563,200
sqlite,100M,S4,spo,B,01,4,37.700907,200
sqlite,100M,S4,spo,B,01,5,37.996045,200
sqlite,100M,S4,spo,B,02,1,38.722188,200
sqlite,100M,S4,spo,B,02,2,38.533720,200
sqlite,100M,S4,spo,B,02,3,37.695391,200
sqlite,100M,S4,spo,B,02,4,35.117791,200
sqlite,100M,S4,spo,B,02,5,38.796079,200
sqlite,100M,S4,spo,B,03,1,37.968454,200
sqlite,100M,S4,spo,B,03,2,38.440912,200
sqlite,100M,S4,spo,B,03,3,38.639044,200
sqlite,100M,S4,spo,B,03,4,37.830082,200
sqlite,100M,S4,spo,B,03,5,38.097691,200
sqlite,100M,S4,spo,B,04,1,35.046568,200
sqlite,100M,S4,spo,B,04,2,35.266160,200
sqlite,100M,S4,spo,B,04,3,37.491841,200
sqlite,100M,S4,spo,B,04,4,35.233729,200
sqlite,100M,S4,spo,B,04,5,38.274059,200
sqlite,100M,S4,spo,B,05,1,25.249034,200
sqlite,100M,S4,spo,B,05,2,24.888738,200
sqlite,100M,S4,spo,B,05,3,24.602402,200
sqlite,100M,S4,spo,B,05,4,24.497106,200
sqlite,100M,S4,spo,B,05,5,24.813626,200
sqlite,100M,S4,spo,B,06,1,24.409605,200
sqlite,100M,S4,spo,B,06,2,24.910574,200
sqlite,100M,S4,spo,B,06,3,25.035634,200
sqlite,100M,S4,spo,B,06,4,24.929939,200
sqlite,100M,S4,spo,B,06,5,24.668962,200
sqlite,100M,S4,spo,B,07,1,10.712207,200
sqlite,100M,S4,spo,B,07,2,10.623358,200
sqlite,100M,S4,spo,B,07,3,10.558243,200
sqlite,100M,S4,spo,B,07,4,10.745388,200
sqlite,100M,S4,spo,B,07,5,10.669757,200
sqlite,100M,S4,spo,B,08,1,37.826392,200
sqlite,100M,S4,spo,B,08,2,37.642633,200
sqlite,100M,S4,spo,B,08,3,37.904005,200
sqlite,100M,S4,spo,B,08,4,38.337309,200
sqlite,100M,S4,spo,B,08,5,38.356251,200
sqlite,100M,S4,spo,B,09,1,26.336082,200
sqlite,100M,S4,spo,B,09,2,22.993273,200
sqlite,100M,S4,spo,B,09,3,25.140264,200
sqlite,100M,S4,spo,B,09,4,25.295914,200
sqlite,100M,S4,spo,B,09,5,22.974173,200
