engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S6,6idx,B,00,1,0.050439,200
sqlite,100M,S6,6idx,B,00,2,0.051287,200
sqlite,100M,S6,6idx,B,00,3,0.049017,200
sqlite,100M,S6,6idx,B,00,4,0.051688,200
sqlite,100M,S6,6idx,B,00,5,0.049088,200
sqlite,100M,S6,6idx,B,01,1,0.051122,200
sqlite,100M,S6,6idx,B,01,2,0.051647,200
sqlite,100M,S6,6idx,B,01,3,0.049975,200
sqlite,100M,S6,6idx,B,01,4,0.051786,200
sqlite,100M,S6,6idx,B,01,5,0.049928,200
sqlite,100M,S6,6idx,B,02,1,0.049464,200
sqlite,100M,S6,6idx,B,02,2,0.052065,200
sqlite,100M,S6,6idx,B,02,3,0.048841,200
sqlite,100M,S6,6idx,B,02,4,0.049015,200
sqlite,100M,S6,6idx,B,02,5,0.050689,200
sqlite,100M,S6,6idx,B,03,1,0.049473,200
sqlite,100M,S6,6idx,B,03,2,0.052209,200
sqlite,100M,S6,6idx,B,03,3,0.050576,200
sqlite,100M,S6,6idx,B,03,4,0.052245,200
sqlite,100M,S6,6idx,B,03,5,0.052302,200
sqlite,100M,S6,6idx,B,04,1,0.049423,200
sqlite,100M,S6,6idx,B,04,2,0.048864,200
sqlite,100M,S6,6idx,B,04,3,0.048381,200
sqlite,100M,S6,6idx,B,04,4,0.050053,200
sqlite,100M,S6,6idx,B,04,5,0.051395,200
sqlite,100M,S6,6idx,B,05,1,0.051905,200
sqlite,100M,S6,6idx,B,05,2,0.049082,200
sqlite,100M,S6,6idx,B,05,3,0.049103,200
sqlite,100M,S6,6idx,B,05,4,0.049370,200
sqlite,100M,S6,6idx,B,05,5,0.052871,200
sqlite,100M,S6,6idx,B,06,1,0.049803,200
sqlite,100M,S6,6idx,B,06,2,0.051335,200
sqlite,100M,S6,6idx,B,06,3,0.049951,200
sqlite,100M,S6,6idx,B,06,4,0.052760,200
sqlite,100M,S6,6idx,B,06,5,0.051833,200
sqlite,100M,S6,6idx,B,07,1,0.050774,200
sqlite,100M,S6,6idx,B,07,2,0.050871,200
sqlite,100M,S6,6idx,B,07,3,0.052108,200
sqlite,100M,S6,6idx,B,07,4,0.051226,200
sqlite,100M,S6,6idx,B,07,5,0.051076,200
sqlite,100M,S6,6idx,B,08,1,0.048591,200
sqlite,100M,S6,6idx,B,08,2,0.048938,200
sqlite,100M,S6,6idx,B,08,3,0.048752,200
sqlite,100M,S6,6idx,B,08,4,0.049880,200
sqlite,100M,S6,6idx,B,08,5,0.051721,200
sqlite,100M,S6,6idx,B,09,1,0.050399,200
sqlite,100M,S6,6idx,B,09,2,0.052008,200
sqlite,100M,S6,6idx,B,09,3,0.049333,200
sqlite,100M,S6,6idx,B,09,4,0.050222,200
sqlite,100M,S6,6idx,B,09,5,0.048526,200
