engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S7,spo,P,00,1,5.715629,200
sqlite,100M,S7,spo,P,00,2,5.757231,200
sqlite,100M,S7,spo,P,00,3,5.804481,200
sqlite,100M,S7,spo,P,00,4,5.764981,200
sqlite,100M,S7,spo,P,00,5,5.702520,200
sqlite,100M,S7,spo,P,01,1,5.711710,200
sqlite,100M,S7,spo,P,01,2,5.680625,200
sqlite,100M,S7,spo,P,01,3,5.854164,200
sqlite,100M,S7,spo,P,01,4,5.764468,200
sqlite,100M,S7,spo,P,01,5,5.697109,200
sqlite,100M,S7,spo,P,02,1,5.790295,200
sqlite,100M,S7,spo,P,02,2,5.718777,200
sqlite,100M,S7,spo,P,02,3,5.739109,200
sqlite,100M,S7,spo,P,02,4,5.772242,200
sqlite,100M,S7,spo,P,02,5,5.738739,200
sqlite,100M,S7,spo,P,03,1,5.762539,200
sqlite,100M,S7,spo,P,03,2,5.743557,200
sqlite,100M,S7,spo,P,03,3,5.792153,200
sqlite,100M,S7,spo,P,03,4,5.756268,200
sqlite,100M,S7,spo,P,03,5,5.842047,200
sqlite,100M,S7,spo,P,04,1,5.748946,200
sqlite,100M,S7,spo,P,04,2,5.769906,200
sqlite,100M,S7,spo,P,04,3,5.776803,200
sqlite,100M,S7,spo,P,04,4,5.773889,200
sqlite,100M,S7,spo,P,04,5,5.728222,200
sqlite,100M,S7,spo,P,05,1,5.762448,200
sqlite,100M,S7,spo,P,05,2,5.696179,200
sqlite,100M,S7,spo,P,05,3,5.653261,200
sqlite,100M,S7,spo,P,05,4,5.699883,200
sqlite,100M,S7,spo,P,05,5,5.690000,200
sqlite,100M,S7,spo,P,06,1,5.784285,200
sqlite,100M,S7,spo,P,06,2,5.741356,200
sqlite,100M,S7,spo,P,06,3,5.748131,200
sqlite,100M,S7,spo,P,06,4,5.732226,200
sqlite,100M,S7,spo,P,06,5,5.673834,200
sqlite,100M,S7,spo,P,07,1,5.730764,200
sqlite,100M,S7,spo,P,07,2,5.793736,200
sqlite,100M,S7,spo,P,07,3,5.737314,200
sqlite,100M,S7,spo,P,07,4,5.744874,200
sqlite,100M,S7,spo,P,07,5,5.722306,200
sqlite,100M,S7,spo,P,08,1,5.786895,200
sqlite,100M,S7,spo,P,08,2,5.649520,200
sqlite,100M,S7,spo,P,08,3,5.711234,200
sqlite,100M,S7,spo,P,08,4,5.732005,200
sqlite,100M,S7,spo,P,08,5,5.661447,200
sqlite,100M,S7,spo,P,09,1,5.752199,200
sqlite,100M,S7,spo,P,09,2,5.614499,200
sqlite,100M,S7,spo,P,09,3,5.722304,200
sqlite,100M,S7,spo,P,09,4,5.675559,200
sqlite,100M,S7,spo,P,09,5,5.637587,200
