engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S7,vp,B,00,1,1.100593,200
sqlite,100M,S7,vp,B,00,2,0.841762,200
sqlite,100M,S7,vp,B,00,3,0.820054,200
sqlite,100M,S7,vp,B,00,4,0.839834,200
sqlite,100M,S7,vp,B,00,5,0.847080,200
sqlite,100M,S7,vp,B,01,1,0.830828,200
sqlite,100M,S7,vp,B,01,2,0.841452,200
sqlite,100M,S7,vp,B,01,3,0.844748,200
sqlite,100M,S7,vp,B,01,4,0.839885,200
sqlite,100M,S7,vp,B,01,5,0.842783,200
sqlite,100M,S7,vp,B,02,1,0.843311,200
sqlite,100M,S7,vp,B,02,2,0.842648,200
sqlite,100M,S7,vp,B,02,3,0.841303,200
sqlite,100M,S7,vp,B,02,4,0.848476,200
sqlite,100M,S7,vp,B,02,5,0.824234,200
sqlite,100M,S7,vp,B,03,1,0.841611,200
sqlite,100M,S7,vp,B,03,2,0.839187,200
sqlite,100M,S7,vp,B,03,3,0.826905,200
sqlite,100M,S7,vp,B,03,4,0.843372,200
sqlite,100M,S7,vp,B,03,5,0.841554,200
sqlite,100M,S7,vp,B,04,1,0.833604,200
sqlite,100M,S7,vp,B,04,2,0.843147,200
sqlite,100M,S7,vp,B,04,3,0.835050,200
sqlite,100M,S7,vp,B,04,4,0.847524,200
sqlite,100M,S7,vp,B,04,5,0.848092,200
sqlite,100M,S7,vp,B,05,1,0.830561,200
sqlite,100M,S7,vp,B,05,2,0.845530,200
sqlite,100M,S7,vp,B,05,3,0.827235,200
sqlite,100M,S7,vp,B,05,4,0.855530,200
sqlite,100M,S7,vp,B,05,5,0.828433,200
sqlite,100M,S7,vp,B,06,1,0.851486,200
sqlite,100M,S7,vp,B,06,2,0.853644,200
sqlite,100M,S7,vp,B,06,3,0.849372,200
sqlite,100M,S7,vp,B,06,4,0.849336,200
sqlite,100M,S7,vp,B,06,5,0.852069,200
sqlite,100M,S7,vp,B,07,1,0.843249,200
sqlite,100M,S7,vp,B,07,2,0.826586,200
sqlite,100M,S7,vp,B,07,3,0.832067,200
sqlite,100M,S7,vp,B,07,4,0.848145,200
sqlite,100M,S7,vp,B,07,5,0.850253,200
sqlite,100M,S7,vp,B,08,1,0.825691,200
sqlite,100M,S7,vp,B,08,2,0.828256,200
sqlite,100M,S7,vp,B,08,3,0.845726,200
sqlite,100M,S7,vp,B,08,4,0.841202,200
sqlite,100M,S7,vp,B,08,5,0.852851,200
sqlite,100M,S7,vp,B,09,1,0.828833,200
sqlite,100M,S7,vp,B,09,2,0.840112,200
sqlite,100M,S7,vp,B,09,3,0.838089,200
sqlite,100M,S7,vp,B,09,4,0.843837,200
sqlite,100M,S7,vp,B,09,5,0.838797,200
