engine,size,template,scheme,mode,query_id,repetition,time,status
sqlite,100M,S7,vp,P,00,1,0.866391,200
sqlite,100M,S7,vp,P,00,2,0.827378,200
sqlite,100M,S7,vp,P,00,3,0.843308,200
sqlite,100M,S7,vp,P,00,4,0.841430,200
sqlite,100M,S7,vp,P,00,5,0.838877,200
sqlite,100M,S7,vp,P,01,1,0.825730,200
sqlite,100M,S7,vp,P,01,2,0.840056,200
sqlite,100M,S7,vp,P,01,3,0.840933,200
sqlite,100M,S7,vp,P,01,4,0.842063,200
sqlite,100M,S7,vp,P,01,5,0.839558,200
sqlite,100M,S7,vp,P,02,1,0.845304,200
sqlite,100M,S7,vp,P,02,2,0.841652,200
sqlite,100M,S7,vp,P,02,3,0.843346,200
sqlite,100M,S7,vp,P,02,4,0.843923,200
sqlite,100M,S7,vp,P,02,5,0.827370,200
sqlite,100M,S7,vp,P,03,1,0.828870,200
sqlite,100M,S7,vp,P,03,2,0.837644,200
sqlite,100M,S7,vp,P,03,3,0.842900,200
sqlite,100M,S7,vp,P,03,4,0.827719,200
sqlite,100M,S7,vp,P,03,5,0.853673,200
sqlite,100M,S7,vp,P,04,1,0.825287,200
sqlite,100M,S7,vp,P,04,2,0.846225,200
sqlite,100M,S7,vp,P,04,3,0.856624,200
sqlite,100M,S7,vp,P,04,4,0.849286,200
sqlite,100M,S7,vp,P,04,5,0.857052,200
sqlite,100M,S7,vp,P,05,1,0.842261,200
sqlite,100M,S7,vp,P,05,2,0.842629,200
sqlite,100M,S7,vp,P,05,3,0.853584,200
sqlite,100M,S7,vp,P,05,4,0.852260,200
sqlite,100M,S7,vp,P,05,5,0.827176,200
sqlite,100M,S7,vp,P,06,1,0.848034,200
sqlite,100M,S7,vp,P,06,2,0.848310,200
sqlite,100M,S7,vp,P,06,3,0.858800,200
sqlite,100M,S7,vp,P,06,4,0.851979,200
sqlite,100M,S7,vp,P,06,5,0.837123,200
sqlite,100M,S7,vp,P,07,1,0.839801,200
sqlite,100M,S7,vp,P,07,2,0.862514,200
sqlite,100M,S7,vp,P,07,3,0.848915,200
sqlite,100M,S7,vp,P,07,4,0.844639,200
sqlite,100M,S7,vp,P,07,5,0.828158,200
sqlite,100M,S7,vp,P,08,1,0.828272,200
sqlite,100M,S7,vp,P,08,2,0.850048,200
sqlite,100M,S7,vp,P,08,3,0.842180,200
sqlite,100M,S7,vp,P,08,4,0.843529,200
sqlite,100M,S7,vp,P,08,5,0.851732,200
sqlite,100M,S7,vp,P,09,1,0.843281,200
sqlite,100M,S7,vp,P,09,2,0.855101,200
sqlite,100M,S7,vp,P,09,3,0.842836,200
sqlite,100M,S7,vp,P,09,4,0.841535,200
sqlite,100M,S7,vp,P,09,5,0.847636,200
