engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,F1,spo,P,00,1,75.123658,200
sqliteram,100M,F1,spo,P,00,2,72.612388,200
sqliteram,100M,F1,spo,P,00,3,73.934352,200
sqliteram,100M,F1,spo,P,00,4,69.953643,200
sqliteram,100M,F1,spo,P,00,5,74.233150,200
sqliteram,100M,F1,spo,P,01,1,73.305223,200
sqliteram,100M,F1,spo,P,01,2,74.571523,200
sqliteram,100M,F1,spo,P,01,3,69.408319,200
sqliteram,100M,F1,spo,P,01,4,72.107075,200
sqliteram,100M,F1,spo,P,01,5,73.440662,200
sqliteram,100M,F1,spo,P,02,1,70.797469,200
sqliteram,100M,F1,spo,P,02,2,70.472931,200
sqliteram,100M,F1,spo,P,02,3,73.475590,200
sqliteram,100M,F1,spo,P,02,4,71.783220,200
sqliteram,100M,F1,spo,P,02,5,69.978044,200
sqliteram,100M,F1,spo,P,03,1,71.910047,200
sqliteram,100M,F1,spo,P,03,2,72.690434,200
sqliteram,100M,F1,spo,P,03,3,69.056368,200
sqliteram,100M,F1,spo,P,03,4,72.225461,200
sqliteram,100M,F1,spo,P,03,5,69.020708,200
sqliteram,100M,F1,spo,P,04,1,72.142773,200
sqliteram,100M,F1,spo,P,04,2,70.988579,200
sqliteram,100M,F1,spo,P,04,3,74.552234,200
sqliteram,100M,F1,spo,P,04,4,74.285810,200
sqliteram,100M,F1,spo,P,04,5,70.649264,200
sqliteram,100M,F1,spo,P,05,1,69.507171,200
sqliteram,100M,F1,spo,P,05,2,68.733333,200
sqliteram,100M,F1,spo,P,05,3,73.434962,200
sqliteram,100M,F1,spo,P,05,4,69.405616,200
sqliteram,100M,F1,spo,P,05,5,70.919850,200
sqliteram,100M,F1,spo,P,06,1,69.193153,200
sqliteram,100M,F1,spo,P,06,2,69.772300,200
sqliteram,100M,F1,spo,P,06,3,71.314992,200
sqliteram,100M,F1,spo,P,06,4,72.386267,200
sqliteram,100M,F1,spo,P,06,5,72.388937,200
sqliteram,100M,F1,spo,P,07,1,71.937413,200
sqliteram,100M,F1,spo,P,07,2,71.814156,200
sqliteram,100M,F1,spo,P,07,3,73.484595,200
sqliteram,100M,F1,spo,P,07,4,69.165653,200
sqliteram,100M,F1,spo,P,07,5,74.234319,200
sqliteram,100M,F1,spo,P,08,1,70.920566,200
sqliteram,100M,F1,spo,P,08,2,72.388925,200
sqliteram,100M,F1,spo,P,08,3,71.221426,200
sqliteram,100M,F1,spo,P,08,4,72.854797,200
sqliteram,100M,F1,spo,P,08,5,71.372599,200
sqliteram,100M,F1,spo,P,09,1,70.356170,200
sqliteram,100M,F1,spo,P,09,2,71.569833,200
sqliteram,100M,F1,spo,P,09,3,73.243776,200
sqliteram,100M,F1,spo,P,09,4,73.484950,200
sqliteram,100M,F1,spo,P,09,5,72.442616,200
