engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,F1,vp,P,00,1,30.152358,200
sqliteram,100M,F1,vp,P,00,2,30.609341,200
sqliteram,100M,F1,vp,P,00,3,30.869425,200
sqliteram,100M,F1,vp,P,00,4,31.266558,200
sqliteram,100M,F1,vp,P,00,5,31.170671,200
sqliteram,100M,F1,vp,P,01,1,27.468721,200
sqliteram,100M,F1,vp,P,01,2,30.057021,200
sqliteram,100M,F1,vp,P,01,3,30.253489,200
sqliteram,100M,F1,vp,P,01,4,30.269539,200
sqliteram,100M,F1,vp,P,01,5,26.519123,200
sqliteram,100M,F1,vp,P,02,1,26.790417,200
sqliteram,100M,F1,vp,P,02,2,27.219921,200
sqliteram,100M,F1,vp,P,02,3,26.620307,200
sqliteram,100M,F1,vp,P,02,4,26.832506,200
sqliteram,100M,F1,vp,P,02,5,31.028280,200
sqliteram,100M,F1,vp,P,03,1,26.723033,200
sqliteram,100M,F1,vp,P,03,2,26.423478,200
sqliteram,100M,F1,vp,P,03,3,29.535526,200
sqliteram,100M,F1,vp,P,03,4,26.153224,200
sqliteram,100M,F1,vp,P,03,5,29.901523,200
sqliteram,100M,F1,vp,P,04,1,27.436866,200
sqliteram,100M,F1,vp,P,04,2,31.266618,200
sqliteram,100M,F1,vp,P,04,3,30.917350,200
sqliteram,100M,F1,vp,P,04,4,30.603629,200
sqliteram,100M,F1,vp,P,04,5,27.404470,200
sqliteram,100M,F1,vp,P,05,1,26.029986,200
sqliteram,100M,F1,vp,P,05,2,30.475960,200
sqliteram,100M,F1,vp,P,05,3,26.266899,200
sqliteram,100M,F1,vp,P,05,4,30.047758,200
sqliteram,100M,F1,vp,P,05,5,26.335125,200
sqliteram,100M,F1,vp,P,06,1,26.170465,200
sqliteram,100M,F1,vp,P,06,2,26.241542,200
sqliteram,100M,F1,vp,P,06,3,30.076115,200
sqliteram,100M,F1,vp,P,06,4,26.408749,200
sqliteram,100M,F1,vp,P,06,5,27.000803,200
sqliteram,100M,F1,vp,P,07,1,27.441749,200
sqliteram,100M,F1,vp,P,07,2,30.171371,200
sqliteram,100M,F1,vp,P,07,3,30.700072,200
sqliteram,100M,F1,vp,P,07,4,30.682878,200
sqliteram,100M,F1,vp,P,07,5,26.929279,200
sqliteram,100M,F1,vp,P,08,1,29.878770,200
sqliteram,100M,F1,vp,P,08,2,25.938097,200
sqliteram,100M,F1,vp,P,08,3,29.910491,200
sqliteram,100M,F1,vp,P,08,4,26.373724,200
sqliteram,100M,F1,vp,P,08,5,30.317226,200
sqliteram,100M,F1,vp,P,09,1,30.328647,200
sqliteram,100M,F1,vp,P,09,2,30.529964,200
sqliteram,100M,F1,vp,P,09,3,30.223990,200
sqliteram,100M,F1,vp,P,09,4,30.691060,200
sqliteram,100M,F1,vp,P,09,5,30.865749,200
