engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,F2,pso,P,00,1,0.510273,200
sqliteram,100M,F2,pso,P,00,2,0.501144,200
sqliteram,100M,F2,pso,P,00,3,0.512354,200
sqliteram,100M,F2,pso,P,00,4,0.501267,200
sqliteram,100M,F2,pso,P,00,5,0.504376,200
sqliteram,100M,F2,pso,P,01,1,0.495471,200
sqliteram,100M,F2,pso,P,01,2,0.494294,200
sqliteram,100M,F2,pso,P,01,3,0.499040,200
sqliteram,100M,F2,pso,P,01,4,0.502077,200
sqliteram,100M,F2,pso,P,01,5,0.497200,200
sqliteram,100M,F2,pso,P,02,1,0.493857,200
sqliteram,100M,F2,pso,P,02,2,0.507603,200
sqliteram,100M,F2,pso,P,02,3,0.502075,200
sqliteram,100M,F2,pso,P,02,4,0.497769,200
sqliteram,100M,F2,pso,P,02,5,0.499832,200
sqliteram,100M,F2,pso,P,03,1,0.490130,200
sqliteram,100M,F2,pso,P,03,2,0.488970,200
sqliteram,100M,F2,pso,P,03,3,0.491710,200
sqliteram,100M,F2,pso,P,03,4,0.493216,200
sqliteram,100M,F2,pso,P,03,5,0.494828,200
sqliteram,100M,F2,pso,P,04,1,0.501698,200
sqliteram,100M,F2,pso,P,04,2,0.498243,200
sqliteram,100M,F2,pso,P,04,3,0.496767,200
sqliteram,100M,F2,pso,P,04,4,0.499478,200
sqliteram,100M,F2,pso,P,04,5,0.498395,200
sqliteram,100M,F2,pso,P,05,1,0.502272,200
sqliteram,100M,F2,pso,P,05,2,0.501243,200
sqliteram,100M,F2,pso,P,05,3,0.500163,200
sqliteram,100M,F2,pso,P,05,4,0.504809,200
sqliteram,100M,F2,pso,P,05,5,0.496743,200
sqliteram,100M,F2,pso,P,06,1,0.501316,200
sqliteram,100M,F2,pso,P,06,2,0.495187,200
sqliteram,100M,F2,pso,P,06,3,0.499111,200
sqliteram,100M,F2,pso,P,06,4,0.501210,200
sqliteram,100M,F2,pso,P,06,5,0.499448,200
sqliteram,100M,F2,pso,P,07,1,0.502251,200
sqliteram,100M,F2,pso,P,07,2,0.497271,200
sqliteram,100M,F2,pso,P,07,3,0.501146,200
sqliteram,100M,F2,pso,P,07,4,0.501025,200
sqliteram,100M,F2,pso,P,07,5,0.497251,200
sqliteram,100M,F2,pso,P,08,1,0.496966,200
sqliteram,100M,F2,pso,P,08,2,0.504709,200
sqliteram,100M,F2,pso,P,08,3,0.506160,200
sqliteram,100M,F2,pso,P,08,4,0.503262,200
sqliteram,100M,F2,pso,P,08,5,0.501577,200
sqliteram,100M,F2,pso,P,09,1,0.497399,200
sqliteram,100M,F2,pso,P,09,2,0.498333,200
sqliteram,100M,F2,pso,P,09,3,0.497272,200
sqliteram,100M,F2,pso,P,09,4,0.496598,200
sqliteram,100M,F2,pso,P,09,5,0.497757,200
