engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,F5,6idx,P,00,1,1.251396,200
sqliteram,100M,F5,6idx,P,00,2,1.241443,200
sqliteram,100M,F5,6idx,P,00,3,1.235673,200
sqliteram,100M,F5,6idx,P,00,4,1.228647,200
sqliteram,100M,F5,6idx,P,00,5,1.232566,200
sqliteram,100M,F5,6idx,P,01,1,1.333418,200
sqliteram,100M,F5,6idx,P,01,2,1.313669,200
sqliteram,100M,F5,6idx,P,01,3,1.325984,200
sqliteram,100M,F5,6idx,P,01,4,1.311940,200
sqliteram,100M,F5,6idx,P,01,5,1.322616,200
sqliteram,100M,F5,6idx,P,02,1,1.312899,200
sqliteram,100M,F5,6idx,P,02,2,1.308708,200
sqliteram,100M,F5,6idx,P,02,3,1.310874,200
sqliteram,100M,F5,6idx,P,02,4,1.321237,200
sqliteram,100M,F5,6idx,P,02,5,1.322936,200
sqliteram,100M,F5,6idx,P,03,1,1.310408,200
sqliteram,100M,F5,6idx,P,03,2,1.306666,200
sqliteram,100M,F5,6idx,P,03,3,1.307466,200
sqliteram,100M,F5,6idx,P,03,4,1.307143,200
sqliteram,100M,F5,6idx,P,03,5,1.286713,200
sqliteram,100M,F5,6idx,P,04,1,1.272852,200
sqliteram,100M,F5,6idx,P,04,2,1.277249,200
sqliteram,100M,F5,6idx,P,04,3,1.282353,200
sqliteram,100M,F5,6idx,P,04,4,1.278726,200
sqliteram,100M,F5,6idx,P,04,5,1.282166,200
sqliteram,100M,F5,6idx,P,05,1,1.298088,200
sqliteram,100M,F5,6idx,P,05,2,1.297079,200
sqliteram,100M,F5,6idx,P,05,3,1.294807,200
sqliteram,100M,F5,6idx,P,05,4,1.301768,200
sqliteram,100M,F5,6idx,P,05,5,1.290577,200
sqliteram,100M,F5,6idx,P,06,1,1.380089,200
sqliteram,100M,F5,6idx,P,06,2,1.350666,200
sqliteram,100M,F5,6idx,P,06,3,1.353766,200
sqliteram,100M,F5,6idx,P,06,4,1.347800,200
sqliteram,100M,F5,6idx,P,06,5,1.339753,200
sqliteram,100M,F5,6idx,P,07,1,1.278736,200
sqliteram,100M,F5,6idx,P,07,2,1.267295,200
sqliteram,100M,F5,6idx,P,07,3,1.282601,200
sqliteram,100M,F5,6idx,P,07,4,1.277183,200
sqliteram,100M,F5,6idx,P,07,5,1.266487,200
sqliteram,100M,F5,6idx,P,08,1,1.299654,200
sqliteram,100M,F5,6idx,P,08,2,1.303156,200
sqliteram,100M,F5,6idx,P,08,3,1.292361,200
sqliteram,100M,F5,6idx,P,08,4,1.296275,200
sqliteram,100M,F5,6idx,P,08,5,1.285527,200
sqliteram,100M,F5,6idx,P,09,1,1.227767,200
sqliteram,100M,F5,6idx,P,09,2,1.245213,200
sqliteram,100M,F5,6idx,P,09,3,1.240586,200
sqliteram,100M,F5,6idx,P,09,4,1.222211,200
sqliteram,100M,F5,6idx,P,09,5,1.246598,200
