engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,L1,spo,P,00,1,2.533711,200
sqliteram,100M,L1,spo,P,00,2,2.593136,200
sqliteram,100M,L1,spo,P,00,3,2.598168,200
sqliteram,100M,L1,spo,P,00,4,2.591282,200
sqliteram,100M,L1,spo,P,00,5,2.562964,200
sqliteram,100M,L1,spo,P,01,1,3.113668,200
sqliteram,100M,L1,spo,P,01,2,3.231012,200
sqliteram,100M,L1,spo,P,01,3,3.249714,200
sqliteram,100M,L1,spo,P,01,4,3.103177,200
sqliteram,100M,L1,spo,P,01,5,3.256502,200
sqliteram,100M,L1,spo,P,02,1,2.403192,200
sqliteram,100M,L1,spo,P,02,2,2.389713,200
sqliteram,100M,L1,spo,P,02,3,2.440939,200
sqliteram,100M,L1,spo,P,02,4,2.417255,200
sqliteram,100M,L1,spo,P,02,5,2.377197,200
sqliteram,100M,L1,spo,P,03,1,2.460339,200
sqliteram,100M,L1,spo,P,03,2,2.397695,200
sqliteram,100M,L1,spo,P,03,3,2.398471,200
sqliteram,100M,L1,spo,P,03,4,2.478429,200
sqliteram,100M,L1,spo,P,03,5,2.471519,200
sqliteram,100M,L1,spo,P,04,1,2.823521,200
sqliteram,100M,L1,spo,P,04,2,2.897707,200
sqliteram,100M,L1,spo,P,04,3,2.908217,200
sqliteram,100M,L1,spo,P,04,4,2.944143,200
sqliteram,100M,L1,spo,P,04,5,2.956503,200
sqliteram,100M,L1,spo,P,05,1,2.495239,200
sqliteram,100M,L1,spo,P,05,2,2.414029,200
sqliteram,100M,L1,spo,P,05,3,2.518582,200
sqliteram,100M,L1,spo,P,05,4,2.416714,200
sqliteram,100M,L1,spo,P,05,5,2.528469,200
sqliteram,100M,L1,spo,P,06,1,3.216525,200
sqliteram,100M,L1,spo,P,06,2,3.175529,200
sqliteram,100M,L1,spo,P,06,3,3.081960,200
sqliteram,100M,L1,spo,P,06,4,3.253187,200
sqliteram,100M,L1,spo,P,06,5,3.122056,200
sqliteram,100M,L1,spo,P,07,1,2.749232,200
sqliteram,100M,L1,spo,P,07,2,2.645717,200
sqliteram,100M,L1,spo,P,07,3,2.784821,200
sqliteram,100M,L1,spo,P,07,4,2.627759,200
sqliteram,100M,L1,spo,P,07,5,2.733127,200
sqliteram,100M,L1,spo,P,08,1,2.407190,200
sqliteram,100M,L1,spo,P,08,2,2.444730,200
sqliteram,100M,L1,spo,P,08,3,2.457808,200
sqliteram,100M,L1,spo,P,08,4,2.451481,200
sqliteram,100M,L1,spo,P,08,5,2.409364,200
sqliteram,100M,L1,spo,P,09,1,1.837617,200
sqliteram,100M,L1,spo,P,09,2,1.840846,200
sqliteram,100M,L1,spo,P,09,3,1.843713,200
sqliteram,100M,L1,spo,P,09,4,1.843438,200
sqliteram,100M,L1,spo,P,09,5,1.870163,200
