engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,L2,pso,P,00,1,0.392825,200
sqliteram,100M,L2,pso,P,00,2,0.356477,200
sqliteram,100M,L2,pso,P,00,3,0.353501,200
sqliteram,100M,L2,pso,P,00,4,0.352287,200
sqliteram,100M,L2,pso,P,00,5,0.362713,200
sqliteram,100M,L2,pso,P,01,1,0.392790,200
sqliteram,100M,L2,pso,P,01,2,0.382436,200
sqliteram,100M,L2,pso,P,01,3,0.389889,200
sqliteram,100M,L2,pso,P,01,4,0.376121,200
sqliteram,100M,L2,pso,P,01,5,0.374526,200
sqliteram,100M,L2,pso,P,02,1,0.387393,200
sqliteram,100M,L2,pso,P,02,2,0.380130,200
sqliteram,100M,L2,pso,P,02,3,0.388187,200
sqliteram,100M,L2,pso,P,02,4,0.380051,200
sqliteram,100M,L2,pso,P,02,5,0.384612,200
sqliteram,100M,L2,pso,P,03,1,0.381159,200
sqliteram,100M,L2,pso,P,03,2,0.382429,200
sqliteram,100M,L2,pso,P,03,3,0.382881,200
sqliteram,100M,L2,pso,P,03,4,0.375362,200
sqliteram,100M,L2,pso,P,03,5,0.378649,200
sqliteram,100M,L2,pso,P,04,1,0.373357,200
sqliteram,100M,L2,pso,P,04,2,0.381589,200
sqliteram,100M,L2,pso,P,04,3,0.382262,200
sqliteram,100M,L2,pso,P,04,4,0.385311,200
sqliteram,100M,L2,pso,P,04,5,0.383771,200
sqliteram,100M,L2,pso,P,05,1,0.384388,200
sqliteram,100M,L2,pso,P,05,2,0.373776,200
sqliteram,100M,L2,pso,P,05,3,0.389727,200
sqliteram,100M,L2,pso,P,05,4,0.381068,200
sqliteram,100M,L2,pso,P,05,5,0.377958,200
sqliteram,100M,L2,pso,P,06,1,0.384704,200
sqliteram,100M,L2,pso,P,06,2,0.379914,200
sqliteram,100M,L2,pso,P,06,3,0.384711,200
sqliteram,100M,L2,pso,P,06,4,0.391237,200
sqliteram,100M,L2,pso,P,06,5,0.385479,200
sqliteram,100M,L2,pso,P,07,1,0.354479,200
sqliteram,100M,L2,pso,P,07,2,0.342228,200
sqliteram,100M,L2,pso,P,07,3,0.346646,200
sqliteram,100M,L2,pso,P,07,4,0.349584,200
sqliteram,100M,L2,pso,P,07,5,0.342004,200
sqliteram,100M,L2,pso,P,08,1,0.386541,200
sqliteram,100M,L2,pso,P,08,2,0.396477,200
sqliteram,100M,L2,pso,P,08,3,0.383662,200
sqliteram,100M,L2,pso,P,08,4,0.378124,200
sqliteram,100M,L2,pso,P,08,5,0.387839,200
sqliteram,100M,L2,pso,P,09,1,0.351683,200
sqliteram,100M,L2,pso,P,09,2,0.343033,200
sqliteram,100M,L2,pso,P,09,3,0.353227,200
sqliteram,100M,L2,pso,P,09,4,0.349194,200
sqliteram,100M,L2,pso,P,09,5,0.351947,200
