engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,L2,vp,P,00,1,0.036383,200
sqliteram,100M,L2,vp,P,00,2,0.037813,200
sqliteram,100M,L2,vp,P,00,3,0.038073,200
sqliteram,100M,L2,vp,P,00,4,0.038115,200
sqliteram,100M,L2,vp,P,00,5,0.037580,200
sqliteram,100M,L2,vp,P,01,1,0.054594,200
sqliteram,100M,L2,vp,P,01,2,0.056154,200
sqliteram,100M,L2,vp,P,01,3,0.056176,200
sqliteram,100M,L2,vp,P,01,4,0.056168,200
sqliteram,100M,L2,vp,P,01,5,0.056121,200
sqliteram,100M,L2,vp,P,02,1,0.056806,200
sqliteram,100M,L2,vp,P,02,2,0.058959,200
sqliteram,100M,L2,vp,P,02,3,0.056751,200
sqliteram,100M,L2,vp,P,02,4,0.056751,200
sqliteram,100M,L2,vp,P,02,5,0.059475,200
sqliteram,100M,L2,vp,P,03,1,0.053930,200
sqliteram,100M,L2,vp,P,03,2,0.056838,200
sqliteram,100M,L2,vp,P,03,3,0.056490,200
sqliteram,100M,L2,vp,P,03,4,0.056067,200
sqliteram,100M,L2,vp,P,03,5,0.056140,200
sqliteram,100M,L2,vp,P,04,1,0.054225,200
sqliteram,100M,L2,vp,P,04,2,0.056740,200
sqliteram,100M,L2,vp,P,04,3,0.056425,200
sqliteram,100M,L2,vp,P,04,4,0.054449,200
sqliteram,100M,L2,vp,P,04,5,0.056244,200
sqliteram,100M,L2,vp,P,05,1,0.056831,200
sqliteram,100M,L2,vp,P,05,2,0.053961,200
sqliteram,100M,L2,vp,P,05,3,0.054721,200
sqliteram,100M,L2,vp,P,05,4,0.056606,200
sqliteram,100M,L2,vp,P,05,5,0.056053,200
sqliteram,100M,L2,vp,P,06,1,0.056626,200
sqliteram,100M,L2,vp,P,06,2,0.058455,200
sqliteram,100M,L2,vp,P,06,3,0.059084,200
sqliteram,100M,L2,vp,P,06,4,0.059187,200
sqliteram,100M,L2,vp,P,06,5,0.059417,200
sqliteram,100M,L2,vp,P,07,1,0.034764,200
sqliteram,100M,L2,vp,P,07,2,0.034725,200
sqliteram,100M,L2,vp,P,07,3,0.037225,200
sqliteram,100M,L2,vp,P,07,4,0.034623,200
sqliteram,100M,L2,vp,P,07,5,0.036793,200
sqliteram,100M,L2,vp,P,08,1,0.058729,200
sqliteram,100M,L2,vp,P,08,2,0.059835,200
sqliteram,100M,L2,vp,P,08,3,0.055877,200
sqliteram,100M,L2,vp,P,08,4,0.058393,200
sqliteram,100M,L2,vp,P,08,5,0.059106,200
sqliteram,100M,L2,vp,P,09,1,0.037148,200
sqliteram,100M,L2,vp,P,09,2,0.036170,200
sqliteram,100M,L2,vp,P,09,3,0.037389,200
sqliteram,100M,L2,vp,P,09,4,0.036831,200
sqliteram,100M,L2,vp,P,09,5,0.034639,200
