engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,L4,6idx,P,00,1,0.037261,200
sqliteram,100M,L4,6idx,P,00,2,0.037603,200
sqliteram,100M,L4,6idx,P,00,3,0.035954,200
sqliteram,100M,L4,6idx,P,00,4,0.036565,200
sqliteram,100M,L4,6idx,P,00,5,0.036899,200
sqliteram,100M,L4,6idx,P,01,1,0.037978,200
sqliteram,100M,L4,6idx,P,01,2,0.036299,200
sqliteram,100M,L4,6idx,P,01,3,0.036050,200
sqliteram,100M,L4,6idx,P,01,4,0.035959,200
sqliteram,100M,L4,6idx,P,01,5,0.037751,200
sqliteram,100M,L4,6idx,P,02,1,0.036314,200
sqliteram,100M,L4,6idx,P,02,2,0.037369,200
sqliteram,100M,L4,6idx,P,02,3,0.037198,200
sqliteram,100M,L4,6idx,P,02,4,0.036834,200
sqliteram,100M,L4,6idx,P,02,5,0.037282,200
sqliteram,100M,L4,6idx,P,03,1,0.036098,200
sqliteram,100M,L4,6idx,P,03,2,0.034952,200
sqliteram,100M,L4,6idx,P,03,3,0.036139,200
sqliteram,100M,L4,6idx,P,03,4,0.034642,200
sqliteram,100M,L4,6idx,P,03,5,0.034775,200
sqliteram,100M,L4,6idx,P,04,1,0.035952,200
sqliteram,100M,L4,6idx,P,04,2,0.035866,200
sqliteram,100M,L4,6idx,P,04,3,0.036476,200
sqliteram,100M,L4,6idx,P,04,4,0.034926,200
sqliteram,100M,L4,6idx,P,04,5,0.034960,200
sqliteram,100M,L4,6idx,P,05,1,0.036812,200
sqliteram,100M,L4,6idx,P,05,2,0.036624,200
sqliteram,100M,L4,6idx,P,05,3,0.035346,200
sqliteram,100M,L4,6idx,P,05,4,0.036084,200
sqliteram,100M,L4,6idx,P,05,5,0.035003,200
sqliteram,100M,L4,6idx,P,06,1,0.035472,200
sqliteram,100M,L4,6idx,P,06,2,0.036105,200
sqliteram,100M,L4,6idx,P,06,3,0.036750,200
sqliteram,100M,L4,6idx,P,06,4,0.036067,200
sqliteram,100M,L4,6idx,P,06,5,0.037607,200
sqliteram,100M,L4,6idx,P,07,1,0.035646,200
sqliteram,100M,L4,6idx,P,07,2,0.035530,200
sqliteram,100M,L4,6idx,P,07,3,0.035726,200
sqliteram,100M,L4,6idx,P,07,4,0.035970,200
sqliteram,100M,L4,6idx,P,07,5,0.035589,200
sqliteram,100M,L4,6idx,P,08,1,0.037569,200
sqliteram,100M,L4,6idx,P,08,2,0.036903,200
sqliteram,100M,L4,6idx,P,08,3,0.036259,200
sqliteram,100M,L4,6idx,P,08,4,0.036161,200
sqliteram,100M,L4,6idx,P,08,5,0.037106,200
sqliteram,100M,L4,6idx,P,09,1,0.036426,200
sqliteram,100M,L4,6idx,P,09,2,0.036326,200
sqliteram,100M,L4,6idx,P,09,3,0.036766,200
sqliteram,100M,L4,6idx,P,09,4,0.036541,200
sqliteram,100M,L4,6idx,P,09,5,0.037314,200
