engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,S2,pso,P,00,1,0.539439,200
sqliteram,100M,S2,pso,P,00,2,0.538506,200
sqliteram,100M,S2,pso,P,00,3,0.525779,200
sqliteram,100M,S2,pso,P,00,4,0.536133,200
sqliteram,100M,S2,pso,P,00,5,0.529044,200
sqliteram,100M,S2,pso,P,01,1,0.536204,200
sqliteram,100M,S2,pso,P,01,2,0.529689,200
sqliteram,100M,S2,pso,P,01,3,0.531030,200
sqliteram,100M,S2,pso,P,01,4,0.529996,200
sqliteram,100M,S2,pso,P,01,5,0.532729,200
sqliteram,100M,S2,pso,P,02,1,0.535836,200
sqliteram,100M,S2,pso,P,02,2,0.533319,200
sqliteram,100M,S2,pso,P,02,3,0.527461,200
sqliteram,100M,S2,pso,P,02,4,0.541192,200
sqliteram,100M,S2,pso,P,02,5,0.534461,200
sqliteram,100M,S2,pso,P,03,1,0.536297,200
sqliteram,100M,S2,pso,P,03,2,0.542053,200
sqliteram,100M,S2,pso,P,03,3,0.537303,200
sqliteram,100M,S2,pso,P,03,4,0.534009,200
sqliteram,100M,S2,pso,P,03,5,0.548261,200
sqliteram,100M,S2,pso,P,04,1,0.550313,200
sqliteram,100M,S2,pso,P,04,2,0.555713,200
sqliteram,100M,S2,pso,P,04,3,0.558911,200
sqliteram,100M,S2,pso,P,04,4,0.549875,200
sqliteram,100M,S2,pso,P,04,5,0.556549,200
sqliteram,100M,S2,pso,P,05,1,0.532108,200
sqliteram,100M,S2,pso,P,05,2,0.534980,200
sqliteram,100M,S2,pso,P,05,3,0.535225,200
sqliteram,100M,S2,pso,P,05,4,0.530039,200
sqliteram,100M,S2,pso,P,05,5,0.535623,200
sqliteram,100M,S2,pso,P,06,1,0.568301,200
sqliteram,100M,S2,pso,P,06,2,0.563845,200
sqliteram,100M,S2,pso,P,06,3,0.568245,200
sqliteram,100M,S2,pso,P,06,4,0.570138,200
sqliteram,100M,S2,pso,P,06,5,0.576721,200
sqliteram,100M,S2,pso,P,07,1,0.560059,200
sqliteram,100M,S2,pso,P,07,2,0.563473,200
sqliteram,100M,S2,pso,P,07,3,0.561738,200
sqliteram,100M,S2,pso,P,07,4,0.557709,200
sqliteram,100M,S2,pso,P,07,5,0.563432,200
sqliteram,100M,S2,pso,P,08,1,0.537994,200
sqliteram,100M,S2,pso,P,08,2,0.535010,200
sqliteram,100M,S2,pso,P,08,3,0.534705,200
sqliteram,100M,S2,pso,P,08,4,0.542707,200
sqliteram,100M,S2,pso,P,08,5,0.539228,200
sqliteram,100M,S2,pso,P,09,1,0.539751,200
sqliteram,100M,S2,pso,P,09,2,0.539510,200
sqliteram,100M,S2,pso,P,09,3,0.540379,200
sqliteram,100M,S2,pso,P,09,4,0.537642,200
sqliteram,100M,S2,pso,P,09,5,0.546046,200
