engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,S2,spo,P,00,1,2.109517,200
sqliteram,100M,S2,spo,P,00,2,1.954485,200
sqliteram,100M,S2,spo,P,00,3,1.955905,200
sqliteram,100M,S2,spo,P,00,4,1.942321,200
sqliteram,100M,S2,spo,P,00,5,1.933616,200
sqliteram,100M,S2,spo,P,01,1,1.893981,200
sqliteram,100M,S2,spo,P,01,2,1.942554,200
sqliteram,100M,S2,spo,P,01,3,1.965690,200
sqliteram,100M,S2,spo,P,01,4,1.878624,200
sqliteram,100M,S2,spo,P,01,5,1.955040,200
sqliteram,100M,S2,spo,P,02,1,1.993427,200
sqliteram,100M,S2,spo,P,02,2,1.923939,200
sqliteram,100M,S2,spo,P,02,3,1.967278,200
sqliteram,100M,S2,spo,P,02,4,1.926304,200
sqliteram,100M,S2,spo,P,02,5,1.988853,200
sqliteram,100M,S2,spo,P,03,1,1.988476,200
sqliteram,100M,S2,spo,P,03,2,1.921874,200
sqliteram,100M,S2,spo,P,03,3,1.873473,200
sqliteram,100M,S2,spo,P,03,4,1.940687,200
sqliteram,100M,S2,spo,P,03,5,1.866038,200
sqliteram,100M,S2,spo,P,04,1,1.952031,200
sqliteram,100M,S2,spo,P,04,2,1.961274,200
sqliteram,100M,S2,spo,P,04,3,1.986863,200
sqliteram,100M,S2,spo,P,04,4,1.939884,200
sqliteram,100M,S2,spo,P,04,5,1.865268,200
sqliteram,100M,S2,spo,P,05,1,1.956128,200
sqliteram,100M,S2,spo,P,05,2,1.867338,200
sqliteram,100M,S2,spo,P,05,3,1.972810,200
sqliteram,100M,S2,spo,P,05,4,1.920581,200
sqliteram,100M,S2,spo,P,05,5,1.911568,200
sqliteram,100M,S2,spo,P,06,1,1.971925,200
sqliteram,100M,S2,spo,P,06,2,1.974236,200
sqliteram,100M,S2,spo,P,06,3,1.946504,200
sqliteram,100M,S2,spo,P,06,4,1.949181,200
sqliteram,100M,S2,spo,P,06,5,1.991443,200
sqliteram,100M,S2,spo,P,07,1,2.003434,200
sqliteram,100M,S2,spo,P,07,2,1.967165,200
sqliteram,100M,S2,spo,P,07,3,1.968464,200
sqliteram,100M,S2,spo,P,07,4,1.886908,200
sqliteram,100M,S2,spo,P,07,5,1.948801,200
sqliteram,100M,S2,spo,P,08,1,1.907865,200
sqliteram,100M,S2,spo,P,08,2,1.950206,200
sqliteram,100M,S2,spo,P,08,3,1.954369,200
sqliteram,100M,S2,spo,P,08,4,1.990017,200
sqliteram,100M,S2,spo,P,08,5,1.985702,200
sqliteram,100M,S2,spo,P,09,1,1.922031,200
sqliteram,100M,S2,spo,P,09,2,1.933762,200
sqliteram,100M,S2,spo,P,09,3,1.933181,200
sqliteram,100M,S2,spo,P,09,4,1.885248,200
sqliteram,100M,S2,spo,P,09,5,1.845526,200
