engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,S6,6idx,P,00,1,0.050073,200
sqliteram,100M,S6,6idx,P,00,2,0.047836,200
sqliteram,100M,S6,6idx,P,00,3,0.048308,200
sqliteram,100M,S6,6idx,P,00,4,0.047486,200
sqliteram,100M,S6,6idx,P,00,5,0.047945,200
sqliteram,100M,S6,6idx,P,01,1,0.048762,200
sqliteram,100M,S6,6idx,P,01,2,0.050013,200
sqliteram,100M,S6,6idx,P,01,3,0.051076,200
sqliteram,100M,S6,6idx,P,01,4,0.049428,200
sqliteram,100M,S6,6idx,P,01,5,0.049267,200
sqliteram,100M,S6,6idx,P,02,1,0.049370,200
sqliteram,100M,S6,6idx,P,02,2,0.051063,200
sqliteram,100M,S6,6idx,P,02,3,0.049565,200
sqliteram,100M,S6,6idx,P,02,4,0.050752,200
sqliteram,100M,S6,6idx,P,02,5,0.049805,200
sqliteram,100M,S6,6idx,P,03,1,0.051979,200
sqliteram,100M,S6,6idx,P,03,2,0.051514,200
sqliteram,100M,S6,6idx,P,03,3,0.051379,200
sqliteram,100M,S6,6idx,P,03,4,0.051341,200
sqliteram,100M,S6,6idx,P,03,5,0.050989,200
sqliteram,100M,S6,6idx,P,04,1,0.048962,200
sqliteram,100M,S6,6idx,P,04,2,0.047957,200
sqliteram,100M,S6,6idx,P,04,3,0.049376,200
sqliteram,100M,S6,6idx,P,04,4,0.047181,200
sqliteram,100M,S6,6idx,P,04,5,0.048725,200
sqliteram,100M,S6,6idx,P,05,1,0.049094,200
sqliteram,100M,S6,6idx,P,05,2,0.052105,200
sqliteram,100M,S6,6idx,P,05,3,0.050174,200
sqliteram,100M,S6,6idx,P,05,4,0.049070,200
sqliteram,100M,S6,6idx,P,05,5,0.050006,200
sqliteram,100M,S6,6idx,P,06,1,0.049602,200
sqliteram,100M,S6,6idx,P,06,2,0.049376,200
sqliteram,100M,S6,6idx,P,06,3,0.049010,200
sqliteram,100M,S6,6idx,P,06,4,0.049286,200
sqliteram,100M,S6,6idx,P,06,5,0.049621,200
sqliteram,100M,S6,6idx,P,07,1,0.053515,200
sqliteram,100M,S6,6idx,P,07,2,0.050678,200
sqliteram,100M,S6,6idx,P,07,3,0.051349,200
sqliteram,100M,S6,6idx,P,07,4,0.050794,200
sqliteram,100M,S6,6idx,P,07,5,0.052031,200
sqliteram,100M,S6,6idx,P,08,1,0.048203,200
sqliteram,100M,S6,6idx,P,08,2,0.048856,200
sqliteram,100M,S6,6idx,P,08,3,0.048213,200
sqliteram,100M,S6,6idx,P,08,4,0.048221,200
sqliteram,100M,S6,6idx,P,08,5,0.047845,200
sqliteram,100M,S6,6idx,P,09,1,0.050830,200
sqliteram,100M,S6,6idx,P,09,2,0.050260,200
sqliteram,100M,S6,6idx,P,09,3,0.050038,200
sqliteram,100M,S6,6idx,P,09,4,0.049958,200
sqliteram,100M,S6,6idx,P,09,5,0.049551,200
