engine,size,template,scheme,mode,query_id,repetition,time,status
sqliteram,100M,S7,vp,P,00,1,0.841242,200
sqliteram,100M,S7,vp,P,00,2,0.839240,200
sqliteram,100M,S7,vp,P,00,3,0.843331,200
sqliteram,100M,S7,vp,P,00,4,0.837449,200
sqliteram,100M,S7,vp,P,00,5,0.851264,200
sqliteram,100M,S7,vp,P,01,1,0.841738,200
sqliteram,100M,S7,vp,P,01,2,0.849102,200
sqliteram,100M,S7,vp,P,01,3,0.841587,200
sqliteram,100M,S7,vp,P,01,4,0.819423,200
sqliteram,100M,S7,vp,P,01,5,0.843294,200
sqliteram,100M,S7,vp,P,02,1,0.837159,200
sqliteram,100M,S7,vp,P,02,2,0.848818,200
sqliteram,100M,S7,vp,P,02,3,0.848893,200
sqliteram,100M,S7,vp,P,02,4,0.842184,200
sqliteram,100M,S7,vp,P,02,5,0.846798,200
sqliteram,100M,S7,vp,P,03,1,0.831949,200
sqliteram,100M,S7,vp,P,03,2,0.849738,200
sqliteram,100M,S7,vp,P,03,3,0.843629,200
sqliteram,100M,S7,vp,P,03,4,0.835224,200
sqliteram,100M,S7,vp,P,03,5,0.842136,200
sqliteram,100M,S7,vp,P,04,1,0.839676,200
sqliteram,100M,S7,vp,P,04,2,0.842687,200
sqliteram,100M,S7,vp,P,04,3,0.844028,200
sqliteram,100M,S7,vp,P,04,4,0.846251,200
sqliteram,100M,S7,vp,P,04,5,0.840889,200
sqliteram,100M,S7,vp,P,05,1,0.848640,200
sqliteram,100M,S7,vp,P,05,2,0.842682,200
sqliteram,100M,S7,vp,P,05,3,0.830282,200
sqliteram,100M,S7,vp,P,05,4,0.844994,200
sqliteram,100M,S7,vp,P,05,5,0.852962,200
sqliteram,100M,S7,vp,P,06,1,0.853964,200
sqliteram,100M,S7,vp,P,06,2,0.856398,200
sqliteram,100M,S7,vp,P,06,3,0.850770,200
sqliteram,100M,S7,vp,P,06,4,0.854127,200
sqliteram,100M,S7,vp,P,06,5,0.847063,200
sqliteram,100M,S7,vp,P,07,1,0.856317,200
sqliteram,100M,S7,vp,P,07,2,0.851063,200
sqliteram,100M,S7,vp,P,07,3,0.847763,200
sqliteram,100M,S7,vp,P,07,4,0.847893,200
sqliteram,100M,S7,vp,P,07,5,0.853022,200
sqliteram,100M,S7,vp,P,08,1,0.841974,200
sqliteram,100M,S7,vp,P,08,2,0.844032,200
sqliteram,100M,S7,vp,P,08,3,0.844615,200
sqliteram,100M,S7,vp,P,08,4,0.848393,200
sqliteram,100M,S7,vp,P,08,5,0.849002,200
sqliteram,100M,S7,vp,P,09,1,0.830681,200
sqliteram,100M,S7,vp,P,09,2,0.821119,200
sqliteram,100M,S7,vp,P,09,3,0.845533,200
sqliteram,100M,S7,vp,P,09,4,0.845594,200
sqliteram,100M,S7,vp,P,09,5,0.858108,200
