engine,size,template,scheme,mode,query_id,repetition,time,status
tripleprov,100M,S6,namedgraphs,T,00,1,0.010084,200
tripleprov,100M,S6,namedgraphs,T,00,2,0.007096,200
tripleprov,100M,S6,namedgraphs,T,00,3,0.006445,200
tripleprov,100M,S6,namedgraphs,T,00,4,0.006431,200
tripleprov,100M,S6,namedgraphs,T,00,5,0.006449,200
tripleprov,100M,S6,namedgraphs,T,01,1,0.042846,200
tripleprov,100M,S6,namedgraphs,T,01,2,0.03884,200
tripleprov,100M,S6,namedgraphs,T,01,3,0.038853,200
tripleprov,100M,S6,namedgraphs,T,01,4,0.038701,200
tripleprov,100M,S6,namedgraphs,T,01,5,0.040763,200
tripleprov,100M,S6,namedgraphs,T,02,1,0.060047,200
tripleprov,100M,S6,namedgraphs,T,02,2,0.054828,200
tripleprov,100M,S6,namedgraphs,T,02,3,0.054517,200
tripleprov,100M,S6,namedgraphs,T,02,4,0.056145,200
tripleprov,100M,S6,namedgraphs,T,02,5,0.054467,200
tripleprov,100M,S6,namedgraphs,T,03,1,0.191579,200
tripleprov,100M,S6,namedgraphs,T,03,2,0.175279,200
tripleprov,100M,S6,namedgraphs,T,03,3,0.176431,200
tripleprov,100M,S6,namedgraphs,T,03,4,0.173845,200
tripleprov,100M,S6,namedgraphs,T,03,5,0.17515,200
tripleprov,100M,S6,namedgraphs,T,04,1,0.015299,200
tripleprov,100M,S6,namedgraphs,T,04,2,0.012806,200
tripleprov,100M,S6,namedgraphs,T,04,3,0.012509,200
tripleprov,100M,S6,namedgraphs,T,04,4,0.014003,200
tripleprov,100M,S6,namedgraphs,T,04,5,0.013634,200
tripleprov,100M,S6,namedgraphs,T,05,1,0.104674,200
tripleprov,100M,S6,namedgraphs,T,05,2,0.096834,200
tripleprov,100M,S6,namedgraphs,T,05,3,0.09582,200
tripleprov,100M,S6,namedgraphs,T,05,4,0.095895,200
tripleprov,100M,S6,namedgraphs,T,05,5,0.097145,200
tripleprov,100M,S6,namedgraphs,T,06,1,0.064913,200
tripleprov,100M,S6,namedgraphs,T,06,2,0.060673,200
tripleprov,100M,S6,namedgraphs,T,06,3,0.059413,200
tripleprov,100M,S6,namedgraphs,T,06,4,0.059299,200
tripleprov,100M,S6,namedgraphs,T,06,5,0.05935,200
tripleprov,100M,S6,namedgraphs,T,07,1,0.211902,200
tripleprov,100M,S6,namedgraphs,T,07,2,0.196287,200
tripleprov,100M,S6,namedgraphs,T,07,3,0.196171,200
tripleprov,100M,S6,namedgraphs,T,07,4,0.196064,200
tripleprov,100M,S6,namedgraphs,T,07,5,0.195928,200
tripleprov,100M,S6,namedgraphs,T,08,1,0.011358,200
tripleprov,100M,S6,namedgraphs,T,08,2,0.009088,200
tripleprov,100M,S6,namedgraphs,T,08,3,0.008924,200
tripleprov,100M,S6,namedgraphs,T,08,4,0.009082,200
tripleprov,100M,S6,namedgraphs,T,08,5,0.008949,200
tripleprov,100M,S6,namedgraphs,T,09,1,0.141676,200
tripleprov,100M,S6,namedgraphs,T,09,2,0.131721,200
tripleprov,100M,S6,namedgraphs,T,09,3,0.132113,200
tripleprov,100M,S6,namedgraphs,T,09,4,0.132344,200
tripleprov,100M,S6,namedgraphs,T,09,5,0.131789,200
