engine,size,template,scheme,mode,query_id,repetition,time,status
tripleprov,10M,L3,namedgraphs,T,00,1,0.002292,200
tripleprov,10M,L3,namedgraphs,T,00,2,0.001648,200
tripleprov,10M,L3,namedgraphs,T,00,3,0.001622,200
tripleprov,10M,L3,namedgraphs,T,00,4,0.001616,200
tripleprov,10M,L3,namedgraphs,T,00,5,0.001616,200
tripleprov,10M,L3,namedgraphs,T,01,1,0.001811,200
tripleprov,10M,L3,namedgraphs,T,01,2,0.001513,200
tripleprov,10M,L3,namedgraphs,T,01,3,0.001487,200
tripleprov,10M,L3,namedgraphs,T,01,4,0.001493,200
tripleprov,10M,L3,namedgraphs,T,01,5,0.001489,200
tripleprov,10M,L3,namedgraphs,T,02,1,0.002146,200
tripleprov,10M,L3,namedgraphs,T,02,2,0.001672,200
tripleprov,10M,L3,namedgraphs,T,02,3,0.001638,200
tripleprov,10M,L3,namedgraphs,T,02,4,0.001647,200
tripleprov,10M,L3,namedgraphs,T,02,5,0.001635,200
tripleprov,10M,L3,namedgraphs,T,03,1,0.001599,200
tripleprov,10M,L3,namedgraphs,T,03,2,0.001318,200
tripleprov,10M,L3,namedgraphs,T,03,3,0.001298,200
tripleprov,10M,L3,namedgraphs,T,03,4,0.001293,200
tripleprov,10M,L3,namedgraphs,T,03,5,0.001304,200
tripleprov,10M,L3,namedgraphs,T,04,1,0.001526,200
tripleprov,10M,L3,namedgraphs,T,04,2,0.001183,200
tripleprov,10M,L3,namedgraphs,T,04,3,0.001185,200
tripleprov,10M,L3,namedgraphs,T,04,4,0.001181,200
tripleprov,10M,L3,namedgraphs,T,04,5,0.001172,200
tripleprov,10M,L3,namedgraphs,T,05,1,0.001482,200
tripleprov,10M,L3,namedgraphs,T,05,2,0.001177,200
tripleprov,10M,L3,namedgraphs,T,05,3,0.001166,200
tripleprov,10M,L3,namedgraphs,T,05,4,0.001178,200
tripleprov,10M,L3,namedgraphs,T,05,5,0.001161,200
tripleprov,10M,L3,namedgraphs,T,06,1,0.001571,200
tripleprov,10M,L3,namedgraphs,T,06,2,0.001222,200
tripleprov,10M,L3,namedgraphs,T,06,3,0.001196,200
tripleprov,10M,L3,namedgraphs,T,06,4,0.00119,200
tripleprov,10M,L3,namedgraphs,T,06,5,0.001196,200
tripleprov,10M,L3,namedgraphs,T,07,1,0.001576,200
tripleprov,10M,L3,namedgraphs,T,07,2,0.001159,200
tripleprov,10M,L3,namedgraphs,T,07,3,0.001158,200
tripleprov,10M,L3,namedgraphs,T,07,4,0.001156,200
tripleprov,10M,L3,namedgraphs,T,07,5,0.001147,200
tripleprov,10M,L3,namedgraphs,T,08,1,0.001852,200
tripleprov,10M,L3,namedgraphs,T,08,2,0.001405,200
tripleprov,10M,L3,namedgraphs,T,08,3,0.00139,200
tripleprov,10M,L3,namedgraphs,T,08,4,0.001396,200
tripleprov,10M,L3,namedgraphs,T,08,5,0.00139,200
tripleprov,10M,L3,namedgraphs,T,09,1,0.001066,200
tripleprov,10M,L3,namedgraphs,T,09,2,0.00086,200
tripleprov,10M,L3,namedgraphs,T,09,3,0.00086,200
tripleprov,10M,L3,namedgraphs,T,09,4,0.000857,200
tripleprov,10M,L3,namedgraphs,T,09,5,0.000854,200
