engine,size,template,scheme,mode,query_id,repetition,time,status
tripleprov,100M,L1,namedgraphs,T,00,1,0.003575,200
tripleprov,100M,L2,namedgraphs,T,00,1,2.214464,200
tripleprov,100M,L4,namedgraphs,T,00,1,0.184627,200
tripleprov,100M,L5,namedgraphs,T,00,1,0.918597,200
tripleprov,100M,S1,namedgraphs,T,00,1,0.006207,200
tripleprov,100M,S7,namedgraphs,T,00,1,0.000241,200
tripleprov,100M,L1,namedgraphs,T,00,2,0.002541,200
tripleprov,100M,L2,namedgraphs,T,00,2,1.696691,200
tripleprov,100M,L4,namedgraphs,T,00,2,0.135844,200
tripleprov,100M,L5,namedgraphs,T,00,2,0.676648,200
tripleprov,100M,S1,namedgraphs,T,00,2,0.005708,200
tripleprov,100M,S7,namedgraphs,T,00,2,0.000177,200
tripleprov,100M,L1,namedgraphs,T,00,3,0.002518,200
tripleprov,100M,L2,namedgraphs,T,00,3,1.700343,200
tripleprov,100M,L4,namedgraphs,T,00,3,0.133181,200
tripleprov,100M,L5,namedgraphs,T,00,3,0.678014,200
tripleprov,100M,S1,namedgraphs,T,00,3,0.009826,200
tripleprov,100M,S7,namedgraphs,T,00,3,0.000188,200
tripleprov,100M,L1,namedgraphs,T,00,4,0.002665,200
tripleprov,100M,L2,namedgraphs,T,00,4,1.731661,200
tripleprov,100M,L4,namedgraphs,T,00,4,0.133259,200
tripleprov,100M,L5,namedgraphs,T,00,4,0.686208,200
tripleprov,100M,S1,namedgraphs,T,00,4,0.005682,200
tripleprov,100M,S7,namedgraphs,T,00,4,0.000177,200
tripleprov,100M,L1,namedgraphs,T,00,5,0.002720,200
tripleprov,100M,L2,namedgraphs,T,00,5,1.741817,200
tripleprov,100M,L4,namedgraphs,T,00,5,0.135029,200
tripleprov,100M,L5,namedgraphs,T,00,5,0.678098,200
tripleprov,100M,S1,namedgraphs,T,00,5,0.005741,200
tripleprov,100M,S7,namedgraphs,T,00,5,0.000192,200
tripleprov,100M,F2,namedgraphs,T,00,1,13.639053,200
tripleprov,100M,F3,namedgraphs,T,00,1,19.621234,200
tripleprov,100M,F2,namedgraphs,T,00,2,13.890990,200
tripleprov,100M,F3,namedgraphs,T,00,2,18.259071,200
tripleprov,100M,F2,namedgraphs,T,00,3,12.686942,200
tripleprov,100M,F3,namedgraphs,T,00,3,18.139525,200
tripleprov,100M,F2,namedgraphs,T,00,4,12.676028,200
tripleprov,100M,F3,namedgraphs,T,00,4,17.897901,200
tripleprov,100M,F2,namedgraphs,T,00,5,12.762876,200
tripleprov,100M,F3,namedgraphs,T,00,5,18.363173,200
tripleprov,100M,F2,namedgraphs,T,00,1,13.424348,200
tripleprov,100M,F3,namedgraphs,T,00,1,18.677164,200
tripleprov,100M,F2,namedgraphs,T,00,2,12.672553,200
tripleprov,100M,F3,namedgraphs,T,00,2,17.573822,200
tripleprov,100M,F2,namedgraphs,T,00,3,12.528648,200
tripleprov,100M,F3,namedgraphs,T,00,3,17.600739,200
tripleprov,100M,F2,namedgraphs,T,00,4,12.586083,200
tripleprov,100M,F3,namedgraphs,T,00,4,17.328896,200
tripleprov,100M,F2,namedgraphs,T,00,5,12.548992,200
tripleprov,100M,F3,namedgraphs,T,00,5,18.170955,200
tripleprov,100M,F5,namedgraphs,T,00,1,0.011331,200
tripleprov,100M,F5,namedgraphs,T,00,2,0.005940,200
tripleprov,100M,F5,namedgraphs,T,00,3,0.005843,200
tripleprov,100M,F5,namedgraphs,T,00,4,0.005253,200
tripleprov,100M,F5,namedgraphs,T,00,5,0.005243,200
tripleprov,100M,S4,namedgraphs,T,00,1,300,100
tripleprov,100M,F1,namedgraphs,T,00,1,300,100
