engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F1,rdf,B,00,1,0.004895,200
virtuoso,100M,F1,rdf,B,01,1,0.005143,200
virtuoso,100M,F1,rdf,B,02,1,0.005027,200
virtuoso,100M,F1,rdf,B,03,1,0.005087,200
virtuoso,100M,F1,rdf,B,04,1,0.005047,200
virtuoso,100M,F1,rdf,B,05,1,0.004612,200
virtuoso,100M,F1,rdf,B,06,1,0.003960,200
virtuoso,100M,F1,rdf,B,07,1,0.006044,200
virtuoso,100M,F1,rdf,B,08,1,0.005247,200
virtuoso,100M,F1,rdf,B,09,1,0.004829,200
virtuoso,100M,F1,rdf,B,00,2,0.004969,200
virtuoso,100M,F1,rdf,B,01,2,0.005199,200
virtuoso,100M,F1,rdf,B,02,2,0.005077,200
virtuoso,100M,F1,rdf,B,03,2,0.004854,200
virtuoso,100M,F1,rdf,B,04,2,0.004914,200
virtuoso,100M,F1,rdf,B,05,2,0.004316,200
virtuoso,100M,F1,rdf,B,06,2,0.003881,200
virtuoso,100M,F1,rdf,B,07,2,0.006284,200
virtuoso,100M,F1,rdf,B,08,2,0.005118,200
virtuoso,100M,F1,rdf,B,09,2,0.004784,200
virtuoso,100M,F1,rdf,B,00,3,0.004777,200
virtuoso,100M,F1,rdf,B,01,3,0.005198,200
virtuoso,100M,F1,rdf,B,02,3,0.004768,200
virtuoso,100M,F1,rdf,B,03,3,0.004803,200
virtuoso,100M,F1,rdf,B,04,3,0.004790,200
virtuoso,100M,F1,rdf,B,05,3,0.004611,200
virtuoso,100M,F1,rdf,B,06,3,0.003814,200
virtuoso,100M,F1,rdf,B,07,3,0.006108,200
virtuoso,100M,F1,rdf,B,08,3,0.005239,200
virtuoso,100M,F1,rdf,B,09,3,0.004781,200
virtuoso,100M,F1,rdf,B,00,4,0.004802,200
virtuoso,100M,F1,rdf,B,01,4,0.005121,200
virtuoso,100M,F1,rdf,B,02,4,0.004854,200
virtuoso,100M,F1,rdf,B,03,4,0.004958,200
virtuoso,100M,F1,rdf,B,04,4,0.004761,200
virtuoso,100M,F1,rdf,B,05,4,0.004444,200
virtuoso,100M,F1,rdf,B,06,4,0.003745,200
virtuoso,100M,F1,rdf,B,07,4,0.005969,200
virtuoso,100M,F1,rdf,B,08,4,0.005030,200
virtuoso,100M,F1,rdf,B,09,4,0.004769,200
virtuoso,100M,F1,rdf,B,00,5,0.004772,200
virtuoso,100M,F1,rdf,B,01,5,0.005165,200
virtuoso,100M,F1,rdf,B,02,5,0.004855,200
virtuoso,100M,F1,rdf,B,03,5,0.005333,200
virtuoso,100M,F1,rdf,B,04,5,0.004987,200
virtuoso,100M,F1,rdf,B,05,5,0.004491,200
virtuoso,100M,F1,rdf,B,06,5,0.003811,200
virtuoso,100M,F1,rdf,B,07,5,0.006121,200
virtuoso,100M,F1,rdf,B,08,5,0.005019,200
virtuoso,100M,F1,rdf,B,09,5,0.004715,200
