engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F1,wikidata,P,00,1,0.01169116422533989,200
virtuoso,100M,F1,wikidata,P,01,1,0.011619627475738525,200
virtuoso,100M,F1,wikidata,P,02,1,0.011689480394124985,200
virtuoso,100M,F1,wikidata,P,03,1,0.011652280576527119,200
virtuoso,100M,F1,wikidata,P,04,1,0.011519059538841248,200
virtuoso,100M,F1,wikidata,P,05,1,0.011762859299778938,200
virtuoso,100M,F1,wikidata,P,06,1,0.012274764478206635,200
virtuoso,100M,F1,wikidata,P,07,1,0.01200330164283514,200
virtuoso,100M,F1,wikidata,P,08,1,0.011546150781214237,200
virtuoso,100M,F1,wikidata,P,09,1,0.011542272754013538,200
virtuoso,100M,F1,wikidata,P,00,2,0.011506726033985615,200
virtuoso,100M,F1,wikidata,P,01,2,0.011764963157474995,200
virtuoso,100M,F1,wikidata,P,02,2,0.011766214855015278,200
virtuoso,100M,F1,wikidata,P,03,2,0.01218896172940731,200
virtuoso,100M,F1,wikidata,P,04,2,0.012152442708611488,200
virtuoso,100M,F1,wikidata,P,05,2,0.011941405944526196,200
virtuoso,100M,F1,wikidata,P,06,2,0.011913112364709377,200
virtuoso,100M,F1,wikidata,P,07,2,0.011699029244482517,200
virtuoso,100M,F1,wikidata,P,08,2,0.011693397536873817,200
virtuoso,100M,F1,wikidata,P,09,2,0.012148996815085411,200
virtuoso,100M,F1,wikidata,P,00,3,0.012011026963591576,200
virtuoso,100M,F1,wikidata,P,01,3,0.01193680614233017,200
virtuoso,100M,F1,wikidata,P,02,3,0.012207267805933952,200
virtuoso,100M,F1,wikidata,P,03,3,0.011727552860975266,200
virtuoso,100M,F1,wikidata,P,04,3,0.012109512463212013,200
virtuoso,100M,F1,wikidata,P,05,3,0.012160027399659157,200
virtuoso,100M,F1,wikidata,P,06,3,0.012208620086312294,200
virtuoso,100M,F1,wikidata,P,07,3,0.01222249586135149,200
virtuoso,100M,F1,wikidata,P,08,3,0.012144317850470543,200
virtuoso,100M,F1,wikidata,P,09,3,0.011843009851872921,200
virtuoso,100M,F1,wikidata,P,00,4,0.011479264125227928,200
virtuoso,100M,F1,wikidata,P,01,4,0.012096969410777092,200
virtuoso,100M,F1,wikidata,P,02,4,0.012030985206365585,200
virtuoso,100M,F1,wikidata,P,03,4,0.01155267283320427,200
virtuoso,100M,F1,wikidata,P,04,4,0.011430172249674797,200
virtuoso,100M,F1,wikidata,P,05,4,0.011973326094448566,200
virtuoso,100M,F1,wikidata,P,06,4,0.011578941717743874,200
virtuoso,100M,F1,wikidata,P,07,4,0.011579352430999279,200
virtuoso,100M,F1,wikidata,P,08,4,0.012110886164009571,200
virtuoso,100M,F1,wikidata,P,09,4,0.01159178651869297,200
virtuoso,100M,F1,wikidata,P,00,5,0.012125442735850811,200
virtuoso,100M,F1,wikidata,P,01,5,0.011731470003724098,200
virtuoso,100M,F1,wikidata,P,02,5,0.011961634270846844,200
virtuoso,100M,F1,wikidata,P,03,5,0.011985007673501968,200
virtuoso,100M,F1,wikidata,P,04,5,0.011583169922232628,200
virtuoso,100M,F1,wikidata,P,05,5,0.011504041031002998,200
virtuoso,100M,F1,wikidata,P,06,5,0.011663681827485561,200
virtuoso,100M,F1,wikidata,P,07,5,0.012086940929293633,200
virtuoso,100M,F1,wikidata,P,08,5,0.01219470240175724,200
virtuoso,100M,F1,wikidata,P,09,5,0.012246460653841496,200
