engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F2,rdf,R,00,1,0.11119440197944641,200
virtuoso,100M,F2,rdf,R,01,1,0.11382972355931997,200
virtuoso,100M,F2,rdf,R,02,1,0.07537097577005625,200
virtuoso,100M,F2,rdf,R,03,1,0.01938631944358349,200
virtuoso,100M,F2,rdf,R,04,1,0.08472491055727005,200
virtuoso,100M,F2,rdf,R,05,1,0.1053802240639925,200
virtuoso,100M,F2,rdf,R,06,1,0.09942641388624907,200
virtuoso,100M,F2,rdf,R,07,1,0.09887476172298193,200
virtuoso,100M,F2,rdf,R,08,1,0.0946314986795187,200
virtuoso,100M,F2,rdf,R,09,1,0.077806550078094,200
virtuoso,100M,F2,rdf,R,00,2,0.11212352383881807,200
virtuoso,100M,F2,rdf,R,01,2,0.1156773492693901,200
virtuoso,100M,F2,rdf,R,02,2,0.07792379148304462,200
virtuoso,100M,F2,rdf,R,03,2,0.018048475496470928,200
virtuoso,100M,F2,rdf,R,04,2,0.08447977900505066,200
virtuoso,100M,F2,rdf,R,05,2,0.10841322597116232,200
virtuoso,100M,F2,rdf,R,06,2,0.09987839497625828,200
virtuoso,100M,F2,rdf,R,07,2,0.09940141532570124,200
virtuoso,100M,F2,rdf,R,08,2,0.09511317685246468,200
virtuoso,100M,F2,rdf,R,09,2,0.07757557462900877,200
virtuoso,100M,F2,rdf,R,00,3,0.11297943908721209,200
virtuoso,100M,F2,rdf,R,01,3,0.1142053110525012,200
virtuoso,100M,F2,rdf,R,02,3,0.07821689452975988,200
virtuoso,100M,F2,rdf,R,03,3,0.017673838883638382,200
virtuoso,100M,F2,rdf,R,04,3,0.08790076058357954,200
virtuoso,100M,F2,rdf,R,05,3,0.10838804766535759,200
virtuoso,100M,F2,rdf,R,06,3,0.09596722852438688,200
virtuoso,100M,F2,rdf,R,07,3,0.09872629214078188,200
virtuoso,100M,F2,rdf,R,08,3,0.09342488180845976,200
virtuoso,100M,F2,rdf,R,09,3,0.0798288844525814,200
virtuoso,100M,F2,rdf,R,00,4,0.11091773025691509,200
virtuoso,100M,F2,rdf,R,01,4,0.11078325659036636,200
virtuoso,100M,F2,rdf,R,02,4,0.07586290501058102,200
virtuoso,100M,F2,rdf,R,03,4,0.01761314459145069,200
virtuoso,100M,F2,rdf,R,04,4,0.08545960672199726,200
virtuoso,100M,F2,rdf,R,05,4,0.10785557329654694,200
virtuoso,100M,F2,rdf,R,06,4,0.09964016638696194,200
virtuoso,100M,F2,rdf,R,07,4,0.09351478051394224,200
virtuoso,100M,F2,rdf,R,08,4,0.09365595784038305,200
virtuoso,100M,F2,rdf,R,09,4,0.07988238614052534,200
virtuoso,100M,F2,rdf,R,00,5,0.11092996317893267,200
virtuoso,100M,F2,rdf,R,01,5,0.11398250982165337,200
virtuoso,100M,F2,rdf,R,02,5,0.07264182902872562,200
virtuoso,100M,F2,rdf,R,03,5,0.01707999873906374,200
virtuoso,100M,F2,rdf,R,04,5,0.08587092347443104,200
virtuoso,100M,F2,rdf,R,05,5,0.10700514912605286,200
virtuoso,100M,F2,rdf,R,06,5,0.0987857049331069,200
virtuoso,100M,F2,rdf,R,07,5,0.09569700807332993,200
virtuoso,100M,F2,rdf,R,08,5,0.09343431890010834,200
virtuoso,100M,F2,rdf,R,09,5,0.07872782740741968,200
