engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F3,namedgraphs,P,00,1,0.069452,200
virtuoso,100M,F3,namedgraphs,P,01,1,0.054381,200
virtuoso,100M,F3,namedgraphs,P,02,1,0.061710,200
virtuoso,100M,F3,namedgraphs,P,03,1,0.039138,200
virtuoso,100M,F3,namedgraphs,P,04,1,0.174801,200
virtuoso,100M,F3,namedgraphs,P,05,1,0.190058,200
virtuoso,100M,F3,namedgraphs,P,06,1,0.172925,200
virtuoso,100M,F3,namedgraphs,P,07,1,0.017335,200
virtuoso,100M,F3,namedgraphs,P,08,1,0.185959,200
virtuoso,100M,F3,namedgraphs,P,09,1,0.058818,200
