engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F3,namedgraphs,R,00,1,0.034074136056005955,200
virtuoso,100M,F3,namedgraphs,R,01,1,0.03494721185415983,200
virtuoso,100M,F3,namedgraphs,R,02,1,0.03586120530962944,200
virtuoso,100M,F3,namedgraphs,R,03,1,0.029444312676787376,200
virtuoso,100M,F3,namedgraphs,R,04,1,0.0714045912027359,200
virtuoso,100M,F3,namedgraphs,R,05,1,0.07552413176745176,200
virtuoso,100M,F3,namedgraphs,R,06,1,0.07118105981498957,200
virtuoso,100M,F3,namedgraphs,R,07,1,0.021522242575883865,200
virtuoso,100M,F3,namedgraphs,R,08,1,0.07548817340284586,200
virtuoso,100M,F3,namedgraphs,R,09,1,0.0362497977912426,200
virtuoso,100M,F3,namedgraphs,R,00,2,0.033782816492021084,200
virtuoso,100M,F3,namedgraphs,R,01,2,0.03413055371493101,200
virtuoso,100M,F3,namedgraphs,R,02,2,0.03511241264641285,200
virtuoso,100M,F3,namedgraphs,R,03,2,0.029391865245997906,200
virtuoso,100M,F3,namedgraphs,R,04,2,0.07063843682408333,200
virtuoso,100M,F3,namedgraphs,R,05,2,0.07721335720270872,200
virtuoso,100M,F3,namedgraphs,R,06,2,0.07023332361131907,200
virtuoso,100M,F3,namedgraphs,R,07,2,0.02167048119008541,200
virtuoso,100M,F3,namedgraphs,R,08,2,0.07643189374357462,200
virtuoso,100M,F3,namedgraphs,R,09,2,0.035480817779898643,200
virtuoso,100M,F3,namedgraphs,R,00,3,0.03422372788190842,200
virtuoso,100M,F3,namedgraphs,R,01,3,0.034652105532586575,200
virtuoso,100M,F3,namedgraphs,R,02,3,0.03597018122673035,200
virtuoso,100M,F3,namedgraphs,R,03,3,0.029446939006447792,200
virtuoso,100M,F3,namedgraphs,R,04,3,0.07276765163987875,200
virtuoso,100M,F3,namedgraphs,R,05,3,0.07515541650354862,200
virtuoso,100M,F3,namedgraphs,R,06,3,0.07026496157050133,200
virtuoso,100M,F3,namedgraphs,R,07,3,0.02162829227745533,200
virtuoso,100M,F3,namedgraphs,R,08,3,0.07569977268576622,200
virtuoso,100M,F3,namedgraphs,R,09,3,0.03649270627647638,200
virtuoso,100M,F3,namedgraphs,R,00,4,0.03334365878254175,200
virtuoso,100M,F3,namedgraphs,R,01,4,0.0341324657201767,200
virtuoso,100M,F3,namedgraphs,R,02,4,0.03639943990856409,200
virtuoso,100M,F3,namedgraphs,R,03,4,0.029962751083076,200
virtuoso,100M,F3,namedgraphs,R,04,4,0.07086871098726988,200
virtuoso,100M,F3,namedgraphs,R,05,4,0.07725560758262873,200
virtuoso,100M,F3,namedgraphs,R,06,4,0.0712176002562046,200
virtuoso,100M,F3,namedgraphs,R,07,4,0.021567576564848423,200
virtuoso,100M,F3,namedgraphs,R,08,4,0.07498154044151306,200
virtuoso,100M,F3,namedgraphs,R,09,4,0.035658192820847034,200
virtuoso,100M,F3,namedgraphs,R,00,5,0.03427196852862835,200
virtuoso,100M,F3,namedgraphs,R,01,5,0.035148901864886284,200
virtuoso,100M,F3,namedgraphs,R,02,5,0.03640202432870865,200
virtuoso,100M,F3,namedgraphs,R,03,5,0.028511743992567062,200
virtuoso,100M,F3,namedgraphs,R,04,5,0.06996478699147701,200
virtuoso,100M,F3,namedgraphs,R,05,5,0.07489304058253765,200
virtuoso,100M,F3,namedgraphs,R,06,5,0.07190247159451246,200
virtuoso,100M,F3,namedgraphs,R,07,5,0.021675861440598965,200
virtuoso,100M,F3,namedgraphs,R,08,5,0.16502769850194454,200
virtuoso,100M,F3,namedgraphs,R,09,5,0.035340264439582825,200
