engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F4,rdf,P,00,1,1.9612580183893442,200
virtuoso,100M,F4,rdf,P,01,1,1.9739774391055107,200
virtuoso,100M,F4,rdf,P,02,1,1.9858630867674947,200
virtuoso,100M,F4,rdf,P,03,1,1.9860884230583906,200
virtuoso,100M,F4,rdf,P,04,1,2.114224632270634,200
virtuoso,100M,F4,rdf,P,05,1,1.9819047525525093,200
virtuoso,100M,F4,rdf,P,06,1,1.936625531874597,200
virtuoso,100M,F4,rdf,P,07,1,1.8388071674853563,200
virtuoso,100M,F4,rdf,P,08,1,1.8507966101169586,200
virtuoso,100M,F4,rdf,P,09,1,1.8602901557460427,200
virtuoso,100M,F4,rdf,P,00,2,1.8452398795634508,200
virtuoso,100M,F4,rdf,P,01,2,1.852488663047552,200
virtuoso,100M,F4,rdf,P,02,2,1.8462507082149386,200
virtuoso,100M,F4,rdf,P,03,2,1.8248453056439757,200
virtuoso,100M,F4,rdf,P,04,2,1.8771321941167116,200
virtuoso,100M,F4,rdf,P,05,2,1.8347977874800563,200
virtuoso,100M,F4,rdf,P,06,2,1.8995963651686907,200
virtuoso,100M,F4,rdf,P,07,2,1.8391316318884492,200
virtuoso,100M,F4,rdf,P,08,2,1.8530609346926212,200
virtuoso,100M,F4,rdf,P,09,2,1.87058250233531,200
virtuoso,100M,F4,rdf,P,00,3,1.8587651150301099,200
virtuoso,100M,F4,rdf,P,01,3,1.895319951698184,200
virtuoso,100M,F4,rdf,P,02,3,1.8908683266490698,200
virtuoso,100M,F4,rdf,P,03,3,1.8415126474574208,200
virtuoso,100M,F4,rdf,P,04,3,1.9007428921759129,200
virtuoso,100M,F4,rdf,P,05,3,1.871768762357533,200
virtuoso,100M,F4,rdf,P,06,3,1.9399753790348768,200
virtuoso,100M,F4,rdf,P,07,3,1.8767609791830182,200
virtuoso,100M,F4,rdf,P,08,3,1.886857363395393,200
virtuoso,100M,F4,rdf,P,09,3,1.8757338235154748,200
virtuoso,100M,F4,rdf,P,00,4,1.8693394642323256,200
virtuoso,100M,F4,rdf,P,01,4,1.9192031817510724,200
virtuoso,100M,F4,rdf,P,02,4,1.9007105035707355,200
virtuoso,100M,F4,rdf,P,03,4,1.8355403756722808,200
virtuoso,100M,F4,rdf,P,04,4,1.8757661068812013,200
virtuoso,100M,F4,rdf,P,05,4,2.005075258202851,200
virtuoso,100M,F4,rdf,P,06,4,2.0488208876922727,200
virtuoso,100M,F4,rdf,P,07,4,1.988497301004827,200
virtuoso,100M,F4,rdf,P,08,4,2.019901373423636,200
virtuoso,100M,F4,rdf,P,09,4,2.0164674362167716,200
virtuoso,100M,F4,rdf,P,00,5,1.8906257459893823,200
virtuoso,100M,F4,rdf,P,01,5,1.8784498907625675,200
virtuoso,100M,F4,rdf,P,02,5,1.8868747912347317,200
virtuoso,100M,F4,rdf,P,03,5,1.8485989486798644,200
virtuoso,100M,F4,rdf,P,04,5,1.902085430920124,200
virtuoso,100M,F4,rdf,P,05,5,1.85382295306772,200
virtuoso,100M,F4,rdf,P,06,5,2.0445937290787697,200
virtuoso,100M,F4,rdf,P,07,5,2.0083367647603154,200
virtuoso,100M,F4,rdf,P,08,5,1.8801291501149535,200
virtuoso,100M,F4,rdf,P,09,5,1.8851558519527316,200
