engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F4,wikidata,R,00,1,0.045720,200
virtuoso,100M,F4,wikidata,R,01,1,0.054485,200
virtuoso,100M,F4,wikidata,R,02,1,0.047713,200
virtuoso,100M,F4,wikidata,R,03,1,0.042665,200
virtuoso,100M,F4,wikidata,R,04,1,0.051605,200
virtuoso,100M,F4,wikidata,R,05,1,0.043674,200
virtuoso,100M,F4,wikidata,R,06,1,0.060454,200
virtuoso,100M,F4,wikidata,R,07,1,0.042621,200
virtuoso,100M,F4,wikidata,R,08,1,0.047977,200
virtuoso,100M,F4,wikidata,R,09,1,0.049702,200
virtuoso,100M,F4,wikidata,R,00,2,0.045910,200
virtuoso,100M,F4,wikidata,R,01,2,0.050220,200
virtuoso,100M,F4,wikidata,R,02,2,0.046985,200
virtuoso,100M,F4,wikidata,R,03,2,0.042636,200
virtuoso,100M,F4,wikidata,R,04,2,0.051549,200
virtuoso,100M,F4,wikidata,R,05,2,0.044625,200
virtuoso,100M,F4,wikidata,R,06,2,0.059015,200
virtuoso,100M,F4,wikidata,R,07,2,0.043961,200
virtuoso,100M,F4,wikidata,R,08,2,0.046816,200
virtuoso,100M,F4,wikidata,R,09,2,0.049483,200
virtuoso,100M,F4,wikidata,R,00,3,0.046779,200
virtuoso,100M,F4,wikidata,R,01,3,0.049497,200
virtuoso,100M,F4,wikidata,R,02,3,0.048077,200
virtuoso,100M,F4,wikidata,R,03,3,0.042460,200
virtuoso,100M,F4,wikidata,R,04,3,0.052252,200
virtuoso,100M,F4,wikidata,R,05,3,0.044116,200
virtuoso,100M,F4,wikidata,R,06,3,0.060356,200
virtuoso,100M,F4,wikidata,R,07,3,0.043009,200
virtuoso,100M,F4,wikidata,R,08,3,0.046349,200
virtuoso,100M,F4,wikidata,R,09,3,0.050299,200
virtuoso,100M,F4,wikidata,R,00,4,0.045678,200
virtuoso,100M,F4,wikidata,R,01,4,0.050396,200
virtuoso,100M,F4,wikidata,R,02,4,0.047046,200
virtuoso,100M,F4,wikidata,R,03,4,0.043609,200
virtuoso,100M,F4,wikidata,R,04,4,0.051402,200
virtuoso,100M,F4,wikidata,R,05,4,0.044003,200
virtuoso,100M,F4,wikidata,R,06,4,0.060188,200
virtuoso,100M,F4,wikidata,R,07,4,0.043067,200
virtuoso,100M,F4,wikidata,R,08,4,0.047943,200
virtuoso,100M,F4,wikidata,R,09,4,0.049585,200
virtuoso,100M,F4,wikidata,R,00,5,0.046949,200
virtuoso,100M,F4,wikidata,R,01,5,0.049499,200
virtuoso,100M,F4,wikidata,R,02,5,0.047063,200
virtuoso,100M,F4,wikidata,R,03,5,0.042088,200
virtuoso,100M,F4,wikidata,R,04,5,0.051936,200
virtuoso,100M,F4,wikidata,R,05,5,0.043368,200
virtuoso,100M,F4,wikidata,R,06,5,0.058654,200
virtuoso,100M,F4,wikidata,R,07,5,0.043453,200
virtuoso,100M,F4,wikidata,R,08,5,0.047228,200
virtuoso,100M,F4,wikidata,R,09,5,0.050748,200
