engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F5,namedgraphs,B,00,1,0.014014017768204212,200
virtuoso,100M,F5,namedgraphs,B,01,1,0.015079125761985779,200
virtuoso,100M,F5,namedgraphs,B,02,1,0.015193281695246696,200
virtuoso,100M,F5,namedgraphs,B,03,1,0.015019805170595646,200
virtuoso,100M,F5,namedgraphs,B,04,1,0.013500260189175606,200
virtuoso,100M,F5,namedgraphs,B,05,1,0.015234388411045074,200
virtuoso,100M,F5,namedgraphs,B,06,1,0.014958989806473255,200
virtuoso,100M,F5,namedgraphs,B,07,1,0.013890434987843037,200
virtuoso,100M,F5,namedgraphs,B,08,1,0.014667130075395107,200
virtuoso,100M,F5,namedgraphs,B,09,1,0.014177235774695873,200
virtuoso,100M,F5,namedgraphs,B,00,2,0.013818981125950813,200
virtuoso,100M,F5,namedgraphs,B,01,2,0.015515970066189766,200
virtuoso,100M,F5,namedgraphs,B,02,2,0.01524466834962368,200
virtuoso,100M,F5,namedgraphs,B,03,2,0.01510869525372982,200
virtuoso,100M,F5,namedgraphs,B,04,2,0.013593222945928574,200
virtuoso,100M,F5,namedgraphs,B,05,2,0.015046761371195316,200
virtuoso,100M,F5,namedgraphs,B,06,2,0.014941270463168621,200
virtuoso,100M,F5,namedgraphs,B,07,2,0.013631734997034073,200
virtuoso,100M,F5,namedgraphs,B,08,2,0.015007326379418373,200
virtuoso,100M,F5,namedgraphs,B,09,2,0.014599625021219254,200
virtuoso,100M,F5,namedgraphs,B,00,3,0.014587121084332466,200
virtuoso,100M,F5,namedgraphs,B,01,3,0.015530403703451157,200
virtuoso,100M,F5,namedgraphs,B,02,3,0.015431548468768597,200
virtuoso,100M,F5,namedgraphs,B,03,3,0.014837054535746574,200
virtuoso,100M,F5,namedgraphs,B,04,3,0.013602088205516338,200
virtuoso,100M,F5,namedgraphs,B,05,3,0.015190972946584225,200
virtuoso,100M,F5,namedgraphs,B,06,3,0.01538156345486641,200
virtuoso,100M,F5,namedgraphs,B,07,3,0.013608819805085659,200
virtuoso,100M,F5,namedgraphs,B,08,3,0.014445982873439789,200
virtuoso,100M,F5,namedgraphs,B,09,3,0.0138266421854496,200
virtuoso,100M,F5,namedgraphs,B,00,4,0.013818236067891121,200
virtuoso,100M,F5,namedgraphs,B,01,4,0.015647963620722294,200
virtuoso,100M,F5,namedgraphs,B,02,4,0.015404025092720985,200
virtuoso,100M,F5,namedgraphs,B,03,4,0.015122882090508938,200
virtuoso,100M,F5,namedgraphs,B,04,4,0.013424412347376347,200
virtuoso,100M,F5,namedgraphs,B,05,4,0.015377904288470745,200
virtuoso,100M,F5,namedgraphs,B,06,4,0.014781996607780457,200
virtuoso,100M,F5,namedgraphs,B,07,4,0.013542925007641315,200
virtuoso,100M,F5,namedgraphs,B,08,4,0.015039011836051941,200
virtuoso,100M,F5,namedgraphs,B,09,4,0.01421500463038683,200
virtuoso,100M,F5,namedgraphs,B,00,5,0.013726290315389633,200
virtuoso,100M,F5,namedgraphs,B,01,5,0.015533857978880405,200
virtuoso,100M,F5,namedgraphs,B,02,5,0.01519414596259594,200
virtuoso,100M,F5,namedgraphs,B,03,5,0.015229351818561554,200
virtuoso,100M,F5,namedgraphs,B,04,5,0.013602505438029766,200
virtuoso,100M,F5,namedgraphs,B,05,5,0.01516589242964983,200
virtuoso,100M,F5,namedgraphs,B,06,5,0.01473445538431406,200
virtuoso,100M,F5,namedgraphs,B,07,5,0.014781694859266281,200
virtuoso,100M,F5,namedgraphs,B,08,5,0.014785892330110073,200
virtuoso,100M,F5,namedgraphs,B,09,5,0.014432022348046303,200
