engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,F5,wikidata,B,00,1,0.01392303965985775,200
virtuoso,100M,F5,wikidata,B,01,1,0.015141618438065052,200
virtuoso,100M,F5,wikidata,B,02,1,0.015166085213422775,200
virtuoso,100M,F5,wikidata,B,03,1,0.014739309437572956,200
virtuoso,100M,F5,wikidata,B,04,1,0.014018869958817959,200
virtuoso,100M,F5,wikidata,B,05,1,0.014817595481872559,200
virtuoso,100M,F5,wikidata,B,06,1,0.01520516723394394,200
virtuoso,100M,F5,wikidata,B,07,1,0.01356431283056736,200
virtuoso,100M,F5,wikidata,B,08,1,0.015151085332036018,200
virtuoso,100M,F5,wikidata,B,09,1,0.014455113559961319,200
virtuoso,100M,F5,wikidata,B,00,2,0.013945612125098705,200
virtuoso,100M,F5,wikidata,B,01,2,0.015280108898878098,200
virtuoso,100M,F5,wikidata,B,02,2,0.015632443130016327,200
virtuoso,100M,F5,wikidata,B,03,2,0.01457161270081997,200
virtuoso,100M,F5,wikidata,B,04,2,0.013557229191064835,200
virtuoso,100M,F5,wikidata,B,05,2,0.014861971139907837,200
virtuoso,100M,F5,wikidata,B,06,2,0.014825772494077682,200
virtuoso,100M,F5,wikidata,B,07,2,0.013482319191098213,200
virtuoso,100M,F5,wikidata,B,08,2,0.014743998646736145,200
virtuoso,100M,F5,wikidata,B,09,2,0.013898513279855251,200
virtuoso,100M,F5,wikidata,B,00,3,0.013927668333053589,200
virtuoso,100M,F5,wikidata,B,01,3,0.015116420574486256,200
virtuoso,100M,F5,wikidata,B,02,3,0.015208372846245766,200
virtuoso,100M,F5,wikidata,B,03,3,0.01469780970364809,200
virtuoso,100M,F5,wikidata,B,04,3,0.014068733900785446,200
virtuoso,100M,F5,wikidata,B,05,3,0.01504865288734436,200
virtuoso,100M,F5,wikidata,B,06,3,0.015087214298546314,200
virtuoso,100M,F5,wikidata,B,07,3,0.013416294008493423,200
virtuoso,100M,F5,wikidata,B,08,3,0.014819139614701271,200
virtuoso,100M,F5,wikidata,B,09,3,0.013981941156089306,200
virtuoso,100M,F5,wikidata,B,00,4,0.013926916755735874,200
virtuoso,100M,F5,wikidata,B,01,4,0.01522948406636715,200
virtuoso,100M,F5,wikidata,B,02,4,0.015687989071011543,200
virtuoso,100M,F5,wikidata,B,03,4,0.014968621544539928,200
virtuoso,100M,F5,wikidata,B,04,4,0.0139866191893816,200
virtuoso,100M,F5,wikidata,B,05,4,0.015052749775350094,200
virtuoso,100M,F5,wikidata,B,06,4,0.014847644604742527,200
virtuoso,100M,F5,wikidata,B,07,4,0.01360614225268364,200
virtuoso,100M,F5,wikidata,B,08,4,0.014893550425767899,200
virtuoso,100M,F5,wikidata,B,09,4,0.013808452524244785,200
virtuoso,100M,F5,wikidata,B,00,5,0.014113228768110275,200
virtuoso,100M,F5,wikidata,B,01,5,0.015409632585942745,200
virtuoso,100M,F5,wikidata,B,02,5,0.015313362702727318,200
virtuoso,100M,F5,wikidata,B,03,5,0.014915110543370247,200
virtuoso,100M,F5,wikidata,B,04,5,0.013162585906684399,200
virtuoso,100M,F5,wikidata,B,05,5,0.01494838297367096,200
virtuoso,100M,F5,wikidata,B,06,5,0.014417151920497417,200
virtuoso,100M,F5,wikidata,B,07,5,0.012960975058376789,200
virtuoso,100M,F5,wikidata,B,08,5,0.014378678984940052,200
virtuoso,100M,F5,wikidata,B,09,5,0.01398315280675888,200
