engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L1,namedgraphs,R,00,1,0.001553,200
virtuoso,100M,L1,namedgraphs,R,01,1,0.001584,200
virtuoso,100M,L1,namedgraphs,R,02,1,0.001669,200
virtuoso,100M,L1,namedgraphs,R,03,1,0.001724,200
virtuoso,100M,L1,namedgraphs,R,04,1,0.001766,200
virtuoso,100M,L1,namedgraphs,R,05,1,0.001598,200
virtuoso,100M,L1,namedgraphs,R,06,1,0.001738,200
virtuoso,100M,L1,namedgraphs,R,07,1,0.001713,200
virtuoso,100M,L1,namedgraphs,R,08,1,0.001870,200
virtuoso,100M,L1,namedgraphs,R,09,1,0.001690,200
virtuoso,100M,L1,namedgraphs,R,00,2,0.001624,200
virtuoso,100M,L1,namedgraphs,R,01,2,0.001680,200
virtuoso,100M,L1,namedgraphs,R,02,2,0.001674,200
virtuoso,100M,L1,namedgraphs,R,03,2,0.001640,200
virtuoso,100M,L1,namedgraphs,R,04,2,0.001832,200
virtuoso,100M,L1,namedgraphs,R,05,2,0.001828,200
virtuoso,100M,L1,namedgraphs,R,06,2,0.001644,200
virtuoso,100M,L1,namedgraphs,R,07,2,0.001716,200
virtuoso,100M,L1,namedgraphs,R,08,2,0.001876,200
virtuoso,100M,L1,namedgraphs,R,09,2,0.001613,200
virtuoso,100M,L1,namedgraphs,R,00,3,0.001620,200
virtuoso,100M,L1,namedgraphs,R,01,3,0.001678,200
virtuoso,100M,L1,namedgraphs,R,02,3,0.001760,200
virtuoso,100M,L1,namedgraphs,R,03,3,0.001639,200
virtuoso,100M,L1,namedgraphs,R,04,3,0.001784,200
virtuoso,100M,L1,namedgraphs,R,05,3,0.001639,200
virtuoso,100M,L1,namedgraphs,R,06,3,0.001776,200
virtuoso,100M,L1,namedgraphs,R,07,3,0.001744,200
virtuoso,100M,L1,namedgraphs,R,08,3,0.001895,200
virtuoso,100M,L1,namedgraphs,R,09,3,0.001692,200
virtuoso,100M,L1,namedgraphs,R,00,4,0.001597,200
virtuoso,100M,L1,namedgraphs,R,01,4,0.001671,200
virtuoso,100M,L1,namedgraphs,R,02,4,0.001726,200
virtuoso,100M,L1,namedgraphs,R,03,4,0.001628,200
virtuoso,100M,L1,namedgraphs,R,04,4,0.001881,200
virtuoso,100M,L1,namedgraphs,R,05,4,0.001854,200
virtuoso,100M,L1,namedgraphs,R,06,4,0.001797,200
virtuoso,100M,L1,namedgraphs,R,07,4,0.001736,200
virtuoso,100M,L1,namedgraphs,R,08,4,0.001915,200
virtuoso,100M,L1,namedgraphs,R,09,4,0.001772,200
virtuoso,100M,L1,namedgraphs,R,00,5,0.001614,200
virtuoso,100M,L1,namedgraphs,R,01,5,0.001693,200
virtuoso,100M,L1,namedgraphs,R,02,5,0.001662,200
virtuoso,100M,L1,namedgraphs,R,03,5,0.001769,200
virtuoso,100M,L1,namedgraphs,R,04,5,0.001611,200
virtuoso,100M,L1,namedgraphs,R,05,5,0.001571,200
virtuoso,100M,L1,namedgraphs,R,06,5,0.001574,200
virtuoso,100M,L1,namedgraphs,R,07,5,0.001501,200
virtuoso,100M,L1,namedgraphs,R,08,5,0.001626,200
virtuoso,100M,L1,namedgraphs,R,09,5,0.001548,200
