engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L1,wikidata,B,00,1,0.011895565316081047,200
virtuoso,100M,L1,wikidata,B,01,1,0.01229133177548647,200
virtuoso,100M,L1,wikidata,B,02,1,0.011970226652920246,200
virtuoso,100M,L1,wikidata,B,03,1,0.012216901406645775,200
virtuoso,100M,L1,wikidata,B,04,1,0.012567583471536636,200
virtuoso,100M,L1,wikidata,B,05,1,0.012148593552410603,200
virtuoso,100M,L1,wikidata,B,06,1,0.012373026460409164,200
virtuoso,100M,L1,wikidata,B,07,1,0.012571380473673344,200
virtuoso,100M,L1,wikidata,B,08,1,0.012552795931696892,200
virtuoso,100M,L1,wikidata,B,09,1,0.011875197291374207,200
virtuoso,100M,L1,wikidata,B,00,2,0.012264722026884556,200
virtuoso,100M,L1,wikidata,B,01,2,0.011919321492314339,200
virtuoso,100M,L1,wikidata,B,02,2,0.011832267045974731,200
virtuoso,100M,L1,wikidata,B,03,2,0.012155827134847641,200
virtuoso,100M,L1,wikidata,B,04,2,0.01223546639084816,200
virtuoso,100M,L1,wikidata,B,05,2,0.012537596747279167,200
virtuoso,100M,L1,wikidata,B,06,2,0.011948666535317898,200
virtuoso,100M,L1,wikidata,B,07,2,0.01204063929617405,200
virtuoso,100M,L1,wikidata,B,08,2,0.011775500141084194,200
virtuoso,100M,L1,wikidata,B,09,2,0.01238701306283474,200
virtuoso,100M,L1,wikidata,B,00,3,0.011774326674640179,200
virtuoso,100M,L1,wikidata,B,01,3,0.012493522837758064,200
virtuoso,100M,L1,wikidata,B,02,3,0.01234337966889143,200
virtuoso,100M,L1,wikidata,B,03,3,0.011935570277273655,200
virtuoso,100M,L1,wikidata,B,04,3,0.012060537002980709,200
virtuoso,100M,L1,wikidata,B,05,3,0.011786149814724922,200
virtuoso,100M,L1,wikidata,B,06,3,0.012489845976233482,200
virtuoso,100M,L1,wikidata,B,07,3,0.011790167540311813,200
virtuoso,100M,L1,wikidata,B,08,3,0.012517059221863747,200
virtuoso,100M,L1,wikidata,B,09,3,0.011953344568610191,200
virtuoso,100M,L1,wikidata,B,00,4,0.012299437075853348,200
virtuoso,100M,L1,wikidata,B,01,4,0.012114969082176685,200
virtuoso,100M,L1,wikidata,B,02,4,0.01181995403021574,200
virtuoso,100M,L1,wikidata,B,03,4,0.012374759651720524,200
virtuoso,100M,L1,wikidata,B,04,4,0.012631453573703766,200
virtuoso,100M,L1,wikidata,B,05,4,0.01231529749929905,200
virtuoso,100M,L1,wikidata,B,06,4,0.01200293842703104,200
virtuoso,100M,L1,wikidata,B,07,4,0.012011674232780933,200
virtuoso,100M,L1,wikidata,B,08,4,0.01205242145806551,200
virtuoso,100M,L1,wikidata,B,09,4,0.01203982811421156,200
virtuoso,100M,L1,wikidata,B,00,5,0.011725034564733505,200
virtuoso,100M,L1,wikidata,B,01,5,0.012196884490549564,200
virtuoso,100M,L1,wikidata,B,02,5,0.012281684204936028,200
virtuoso,100M,L1,wikidata,B,03,5,0.012322692200541496,200
virtuoso,100M,L1,wikidata,B,04,5,0.012080986052751541,200
virtuoso,100M,L1,wikidata,B,05,5,0.012070546858012676,200
virtuoso,100M,L1,wikidata,B,06,5,0.012178339064121246,200
virtuoso,100M,L1,wikidata,B,07,5,0.01198511477559805,200
virtuoso,100M,L1,wikidata,B,08,5,0.012338772416114807,200
virtuoso,100M,L1,wikidata,B,09,5,0.011920803226530552,200
