engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L1,wikidata,P,00,1,0.002700,200
virtuoso,100M,L1,wikidata,P,01,1,0.002784,200
virtuoso,100M,L1,wikidata,P,02,1,0.002913,200
virtuoso,100M,L1,wikidata,P,03,1,0.002765,200
virtuoso,100M,L1,wikidata,P,04,1,0.003246,200
virtuoso,100M,L1,wikidata,P,05,1,0.002702,200
virtuoso,100M,L1,wikidata,P,06,1,0.003053,200
virtuoso,100M,L1,wikidata,P,07,1,0.002796,200
virtuoso,100M,L1,wikidata,P,08,1,0.003463,200
virtuoso,100M,L1,wikidata,P,09,1,0.002196,200
virtuoso,100M,L1,wikidata,P,00,2,0.002429,200
virtuoso,100M,L1,wikidata,P,01,2,0.002485,200
virtuoso,100M,L1,wikidata,P,02,2,0.002694,200
virtuoso,100M,L1,wikidata,P,03,2,0.002379,200
virtuoso,100M,L1,wikidata,P,04,2,0.003170,200
virtuoso,100M,L1,wikidata,P,05,2,0.002625,200
virtuoso,100M,L1,wikidata,P,06,2,0.003089,200
virtuoso,100M,L1,wikidata,P,07,2,0.002785,200
virtuoso,100M,L1,wikidata,P,08,2,0.003407,200
virtuoso,100M,L1,wikidata,P,09,2,0.002524,200
virtuoso,100M,L1,wikidata,P,00,3,0.002808,200
virtuoso,100M,L1,wikidata,P,01,3,0.002857,200
virtuoso,100M,L1,wikidata,P,02,3,0.002847,200
virtuoso,100M,L1,wikidata,P,03,3,0.002711,200
virtuoso,100M,L1,wikidata,P,04,3,0.003178,200
virtuoso,100M,L1,wikidata,P,05,3,0.002736,200
virtuoso,100M,L1,wikidata,P,06,3,0.002794,200
virtuoso,100M,L1,wikidata,P,07,3,0.002499,200
virtuoso,100M,L1,wikidata,P,08,3,0.003094,200
virtuoso,100M,L1,wikidata,P,09,3,0.002258,200
virtuoso,100M,L1,wikidata,P,00,4,0.002471,200
virtuoso,100M,L1,wikidata,P,01,4,0.002480,200
virtuoso,100M,L1,wikidata,P,02,4,0.002658,200
virtuoso,100M,L1,wikidata,P,03,4,0.002651,200
virtuoso,100M,L1,wikidata,P,04,4,0.003173,200
virtuoso,100M,L1,wikidata,P,05,4,0.002746,200
virtuoso,100M,L1,wikidata,P,06,4,0.003088,200
virtuoso,100M,L1,wikidata,P,07,4,0.002753,200
virtuoso,100M,L1,wikidata,P,08,4,0.003387,200
virtuoso,100M,L1,wikidata,P,09,4,0.002534,200
virtuoso,100M,L1,wikidata,P,00,5,0.002599,200
virtuoso,100M,L1,wikidata,P,01,5,0.002774,200
virtuoso,100M,L1,wikidata,P,02,5,0.002992,200
virtuoso,100M,L1,wikidata,P,03,5,0.002766,200
virtuoso,100M,L1,wikidata,P,04,5,0.003240,200
virtuoso,100M,L1,wikidata,P,05,5,0.002770,200
virtuoso,100M,L1,wikidata,P,06,5,0.002670,200
virtuoso,100M,L1,wikidata,P,07,5,0.002556,200
virtuoso,100M,L1,wikidata,P,08,5,0.003056,200
virtuoso,100M,L1,wikidata,P,09,5,0.002678,200
