engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L1,wikidata,R,00,1,0.012018208391964436,200
virtuoso,100M,L1,wikidata,R,01,1,0.012630613520741463,200
virtuoso,100M,L1,wikidata,R,02,1,0.012476191855967045,200
virtuoso,100M,L1,wikidata,R,03,1,0.01304488442838192,200
virtuoso,100M,L1,wikidata,R,04,1,0.013140356168150902,200
virtuoso,100M,L1,wikidata,R,05,1,0.012459460645914078,200
virtuoso,100M,L1,wikidata,R,06,1,0.012248332612216473,200
virtuoso,100M,L1,wikidata,R,07,1,0.011890659108757973,200
virtuoso,100M,L1,wikidata,R,08,1,0.012877429835498333,200
virtuoso,100M,L1,wikidata,R,09,1,0.011708574369549751,200
virtuoso,100M,L1,wikidata,R,00,2,0.01191174890846014,200
virtuoso,100M,L1,wikidata,R,01,2,0.012761009857058525,200
virtuoso,100M,L1,wikidata,R,02,2,0.013071284629404545,200
virtuoso,100M,L1,wikidata,R,03,2,0.012674106284976006,200
virtuoso,100M,L1,wikidata,R,04,2,0.013440731912851334,200
virtuoso,100M,L1,wikidata,R,05,2,0.012911875732243061,200
virtuoso,100M,L1,wikidata,R,06,2,0.012864284217357635,200
virtuoso,100M,L1,wikidata,R,07,2,0.01200101524591446,200
virtuoso,100M,L1,wikidata,R,08,2,0.012976136058568954,200
virtuoso,100M,L1,wikidata,R,09,2,0.012500478886067867,200
virtuoso,100M,L1,wikidata,R,00,3,0.012738857418298721,200
virtuoso,100M,L1,wikidata,R,01,3,0.012666611932218075,200
virtuoso,100M,L1,wikidata,R,02,3,0.012633278034627438,200
virtuoso,100M,L1,wikidata,R,03,3,0.01291503943502903,200
virtuoso,100M,L1,wikidata,R,04,3,0.013261944986879826,200
virtuoso,100M,L1,wikidata,R,05,3,0.012593613937497139,200
virtuoso,100M,L1,wikidata,R,06,3,0.012937122024595737,200
virtuoso,100M,L1,wikidata,R,07,3,0.012675579637289047,200
virtuoso,100M,L1,wikidata,R,08,3,0.012930710799992085,200
virtuoso,100M,L1,wikidata,R,09,3,0.012847312726080418,200
virtuoso,100M,L1,wikidata,R,00,4,0.012934737838804722,200
virtuoso,100M,L1,wikidata,R,01,4,0.012853935360908508,200
virtuoso,100M,L1,wikidata,R,02,4,0.012062441557645798,200
virtuoso,100M,L1,wikidata,R,03,4,0.01298953965306282,200
virtuoso,100M,L1,wikidata,R,04,4,0.012820442207157612,200
virtuoso,100M,L1,wikidata,R,05,4,0.012127885594964027,200
virtuoso,100M,L1,wikidata,R,06,4,0.012246550060808659,200
virtuoso,100M,L1,wikidata,R,07,4,0.012137864716351032,200
virtuoso,100M,L1,wikidata,R,08,4,0.012431989423930645,200
virtuoso,100M,L1,wikidata,R,09,4,0.011750003322958946,200
virtuoso,100M,L1,wikidata,R,00,5,0.012538489885628223,200
virtuoso,100M,L1,wikidata,R,01,5,0.012102236971259117,200
virtuoso,100M,L1,wikidata,R,02,5,0.012836632318794727,200
virtuoso,100M,L1,wikidata,R,03,5,0.01306577492505312,200
virtuoso,100M,L1,wikidata,R,04,5,0.012204759754240513,200
virtuoso,100M,L1,wikidata,R,05,5,0.01255370769649744,200
virtuoso,100M,L1,wikidata,R,06,5,0.012923557311296463,200
virtuoso,100M,L1,wikidata,R,07,5,0.012675678357481956,200
virtuoso,100M,L1,wikidata,R,08,5,0.013304265215992928,200
virtuoso,100M,L1,wikidata,R,09,5,0.012893780134618282,200
