engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L2,namedgraphs,P,00,1,0.019149,200
virtuoso,100M,L2,namedgraphs,P,01,1,0.081846,200
virtuoso,100M,L2,namedgraphs,P,02,1,0.081139,200
virtuoso,100M,L2,namedgraphs,P,03,1,0.081031,200
virtuoso,100M,L2,namedgraphs,P,04,1,0.169554,200
virtuoso,100M,L2,namedgraphs,P,05,1,0.081695,200
virtuoso,100M,L2,namedgraphs,P,06,1,0.081181,200
virtuoso,100M,L2,namedgraphs,P,07,1,0.011847,200
virtuoso,100M,L2,namedgraphs,P,08,1,0.082098,200
virtuoso,100M,L2,namedgraphs,P,09,1,0.013127,200
virtuoso,100M,L2,namedgraphs,P,00,2,0.018748,200
virtuoso,100M,L2,namedgraphs,P,01,2,0.080871,200
virtuoso,100M,L2,namedgraphs,P,02,2,0.080753,200
virtuoso,100M,L2,namedgraphs,P,03,2,0.080372,200
virtuoso,100M,L2,namedgraphs,P,04,2,0.081041,200
virtuoso,100M,L2,namedgraphs,P,05,2,0.081538,200
virtuoso,100M,L2,namedgraphs,P,06,2,0.081760,200
virtuoso,100M,L2,namedgraphs,P,07,2,0.011850,200
virtuoso,100M,L2,namedgraphs,P,08,2,0.081721,200
virtuoso,100M,L2,namedgraphs,P,09,2,0.013354,200
virtuoso,100M,L2,namedgraphs,P,00,3,0.019148,200
virtuoso,100M,L2,namedgraphs,P,01,3,0.175839,200
virtuoso,100M,L2,namedgraphs,P,02,3,0.080925,200
virtuoso,100M,L2,namedgraphs,P,03,3,0.081126,200
virtuoso,100M,L2,namedgraphs,P,04,3,0.081851,200
virtuoso,100M,L2,namedgraphs,P,05,3,0.081975,200
virtuoso,100M,L2,namedgraphs,P,06,3,0.080774,200
virtuoso,100M,L2,namedgraphs,P,07,3,0.012457,200
virtuoso,100M,L2,namedgraphs,P,08,3,0.081058,200
virtuoso,100M,L2,namedgraphs,P,09,3,0.013535,200
virtuoso,100M,L2,namedgraphs,P,00,4,0.020050,200
virtuoso,100M,L2,namedgraphs,P,01,4,0.080864,200
virtuoso,100M,L2,namedgraphs,P,02,4,0.081527,200
virtuoso,100M,L2,namedgraphs,P,03,4,0.081581,200
virtuoso,100M,L2,namedgraphs,P,04,4,0.080772,200
virtuoso,100M,L2,namedgraphs,P,05,4,0.149916,200
virtuoso,100M,L2,namedgraphs,P,06,4,0.080586,200
virtuoso,100M,L2,namedgraphs,P,07,4,0.011506,200
virtuoso,100M,L2,namedgraphs,P,08,4,0.080714,200
virtuoso,100M,L2,namedgraphs,P,09,4,0.013370,200
virtuoso,100M,L2,namedgraphs,P,00,5,0.019062,200
virtuoso,100M,L2,namedgraphs,P,01,5,0.081826,200
virtuoso,100M,L2,namedgraphs,P,02,5,0.081317,200
virtuoso,100M,L2,namedgraphs,P,03,5,0.082002,200
virtuoso,100M,L2,namedgraphs,P,04,5,0.082174,200
virtuoso,100M,L2,namedgraphs,P,05,5,0.080745,200
virtuoso,100M,L2,namedgraphs,P,06,5,0.080793,200
virtuoso,100M,L2,namedgraphs,P,07,5,0.013766,200
virtuoso,100M,L2,namedgraphs,P,08,5,0.080712,200
virtuoso,100M,L2,namedgraphs,P,09,5,0.013240,200
