engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L4,rdf,B,00,1,0.01938736718147993,200
virtuoso,100M,L4,rdf,B,01,1,0.019204220734536648,200
virtuoso,100M,L4,rdf,B,02,1,0.019252141937613487,200
virtuoso,100M,L4,rdf,B,03,1,0.01875230949372053,200
virtuoso,100M,L4,rdf,B,04,1,0.019116495735943317,200
virtuoso,100M,L4,rdf,B,05,1,0.01929720677435398,200
virtuoso,100M,L4,rdf,B,06,1,0.019175758585333824,200
virtuoso,100M,L4,rdf,B,07,1,0.018797374330461025,200
virtuoso,100M,L4,rdf,B,08,1,0.019717208109796047,200
virtuoso,100M,L4,rdf,B,09,1,0.019305532798171043,200
virtuoso,100M,L4,rdf,B,00,2,0.01963836047798395,200
virtuoso,100M,L4,rdf,B,01,2,0.01940529141575098,200
virtuoso,100M,L4,rdf,B,02,2,0.019048327580094337,200
virtuoso,100M,L4,rdf,B,03,2,0.019001249223947525,200
virtuoso,100M,L4,rdf,B,04,2,0.019583556801080704,200
virtuoso,100M,L4,rdf,B,05,2,0.01936447247862816,200
virtuoso,100M,L4,rdf,B,06,2,0.01888109277933836,200
virtuoso,100M,L4,rdf,B,07,2,0.01886723469942808,200
virtuoso,100M,L4,rdf,B,08,2,0.019757033325731754,200
virtuoso,100M,L4,rdf,B,09,2,0.01913190446794033,200
virtuoso,100M,L4,rdf,B,00,3,0.019372720271348953,200
virtuoso,100M,L4,rdf,B,01,3,0.019718371331691742,200
virtuoso,100M,L4,rdf,B,02,3,0.01936314068734646,200
virtuoso,100M,L4,rdf,B,03,3,0.019070489332079887,200
virtuoso,100M,L4,rdf,B,04,3,0.019035042263567448,200
virtuoso,100M,L4,rdf,B,05,3,0.018643032759428024,200
virtuoso,100M,L4,rdf,B,06,3,0.019045060500502586,200
virtuoso,100M,L4,rdf,B,07,3,0.01868759747594595,200
virtuoso,100M,L4,rdf,B,08,3,0.019340348429977894,200
virtuoso,100M,L4,rdf,B,09,3,0.019120272248983383,200
virtuoso,100M,L4,rdf,B,00,4,0.019186146557331085,200
virtuoso,100M,L4,rdf,B,01,4,0.019199932925403118,200
virtuoso,100M,L4,rdf,B,02,4,0.0189815117046237,200
virtuoso,100M,L4,rdf,B,03,4,0.018964950926601887,200
virtuoso,100M,L4,rdf,B,04,4,0.019592532888054848,200
virtuoso,100M,L4,rdf,B,05,4,0.018548695370554924,200
virtuoso,100M,L4,rdf,B,06,4,0.019026425667107105,200
virtuoso,100M,L4,rdf,B,07,4,0.018657631240785122,200
virtuoso,100M,L4,rdf,B,08,4,0.019614404998719692,200
virtuoso,100M,L4,rdf,B,09,4,0.019238064996898174,200
virtuoso,100M,L4,rdf,B,00,5,0.01927485503256321,200
virtuoso,100M,L4,rdf,B,01,5,0.019814932718873024,200
virtuoso,100M,L4,rdf,B,02,5,0.019347690977156162,200
virtuoso,100M,L4,rdf,B,03,5,0.01886890921741724,200
virtuoso,100M,L4,rdf,B,04,5,0.01917264237999916,200
virtuoso,100M,L4,rdf,B,05,5,0.019041353836655617,200
virtuoso,100M,L4,rdf,B,06,5,0.019097410142421722,200
virtuoso,100M,L4,rdf,B,07,5,0.01860544178634882,200
virtuoso,100M,L4,rdf,B,08,5,0.01982299890369177,200
virtuoso,100M,L4,rdf,B,09,5,0.019578848034143448,200
