engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L4,rdf,R,00,1,0.06888827122747898,200
virtuoso,100M,L4,rdf,R,01,1,0.06838292721658945,200
virtuoso,100M,L4,rdf,R,02,1,0.0683573791757226,200
virtuoso,100M,L4,rdf,R,03,1,0.06866987887769938,200
virtuoso,100M,L4,rdf,R,04,1,0.0697868661954999,200
virtuoso,100M,L4,rdf,R,05,1,0.06959996279329062,200
virtuoso,100M,L4,rdf,R,06,1,0.07020023558288813,200
virtuoso,100M,L4,rdf,R,07,1,0.0681120865046978,200
virtuoso,100M,L4,rdf,R,08,1,0.07028570678085089,200
virtuoso,100M,L4,rdf,R,09,1,0.06717220414429903,200
virtuoso,100M,L4,rdf,R,00,2,0.06894068978726864,200
virtuoso,100M,L4,rdf,R,01,2,0.06810489390045404,200
virtuoso,100M,L4,rdf,R,02,2,0.06728167086839676,200
virtuoso,100M,L4,rdf,R,03,2,0.06658502668142319,200
virtuoso,100M,L4,rdf,R,04,2,0.06767995189875364,200
virtuoso,100M,L4,rdf,R,05,2,0.06925626378506422,200
virtuoso,100M,L4,rdf,R,06,2,0.06955633126199245,200
virtuoso,100M,L4,rdf,R,07,2,0.06774815917015076,200
virtuoso,100M,L4,rdf,R,08,2,0.06986559368669987,200
virtuoso,100M,L4,rdf,R,09,2,0.06982427649199963,200
virtuoso,100M,L4,rdf,R,00,3,0.06857990007847548,200
virtuoso,100M,L4,rdf,R,01,3,0.07081248890608549,200
virtuoso,100M,L4,rdf,R,02,3,0.06868434697389603,200
virtuoso,100M,L4,rdf,R,03,3,0.06932191923260689,200
virtuoso,100M,L4,rdf,R,04,3,0.06911329459398985,200
virtuoso,100M,L4,rdf,R,05,3,0.07080238126218319,200
virtuoso,100M,L4,rdf,R,06,3,0.06860252283513546,200
virtuoso,100M,L4,rdf,R,07,3,0.06808160897344351,200
virtuoso,100M,L4,rdf,R,08,3,0.06882843840867281,200
virtuoso,100M,L4,rdf,R,09,3,0.06969387084245682,200
virtuoso,100M,L4,rdf,R,00,4,0.06688426155596972,200
virtuoso,100M,L4,rdf,R,01,4,0.06902397703379393,200
virtuoso,100M,L4,rdf,R,02,4,0.06907917000353336,200
virtuoso,100M,L4,rdf,R,03,4,0.06825998611748219,200
virtuoso,100M,L4,rdf,R,04,4,0.0699356161057949,200
virtuoso,100M,L4,rdf,R,05,4,0.06992829218506813,200
virtuoso,100M,L4,rdf,R,06,4,0.06935256719589233,200
virtuoso,100M,L4,rdf,R,07,4,0.06587303429841995,200
virtuoso,100M,L4,rdf,R,08,4,0.06856990978121758,200
virtuoso,100M,L4,rdf,R,09,4,0.06899900827556849,200
virtuoso,100M,L4,rdf,R,00,5,0.07112131267786026,200
virtuoso,100M,L4,rdf,R,01,5,0.06726476829499006,200
virtuoso,100M,L4,rdf,R,02,5,0.06999072898179293,200
virtuoso,100M,L4,rdf,R,03,5,0.06642084755003452,200
virtuoso,100M,L4,rdf,R,04,5,0.07135932147502899,200
virtuoso,100M,L4,rdf,R,05,5,0.07218557875603437,200
virtuoso,100M,L4,rdf,R,06,5,0.06862601637840271,200
virtuoso,100M,L4,rdf,R,07,5,0.07118924055248499,200
virtuoso,100M,L4,rdf,R,08,5,0.06923914141952991,200
virtuoso,100M,L4,rdf,R,09,5,0.072351292707026,200
