engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,L5,rdf,P,00,1,0.197872,200
virtuoso,100M,L5,rdf,P,01,1,1.161179,200
virtuoso,100M,L5,rdf,P,02,1,1.161047,200
virtuoso,100M,L5,rdf,P,03,1,0.609587,200
virtuoso,100M,L5,rdf,P,04,1,0.155629,200
virtuoso,100M,L5,rdf,P,05,1,0.414962,200
virtuoso,100M,L5,rdf,P,06,1,1.171038,200
virtuoso,100M,L5,rdf,P,07,1,1.168391,200
virtuoso,100M,L5,rdf,P,08,1,1.169188,200
virtuoso,100M,L5,rdf,P,09,1,0.606716,200
virtuoso,100M,L5,rdf,P,00,2,0.186440,200
virtuoso,100M,L5,rdf,P,01,2,1.291807,200
virtuoso,100M,L5,rdf,P,02,2,1.203844,200
virtuoso,100M,L5,rdf,P,03,2,0.631355,200
virtuoso,100M,L5,rdf,P,04,2,0.162084,200
virtuoso,100M,L5,rdf,P,05,2,0.420099,200
virtuoso,100M,L5,rdf,P,06,2,1.192400,200
virtuoso,100M,L5,rdf,P,07,2,1.184400,200
virtuoso,100M,L5,rdf,P,08,2,1.365044,200
virtuoso,100M,L5,rdf,P,09,2,0.610830,200
virtuoso,100M,L5,rdf,P,00,3,0.198001,200
virtuoso,100M,L5,rdf,P,01,3,1.173019,200
virtuoso,100M,L5,rdf,P,02,3,1.169528,200
virtuoso,100M,L5,rdf,P,03,3,0.605753,200
virtuoso,100M,L5,rdf,P,04,3,0.155753,200
virtuoso,100M,L5,rdf,P,05,3,0.414142,200
virtuoso,100M,L5,rdf,P,06,3,1.253143,200
virtuoso,100M,L5,rdf,P,07,3,1.170426,200
virtuoso,100M,L5,rdf,P,08,3,1.171662,200
virtuoso,100M,L5,rdf,P,09,3,0.607409,200
virtuoso,100M,L5,rdf,P,00,4,0.237733,200
virtuoso,100M,L5,rdf,P,01,4,1.167745,200
virtuoso,100M,L5,rdf,P,02,4,1.285153,200
virtuoso,100M,L5,rdf,P,03,4,0.617142,200
virtuoso,100M,L5,rdf,P,04,4,0.164763,200
virtuoso,100M,L5,rdf,P,05,4,0.407679,200
virtuoso,100M,L5,rdf,P,06,4,1.192336,200
virtuoso,100M,L5,rdf,P,07,4,1.185393,200
virtuoso,100M,L5,rdf,P,08,4,1.182189,200
virtuoso,100M,L5,rdf,P,09,4,0.681874,200
virtuoso,100M,L5,rdf,P,00,5,0.201140,200
virtuoso,100M,L5,rdf,P,01,5,1.183680,200
virtuoso,100M,L5,rdf,P,02,5,1.179692,200
virtuoso,100M,L5,rdf,P,03,5,0.618292,200
virtuoso,100M,L5,rdf,P,04,5,0.156744,200
virtuoso,100M,L5,rdf,P,05,5,0.422069,200
virtuoso,100M,L5,rdf,P,06,5,1.149278,200
virtuoso,100M,L5,rdf,P,07,5,1.374661,200
virtuoso,100M,L5,rdf,P,08,5,1.175761,200
virtuoso,100M,L5,rdf,P,09,5,0.608017,200
