engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O1,namedgraphs,R,00,1,0.002190,200
virtuoso,100M,O1,namedgraphs,R,01,1,0.001775,200
virtuoso,100M,O1,namedgraphs,R,02,1,0.002258,200
virtuoso,100M,O1,namedgraphs,R,03,1,0.002095,200
virtuoso,100M,O1,namedgraphs,R,04,1,0.002396,200
virtuoso,100M,O1,namedgraphs,R,05,1,0.002074,200
virtuoso,100M,O1,namedgraphs,R,06,1,0.002270,200
virtuoso,100M,O1,namedgraphs,R,07,1,0.002129,200
virtuoso,100M,O1,namedgraphs,R,08,1,0.002630,200
virtuoso,100M,O1,namedgraphs,R,09,1,0.002039,200
virtuoso,100M,O1,namedgraphs,R,00,2,0.002067,200
virtuoso,100M,O1,namedgraphs,R,01,2,0.001838,200
virtuoso,100M,O1,namedgraphs,R,02,2,0.002205,200
virtuoso,100M,O1,namedgraphs,R,03,2,0.002200,200
virtuoso,100M,O1,namedgraphs,R,04,2,0.002299,200
virtuoso,100M,O1,namedgraphs,R,05,2,0.002214,200
virtuoso,100M,O1,namedgraphs,R,06,2,0.002212,200
virtuoso,100M,O1,namedgraphs,R,07,2,0.002190,200
virtuoso,100M,O1,namedgraphs,R,08,2,0.002646,200
virtuoso,100M,O1,namedgraphs,R,09,2,0.001821,200
virtuoso,100M,O1,namedgraphs,R,00,3,0.002065,200
virtuoso,100M,O1,namedgraphs,R,01,3,0.001873,200
virtuoso,100M,O1,namedgraphs,R,02,3,0.002260,200
virtuoso,100M,O1,namedgraphs,R,03,3,0.002171,200
virtuoso,100M,O1,namedgraphs,R,04,3,0.002307,200
virtuoso,100M,O1,namedgraphs,R,05,3,0.002235,200
virtuoso,100M,O1,namedgraphs,R,06,3,0.002159,200
virtuoso,100M,O1,namedgraphs,R,07,3,0.001929,200
virtuoso,100M,O1,namedgraphs,R,08,3,0.002493,200
virtuoso,100M,O1,namedgraphs,R,09,3,0.001684,200
virtuoso,100M,O1,namedgraphs,R,00,4,0.001878,200
virtuoso,100M,O1,namedgraphs,R,01,4,0.001781,200
virtuoso,100M,O1,namedgraphs,R,02,4,0.002155,200
virtuoso,100M,O1,namedgraphs,R,03,4,0.002216,200
virtuoso,100M,O1,namedgraphs,R,04,4,0.002342,200
virtuoso,100M,O1,namedgraphs,R,05,4,0.002066,200
virtuoso,100M,O1,namedgraphs,R,06,4,0.002222,200
virtuoso,100M,O1,namedgraphs,R,07,4,0.002319,200
virtuoso,100M,O1,namedgraphs,R,08,4,0.002722,200
virtuoso,100M,O1,namedgraphs,R,09,4,0.001917,200
virtuoso,100M,O1,namedgraphs,R,00,5,0.002114,200
virtuoso,100M,O1,namedgraphs,R,01,5,0.001769,200
virtuoso,100M,O1,namedgraphs,R,02,5,0.002194,200
virtuoso,100M,O1,namedgraphs,R,03,5,0.002192,200
virtuoso,100M,O1,namedgraphs,R,04,5,0.002301,200
virtuoso,100M,O1,namedgraphs,R,05,5,0.002060,200
virtuoso,100M,O1,namedgraphs,R,06,5,0.001888,200
virtuoso,100M,O1,namedgraphs,R,07,5,0.002045,200
virtuoso,100M,O1,namedgraphs,R,08,5,0.002706,200
virtuoso,100M,O1,namedgraphs,R,09,5,0.002006,200
