engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O1,wikidata,B,00,1,0.001966,200
virtuoso,100M,O1,wikidata,B,01,1,0.001812,200
virtuoso,100M,O1,wikidata,B,02,1,0.002134,200
virtuoso,100M,O1,wikidata,B,03,1,0.002037,200
virtuoso,100M,O1,wikidata,B,04,1,0.002294,200
virtuoso,100M,O1,wikidata,B,05,1,0.002138,200
virtuoso,100M,O1,wikidata,B,06,1,0.002169,200
virtuoso,100M,O1,wikidata,B,07,1,0.001924,200
virtuoso,100M,O1,wikidata,B,08,1,0.002503,200
virtuoso,100M,O1,wikidata,B,09,1,0.001768,200
virtuoso,100M,O1,wikidata,B,00,2,0.001903,200
virtuoso,100M,O1,wikidata,B,01,2,0.001742,200
virtuoso,100M,O1,wikidata,B,02,2,0.002093,200
virtuoso,100M,O1,wikidata,B,03,2,0.001991,200
virtuoso,100M,O1,wikidata,B,04,2,0.002269,200
virtuoso,100M,O1,wikidata,B,05,2,0.002044,200
virtuoso,100M,O1,wikidata,B,06,2,0.002012,200
virtuoso,100M,O1,wikidata,B,07,2,0.002371,200
virtuoso,100M,O1,wikidata,B,08,2,0.002455,200
virtuoso,100M,O1,wikidata,B,09,2,0.001748,200
virtuoso,100M,O1,wikidata,B,00,3,0.001888,200
virtuoso,100M,O1,wikidata,B,01,3,0.001780,200
virtuoso,100M,O1,wikidata,B,02,3,0.002055,200
virtuoso,100M,O1,wikidata,B,03,3,0.002014,200
virtuoso,100M,O1,wikidata,B,04,3,0.002129,200
virtuoso,100M,O1,wikidata,B,05,3,0.001958,200
virtuoso,100M,O1,wikidata,B,06,3,0.002085,200
virtuoso,100M,O1,wikidata,B,07,3,0.002064,200
virtuoso,100M,O1,wikidata,B,08,3,0.002598,200
virtuoso,100M,O1,wikidata,B,09,3,0.001872,200
virtuoso,100M,O1,wikidata,B,00,4,0.001985,200
virtuoso,100M,O1,wikidata,B,01,4,0.001933,200
virtuoso,100M,O1,wikidata,B,02,4,0.002223,200
virtuoso,100M,O1,wikidata,B,03,4,0.002122,200
virtuoso,100M,O1,wikidata,B,04,4,0.002333,200
virtuoso,100M,O1,wikidata,B,05,4,0.002226,200
virtuoso,100M,O1,wikidata,B,06,4,0.002147,200
virtuoso,100M,O1,wikidata,B,07,4,0.002170,200
virtuoso,100M,O1,wikidata,B,08,4,0.002572,200
virtuoso,100M,O1,wikidata,B,09,4,0.001839,200
virtuoso,100M,O1,wikidata,B,00,5,0.001960,200
virtuoso,100M,O1,wikidata,B,01,5,0.001819,200
virtuoso,100M,O1,wikidata,B,02,5,0.002052,200
virtuoso,100M,O1,wikidata,B,03,5,0.002314,200
virtuoso,100M,O1,wikidata,B,04,5,0.002267,200
virtuoso,100M,O1,wikidata,B,05,5,0.002004,200
virtuoso,100M,O1,wikidata,B,06,5,0.002053,200
virtuoso,100M,O1,wikidata,B,07,5,0.002114,200
virtuoso,100M,O1,wikidata,B,08,5,0.002608,200
virtuoso,100M,O1,wikidata,B,09,5,0.001970,200
