engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O2,namedgraphs,B,00,1,0.001728,200
virtuoso,100M,O2,namedgraphs,B,01,1,0.002257,200
virtuoso,100M,O2,namedgraphs,B,02,1,0.002035,200
virtuoso,100M,O2,namedgraphs,B,03,1,0.001715,200
virtuoso,100M,O2,namedgraphs,B,04,1,0.001957,200
virtuoso,100M,O2,namedgraphs,B,05,1,0.002420,200
virtuoso,100M,O2,namedgraphs,B,06,1,0.001657,200
virtuoso,100M,O2,namedgraphs,B,07,1,0.001798,200
virtuoso,100M,O2,namedgraphs,B,08,1,0.001907,200
virtuoso,100M,O2,namedgraphs,B,09,1,0.001968,200
virtuoso,100M,O2,namedgraphs,B,00,2,0.001726,200
virtuoso,100M,O2,namedgraphs,B,01,2,0.002344,200
virtuoso,100M,O2,namedgraphs,B,02,2,0.001977,200
virtuoso,100M,O2,namedgraphs,B,03,2,0.001590,200
virtuoso,100M,O2,namedgraphs,B,04,2,0.001801,200
virtuoso,100M,O2,namedgraphs,B,05,2,0.002284,200
virtuoso,100M,O2,namedgraphs,B,06,2,0.001552,200
virtuoso,100M,O2,namedgraphs,B,07,2,0.001818,200
virtuoso,100M,O2,namedgraphs,B,08,2,0.001812,200
virtuoso,100M,O2,namedgraphs,B,09,2,0.001935,200
virtuoso,100M,O2,namedgraphs,B,00,3,0.001753,200
virtuoso,100M,O2,namedgraphs,B,01,3,0.002110,200
virtuoso,100M,O2,namedgraphs,B,02,3,0.001864,200
virtuoso,100M,O2,namedgraphs,B,03,3,0.001714,200
virtuoso,100M,O2,namedgraphs,B,04,3,0.001825,200
virtuoso,100M,O2,namedgraphs,B,05,3,0.002333,200
virtuoso,100M,O2,namedgraphs,B,06,3,0.001662,200
virtuoso,100M,O2,namedgraphs,B,07,3,0.001615,200
virtuoso,100M,O2,namedgraphs,B,08,3,0.001819,200
virtuoso,100M,O2,namedgraphs,B,09,3,0.001943,200
virtuoso,100M,O2,namedgraphs,B,00,4,0.001749,200
virtuoso,100M,O2,namedgraphs,B,01,4,0.002307,200
virtuoso,100M,O2,namedgraphs,B,02,4,0.001911,200
virtuoso,100M,O2,namedgraphs,B,03,4,0.001780,200
virtuoso,100M,O2,namedgraphs,B,04,4,0.001858,200
virtuoso,100M,O2,namedgraphs,B,05,4,0.002336,200
virtuoso,100M,O2,namedgraphs,B,06,4,0.001738,200
virtuoso,100M,O2,namedgraphs,B,07,4,0.001823,200
virtuoso,100M,O2,namedgraphs,B,08,4,0.001702,200
virtuoso,100M,O2,namedgraphs,B,09,4,0.001948,200
virtuoso,100M,O2,namedgraphs,B,00,5,0.001765,200
virtuoso,100M,O2,namedgraphs,B,01,5,0.002106,200
virtuoso,100M,O2,namedgraphs,B,02,5,0.001889,200
virtuoso,100M,O2,namedgraphs,B,03,5,0.001782,200
virtuoso,100M,O2,namedgraphs,B,04,5,0.002033,200
virtuoso,100M,O2,namedgraphs,B,05,5,0.002629,200
virtuoso,100M,O2,namedgraphs,B,06,5,0.001678,200
virtuoso,100M,O2,namedgraphs,B,07,5,0.001883,200
virtuoso,100M,O2,namedgraphs,B,08,5,0.001807,200
virtuoso,100M,O2,namedgraphs,B,09,5,0.002143,200
