engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O3,rdf,P,00,1,0.431056,200
virtuoso,100M,O3,rdf,P,01,1,0.683341,200
virtuoso,100M,O3,rdf,P,02,1,0.434779,200
virtuoso,100M,O3,rdf,P,03,1,0.432889,200
virtuoso,100M,O3,rdf,P,04,1,0.441314,200
virtuoso,100M,O3,rdf,P,05,1,0.709712,200
virtuoso,100M,O3,rdf,P,06,1,0.440312,200
virtuoso,100M,O3,rdf,P,07,1,0.438172,200
virtuoso,100M,O3,rdf,P,08,1,0.450032,200
virtuoso,100M,O3,rdf,P,09,1,0.659720,200
virtuoso,100M,O3,rdf,P,00,2,0.433049,200
virtuoso,100M,O3,rdf,P,01,2,0.443783,200
virtuoso,100M,O3,rdf,P,02,2,0.436047,200
virtuoso,100M,O3,rdf,P,03,2,0.657922,200
virtuoso,100M,O3,rdf,P,04,2,0.438992,200
virtuoso,100M,O3,rdf,P,05,2,0.489903,200
virtuoso,100M,O3,rdf,P,06,2,0.441357,200
virtuoso,100M,O3,rdf,P,07,2,0.650250,200
virtuoso,100M,O3,rdf,P,08,2,0.444432,200
virtuoso,100M,O3,rdf,P,09,2,0.441616,200
virtuoso,100M,O3,rdf,P,00,3,0.433152,200
virtuoso,100M,O3,rdf,P,01,3,0.684309,200
virtuoso,100M,O3,rdf,P,02,3,0.434941,200
virtuoso,100M,O3,rdf,P,03,3,0.427749,200
virtuoso,100M,O3,rdf,P,04,3,0.436918,200
virtuoso,100M,O3,rdf,P,05,3,0.705375,200
virtuoso,100M,O3,rdf,P,06,3,0.443176,200
virtuoso,100M,O3,rdf,P,07,3,0.430456,200
virtuoso,100M,O3,rdf,P,08,3,0.444217,200
virtuoso,100M,O3,rdf,P,09,3,0.657108,200
virtuoso,100M,O3,rdf,P,00,4,0.403538,200
virtuoso,100M,O3,rdf,P,01,4,0.411289,200
virtuoso,100M,O3,rdf,P,02,4,0.402633,200
virtuoso,100M,O3,rdf,P,03,4,0.649947,200
virtuoso,100M,O3,rdf,P,04,4,0.436816,200
virtuoso,100M,O3,rdf,P,05,4,0.489558,200
virtuoso,100M,O3,rdf,P,06,4,0.436998,200
virtuoso,100M,O3,rdf,P,07,4,0.647930,200
virtuoso,100M,O3,rdf,P,08,4,0.442313,200
virtuoso,100M,O3,rdf,P,09,4,0.415700,200
virtuoso,100M,O3,rdf,P,00,5,0.404177,200
virtuoso,100M,O3,rdf,P,01,5,0.673692,200
virtuoso,100M,O3,rdf,P,02,5,0.449802,200
virtuoso,100M,O3,rdf,P,03,5,0.432756,200
virtuoso,100M,O3,rdf,P,04,5,0.442802,200
virtuoso,100M,O3,rdf,P,05,5,0.717581,200
virtuoso,100M,O3,rdf,P,06,5,0.413107,200
virtuoso,100M,O3,rdf,P,07,5,0.417109,200
virtuoso,100M,O3,rdf,P,08,5,0.423870,200
virtuoso,100M,O3,rdf,P,09,5,0.636041,200
