engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O3,wikidata,R,00,1,0.037480,200
virtuoso,100M,O3,wikidata,R,01,1,0.038003,200
virtuoso,100M,O3,wikidata,R,02,1,0.038431,200
virtuoso,100M,O3,wikidata,R,03,1,0.037990,200
virtuoso,100M,O3,wikidata,R,04,1,0.041737,200
virtuoso,100M,O3,wikidata,R,05,1,0.039571,200
virtuoso,100M,O3,wikidata,R,06,1,0.038903,200
virtuoso,100M,O3,wikidata,R,07,1,0.041125,200
virtuoso,100M,O3,wikidata,R,08,1,0.039682,200
virtuoso,100M,O3,wikidata,R,09,1,0.038642,200
virtuoso,100M,O3,wikidata,R,00,2,0.040662,200
virtuoso,100M,O3,wikidata,R,01,2,0.038940,200
virtuoso,100M,O3,wikidata,R,02,2,0.038552,200
virtuoso,100M,O3,wikidata,R,03,2,0.039635,200
virtuoso,100M,O3,wikidata,R,04,2,0.038784,200
virtuoso,100M,O3,wikidata,R,05,2,0.041617,200
virtuoso,100M,O3,wikidata,R,06,2,0.038638,200
virtuoso,100M,O3,wikidata,R,07,2,0.037977,200
virtuoso,100M,O3,wikidata,R,08,2,0.041482,200
virtuoso,100M,O3,wikidata,R,09,2,0.107946,200
virtuoso,100M,O3,wikidata,R,00,3,0.038161,200
virtuoso,100M,O3,wikidata,R,01,3,0.038604,200
virtuoso,100M,O3,wikidata,R,02,3,0.039466,200
virtuoso,100M,O3,wikidata,R,03,3,0.037814,200
virtuoso,100M,O3,wikidata,R,04,3,0.038839,200
virtuoso,100M,O3,wikidata,R,05,3,0.041877,200
virtuoso,100M,O3,wikidata,R,06,3,0.038963,200
virtuoso,100M,O3,wikidata,R,07,3,0.039982,200
virtuoso,100M,O3,wikidata,R,08,3,0.039624,200
virtuoso,100M,O3,wikidata,R,09,3,0.039076,200
virtuoso,100M,O3,wikidata,R,00,4,0.040208,200
virtuoso,100M,O3,wikidata,R,01,4,0.040826,200
virtuoso,100M,O3,wikidata,R,02,4,0.038578,200
virtuoso,100M,O3,wikidata,R,03,4,0.038874,200
virtuoso,100M,O3,wikidata,R,04,4,0.038383,200
virtuoso,100M,O3,wikidata,R,05,4,0.039326,200
virtuoso,100M,O3,wikidata,R,06,4,0.041423,200
virtuoso,100M,O3,wikidata,R,07,4,0.038312,200
virtuoso,100M,O3,wikidata,R,08,4,0.042442,200
virtuoso,100M,O3,wikidata,R,09,4,0.039337,200
virtuoso,100M,O3,wikidata,R,00,5,0.038360,200
virtuoso,100M,O3,wikidata,R,01,5,0.041125,200
virtuoso,100M,O3,wikidata,R,02,5,0.038866,200
virtuoso,100M,O3,wikidata,R,03,5,0.038368,200
virtuoso,100M,O3,wikidata,R,04,5,0.040894,200
virtuoso,100M,O3,wikidata,R,05,5,0.039482,200
virtuoso,100M,O3,wikidata,R,06,5,0.038796,200
virtuoso,100M,O3,wikidata,R,07,5,0.039504,200
virtuoso,100M,O3,wikidata,R,08,5,0.038734,200
virtuoso,100M,O3,wikidata,R,09,5,0.106336,200
