engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O4,rdf,B,00,1,0.070326,200
virtuoso,100M,O4,rdf,B,01,1,1.322529,200
virtuoso,100M,O4,rdf,B,02,1,0.471943,200
virtuoso,100M,O4,rdf,B,03,1,0.234201,200
virtuoso,100M,O4,rdf,B,04,1,0.053426,200
virtuoso,100M,O4,rdf,B,05,1,0.160896,200
virtuoso,100M,O4,rdf,B,06,1,1.605117,200
virtuoso,100M,O4,rdf,B,07,1,0.468848,200
virtuoso,100M,O4,rdf,B,08,1,0.546127,200
virtuoso,100M,O4,rdf,B,09,1,0.240128,200
virtuoso,100M,O4,rdf,B,00,2,0.070876,200
virtuoso,100M,O4,rdf,B,01,2,0.471212,200
virtuoso,100M,O4,rdf,B,02,2,1.315735,200
virtuoso,100M,O4,rdf,B,03,2,0.231684,200
virtuoso,100M,O4,rdf,B,04,2,0.055299,200
virtuoso,100M,O4,rdf,B,05,2,0.156930,200
virtuoso,100M,O4,rdf,B,06,2,0.471505,200
virtuoso,100M,O4,rdf,B,07,2,1.618134,200
virtuoso,100M,O4,rdf,B,08,2,0.474948,200
virtuoso,100M,O4,rdf,B,09,2,0.235514,200
virtuoso,100M,O4,rdf,B,00,3,0.069826,200
virtuoso,100M,O4,rdf,B,01,3,1.315381,200
virtuoso,100M,O4,rdf,B,02,3,0.470287,200
virtuoso,100M,O4,rdf,B,03,3,0.236633,200
virtuoso,100M,O4,rdf,B,04,3,0.054711,200
virtuoso,100M,O4,rdf,B,05,3,0.154590,200
virtuoso,100M,O4,rdf,B,06,3,1.601478,200
virtuoso,100M,O4,rdf,B,07,3,0.471829,200
virtuoso,100M,O4,rdf,B,08,3,0.550136,200
virtuoso,100M,O4,rdf,B,09,3,0.237758,200
virtuoso,100M,O4,rdf,B,00,4,0.068722,200
virtuoso,100M,O4,rdf,B,01,4,0.470275,200
virtuoso,100M,O4,rdf,B,02,4,1.311156,200
virtuoso,100M,O4,rdf,B,03,4,0.233501,200
virtuoso,100M,O4,rdf,B,04,4,0.054906,200
virtuoso,100M,O4,rdf,B,05,4,0.154675,200
virtuoso,100M,O4,rdf,B,06,4,0.467326,200
virtuoso,100M,O4,rdf,B,07,4,1.623720,200
virtuoso,100M,O4,rdf,B,08,4,0.474508,200
virtuoso,100M,O4,rdf,B,09,4,0.237769,200
virtuoso,100M,O4,rdf,B,00,5,0.068436,200
virtuoso,100M,O4,rdf,B,01,5,1.314297,200
virtuoso,100M,O4,rdf,B,02,5,0.469624,200
virtuoso,100M,O4,rdf,B,03,5,0.236806,200
virtuoso,100M,O4,rdf,B,04,5,0.053724,200
virtuoso,100M,O4,rdf,B,05,5,0.158275,200
virtuoso,100M,O4,rdf,B,06,5,1.639118,200
virtuoso,100M,O4,rdf,B,07,5,0.482986,200
virtuoso,100M,O4,rdf,B,08,5,0.554367,200
virtuoso,100M,O4,rdf,B,09,5,0.240288,200
