engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O4,rdf,R,00,1,0.241861,200
virtuoso,100M,O4,rdf,R,01,1,2.248542,200
virtuoso,100M,O4,rdf,R,02,1,1.474841,200
virtuoso,100M,O4,rdf,R,03,1,0.778802,200
virtuoso,100M,O4,rdf,R,04,1,0.191035,200
virtuoso,100M,O4,rdf,R,05,1,0.514621,200
virtuoso,100M,O4,rdf,R,06,1,2.694854,200
virtuoso,100M,O4,rdf,R,07,1,1.502844,200
virtuoso,100M,O4,rdf,R,08,1,1.536990,200
virtuoso,100M,O4,rdf,R,09,1,0.760855,200
virtuoso,100M,O4,rdf,R,00,2,0.240404,200
virtuoso,100M,O4,rdf,R,01,2,1.459054,200
virtuoso,100M,O4,rdf,R,02,2,2.302009,200
virtuoso,100M,O4,rdf,R,03,2,0.748491,200
virtuoso,100M,O4,rdf,R,04,2,0.187928,200
virtuoso,100M,O4,rdf,R,05,2,0.512362,200
virtuoso,100M,O4,rdf,R,06,2,1.452379,200
virtuoso,100M,O4,rdf,R,07,2,2.606079,200
virtuoso,100M,O4,rdf,R,08,2,1.480068,200
virtuoso,100M,O4,rdf,R,09,2,0.759866,200
virtuoso,100M,O4,rdf,R,00,3,0.238275,200
virtuoso,100M,O4,rdf,R,01,3,2.358457,200
virtuoso,100M,O4,rdf,R,02,3,1.486814,200
virtuoso,100M,O4,rdf,R,03,3,0.768172,200
virtuoso,100M,O4,rdf,R,04,3,0.193588,200
virtuoso,100M,O4,rdf,R,05,3,0.518084,200
virtuoso,100M,O4,rdf,R,06,3,2.661756,200
virtuoso,100M,O4,rdf,R,07,3,1.483343,200
virtuoso,100M,O4,rdf,R,08,3,1.562380,200
virtuoso,100M,O4,rdf,R,09,3,0.761619,200
virtuoso,100M,O4,rdf,R,00,4,0.242416,200
virtuoso,100M,O4,rdf,R,01,4,1.478530,200
virtuoso,100M,O4,rdf,R,02,4,2.344462,200
virtuoso,100M,O4,rdf,R,03,4,0.774850,200
virtuoso,100M,O4,rdf,R,04,4,0.193481,200
virtuoso,100M,O4,rdf,R,05,4,0.524329,200
virtuoso,100M,O4,rdf,R,06,4,1.505897,200
virtuoso,100M,O4,rdf,R,07,4,2.660266,200
virtuoso,100M,O4,rdf,R,08,4,1.482618,200
virtuoso,100M,O4,rdf,R,09,4,0.777420,200
virtuoso,100M,O4,rdf,R,00,5,0.243168,200
virtuoso,100M,O4,rdf,R,01,5,2.351612,200
virtuoso,100M,O4,rdf,R,02,5,1.494713,200
virtuoso,100M,O4,rdf,R,03,5,0.767011,200
virtuoso,100M,O4,rdf,R,04,5,0.194217,200
virtuoso,100M,O4,rdf,R,05,5,0.522630,200
virtuoso,100M,O4,rdf,R,06,5,2.673004,200
virtuoso,100M,O4,rdf,R,07,5,1.483886,200
virtuoso,100M,O4,rdf,R,08,5,1.570064,200
virtuoso,100M,O4,rdf,R,09,5,0.759907,200
