engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O4,wikidata,P,00,1,1.040036,200
virtuoso,100M,O4,wikidata,P,01,1,9.910455,200
virtuoso,100M,O4,wikidata,P,02,1,9.084756,200
virtuoso,100M,O4,wikidata,P,03,1,4.364881,200
virtuoso,100M,O4,wikidata,P,04,1,0.771234,200
virtuoso,100M,O4,wikidata,P,05,1,3.345402,200
virtuoso,100M,O4,wikidata,P,06,1,9.453905,200
virtuoso,100M,O4,wikidata,P,07,1,9.147556,200
virtuoso,100M,O4,wikidata,P,08,1,8.896973,200
virtuoso,100M,O4,wikidata,P,09,1,4.316839,200
virtuoso,100M,O4,wikidata,P,00,2,0.973870,200
virtuoso,100M,O4,wikidata,P,01,2,9.989147,200
virtuoso,100M,O4,wikidata,P,02,2,9.077132,200
virtuoso,100M,O4,wikidata,P,03,2,4.228287,200
virtuoso,100M,O4,wikidata,P,04,2,0.722061,200
virtuoso,100M,O4,wikidata,P,05,2,3.249330,200
virtuoso,100M,O4,wikidata,P,06,2,9.233582,200
virtuoso,100M,O4,wikidata,P,07,2,9.025095,200
virtuoso,100M,O4,wikidata,P,08,2,8.957223,200
virtuoso,100M,O4,wikidata,P,09,2,4.281723,200
virtuoso,100M,O4,wikidata,P,00,3,0.916236,200
virtuoso,100M,O4,wikidata,P,01,3,9.958032,200
virtuoso,100M,O4,wikidata,P,02,3,8.933343,200
virtuoso,100M,O4,wikidata,P,03,3,4.189408,200
virtuoso,100M,O4,wikidata,P,04,3,0.703387,200
virtuoso,100M,O4,wikidata,P,05,3,3.237265,200
virtuoso,100M,O4,wikidata,P,06,3,9.167378,200
virtuoso,100M,O4,wikidata,P,07,3,9.094721,200
virtuoso,100M,O4,wikidata,P,08,3,8.843551,200
virtuoso,100M,O4,wikidata,P,09,3,4.294578,200
virtuoso,100M,O4,wikidata,P,00,4,0.920545,200
virtuoso,100M,O4,wikidata,P,01,4,9.775966,200
virtuoso,100M,O4,wikidata,P,02,4,8.897028,200
virtuoso,100M,O4,wikidata,P,03,4,4.200217,200
virtuoso,100M,O4,wikidata,P,04,4,0.710845,200
virtuoso,100M,O4,wikidata,P,05,4,3.237318,200
virtuoso,100M,O4,wikidata,P,06,4,9.163834,200
virtuoso,100M,O4,wikidata,P,07,4,8.928700,200
virtuoso,100M,O4,wikidata,P,08,4,8.776869,200
virtuoso,100M,O4,wikidata,P,09,4,4.304716,200
virtuoso,100M,O4,wikidata,P,00,5,0.941440,200
virtuoso,100M,O4,wikidata,P,01,5,9.896399,200
virtuoso,100M,O4,wikidata,P,02,5,8.848340,200
virtuoso,100M,O4,wikidata,P,03,5,4.236004,200
virtuoso,100M,O4,wikidata,P,04,5,0.728805,200
virtuoso,100M,O4,wikidata,P,05,5,3.197341,200
virtuoso,100M,O4,wikidata,P,06,5,9.037205,200
virtuoso,100M,O4,wikidata,P,07,5,8.929304,200
virtuoso,100M,O4,wikidata,P,08,5,8.798583,200
virtuoso,100M,O4,wikidata,P,09,5,4.292911,200
