engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,O5,namedgraphs,P,00,1,0.003820,200
virtuoso,100M,O5,namedgraphs,P,01,1,0.007977,200
virtuoso,100M,O5,namedgraphs,P,02,1,0.005879,200
virtuoso,100M,O5,namedgraphs,P,03,1,0.004037,200
virtuoso,100M,O5,namedgraphs,P,04,1,0.005436,200
virtuoso,100M,O5,namedgraphs,P,05,1,0.009111,200
virtuoso,100M,O5,namedgraphs,P,06,1,0.003788,200
virtuoso,100M,O5,namedgraphs,P,07,1,0.004471,200
virtuoso,100M,O5,namedgraphs,P,08,1,0.004963,200
virtuoso,100M,O5,namedgraphs,P,09,1,0.005050,200
virtuoso,100M,O5,namedgraphs,P,00,2,0.003550,200
virtuoso,100M,O5,namedgraphs,P,01,2,0.008180,200
virtuoso,100M,O5,namedgraphs,P,02,2,0.005781,200
virtuoso,100M,O5,namedgraphs,P,03,2,0.003980,200
virtuoso,100M,O5,namedgraphs,P,04,2,0.005293,200
virtuoso,100M,O5,namedgraphs,P,05,2,0.009261,200
virtuoso,100M,O5,namedgraphs,P,06,2,0.003842,200
virtuoso,100M,O5,namedgraphs,P,07,2,0.004459,200
virtuoso,100M,O5,namedgraphs,P,08,2,0.004874,200
virtuoso,100M,O5,namedgraphs,P,09,2,0.005422,200
virtuoso,100M,O5,namedgraphs,P,00,3,0.003798,200
virtuoso,100M,O5,namedgraphs,P,01,3,0.008024,200
virtuoso,100M,O5,namedgraphs,P,02,3,0.005703,200
virtuoso,100M,O5,namedgraphs,P,03,3,0.004082,200
virtuoso,100M,O5,namedgraphs,P,04,3,0.005420,200
virtuoso,100M,O5,namedgraphs,P,05,3,0.009211,200
virtuoso,100M,O5,namedgraphs,P,06,3,0.005344,200
virtuoso,100M,O5,namedgraphs,P,07,3,0.004513,200
virtuoso,100M,O5,namedgraphs,P,08,3,0.004797,200
virtuoso,100M,O5,namedgraphs,P,09,3,0.005445,200
virtuoso,100M,O5,namedgraphs,P,00,4,0.003900,200
virtuoso,100M,O5,namedgraphs,P,01,4,0.008126,200
virtuoso,100M,O5,namedgraphs,P,02,4,0.005747,200
virtuoso,100M,O5,namedgraphs,P,03,4,0.004087,200
virtuoso,100M,O5,namedgraphs,P,04,4,0.005531,200
virtuoso,100M,O5,namedgraphs,P,05,4,0.009318,200
virtuoso,100M,O5,namedgraphs,P,06,4,0.003880,200
virtuoso,100M,O5,namedgraphs,P,07,4,0.004463,200
virtuoso,100M,O5,namedgraphs,P,08,4,0.004975,200
virtuoso,100M,O5,namedgraphs,P,09,4,0.005494,200
virtuoso,100M,O5,namedgraphs,P,00,5,0.003545,200
virtuoso,100M,O5,namedgraphs,P,01,5,0.007723,200
virtuoso,100M,O5,namedgraphs,P,02,5,0.005819,200
virtuoso,100M,O5,namedgraphs,P,03,5,0.004025,200
virtuoso,100M,O5,namedgraphs,P,04,5,0.005444,200
virtuoso,100M,O5,namedgraphs,P,05,5,0.009422,200
virtuoso,100M,O5,namedgraphs,P,06,5,0.003715,200
virtuoso,100M,O5,namedgraphs,P,07,5,0.005874,200
virtuoso,100M,O5,namedgraphs,P,08,5,0.004846,200
virtuoso,100M,O5,namedgraphs,P,09,5,0.005411,200
