engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S1,wikidata,B,00,1,0.01280792523175478,200
virtuoso,100M,S1,wikidata,B,01,1,0.014254151843488216,200
virtuoso,100M,S1,wikidata,B,02,1,0.014935286715626717,200
virtuoso,100M,S1,wikidata,B,03,1,0.01557069644331932,200
virtuoso,100M,S1,wikidata,B,04,1,0.014378395862877369,200
virtuoso,100M,S1,wikidata,B,05,1,0.014183027669787407,200
virtuoso,100M,S1,wikidata,B,06,1,0.014348610304296017,200
virtuoso,100M,S1,wikidata,B,07,1,0.014308445155620575,200
virtuoso,100M,S1,wikidata,B,08,1,0.013676432892680168,200
virtuoso,100M,S1,wikidata,B,09,1,0.013983471319079399,200
virtuoso,100M,S1,wikidata,B,00,2,0.012786365114152431,200
virtuoso,100M,S1,wikidata,B,01,2,0.014279620721936226,200
virtuoso,100M,S1,wikidata,B,02,2,0.014079594053328037,200
virtuoso,100M,S1,wikidata,B,03,2,0.014381983317434788,200
virtuoso,100M,S1,wikidata,B,04,2,0.0144971814006567,200
virtuoso,100M,S1,wikidata,B,05,2,0.014097766950726509,200
virtuoso,100M,S1,wikidata,B,06,2,0.014314555563032627,200
virtuoso,100M,S1,wikidata,B,07,2,0.014904237352311611,200
virtuoso,100M,S1,wikidata,B,08,2,0.013718371279537678,200
virtuoso,100M,S1,wikidata,B,09,2,0.014273588545620441,200
virtuoso,100M,S1,wikidata,B,00,3,0.01318237092345953,200
virtuoso,100M,S1,wikidata,B,01,3,0.014385160058736801,200
virtuoso,100M,S1,wikidata,B,02,3,0.014667081646621227,200
virtuoso,100M,S1,wikidata,B,03,3,0.014052501879632473,200
virtuoso,100M,S1,wikidata,B,04,3,0.014562313444912434,200
virtuoso,100M,S1,wikidata,B,05,3,0.01385063212364912,200
virtuoso,100M,S1,wikidata,B,06,3,0.014048082754015923,200
virtuoso,100M,S1,wikidata,B,07,3,0.014535592868924141,200
virtuoso,100M,S1,wikidata,B,08,3,0.013552949763834476,200
virtuoso,100M,S1,wikidata,B,09,3,0.013956069946289062,200
virtuoso,100M,S1,wikidata,B,00,4,0.013105365447700024,200
virtuoso,100M,S1,wikidata,B,01,4,0.014093049801886082,200
virtuoso,100M,S1,wikidata,B,02,4,0.014503823593258858,200
virtuoso,100M,S1,wikidata,B,03,4,0.015383541584014893,200
virtuoso,100M,S1,wikidata,B,04,4,0.014732924290001392,200
virtuoso,100M,S1,wikidata,B,05,4,0.014009601436555386,200
virtuoso,100M,S1,wikidata,B,06,4,0.014024798758327961,200
virtuoso,100M,S1,wikidata,B,07,4,0.014379418455064297,200
virtuoso,100M,S1,wikidata,B,08,4,0.013861010782420635,200
virtuoso,100M,S1,wikidata,B,09,4,0.013814583420753479,200
virtuoso,100M,S1,wikidata,B,00,5,0.013143157586455345,200
virtuoso,100M,S1,wikidata,B,01,5,0.01447204314172268,200
virtuoso,100M,S1,wikidata,B,02,5,0.015002983622252941,200
virtuoso,100M,S1,wikidata,B,03,5,0.014421988278627396,200
virtuoso,100M,S1,wikidata,B,04,5,0.014578724279999733,200
virtuoso,100M,S1,wikidata,B,05,5,0.014435503631830215,200
virtuoso,100M,S1,wikidata,B,06,5,0.013924119994044304,200
virtuoso,100M,S1,wikidata,B,07,5,0.014395168051123619,200
virtuoso,100M,S1,wikidata,B,08,5,0.01411378849297762,200
virtuoso,100M,S1,wikidata,B,09,5,0.013869286514818668,200
