engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S1,wikidata,P,00,1,0.014959918335080147,200
virtuoso,100M,S1,wikidata,P,01,1,0.01650196500122547,200
virtuoso,100M,S1,wikidata,P,02,1,0.020103045739233494,200
virtuoso,100M,S1,wikidata,P,03,1,0.016713273711502552,200
virtuoso,100M,S1,wikidata,P,04,1,0.018118212930858135,200
virtuoso,100M,S1,wikidata,P,05,1,0.015858883038163185,200
virtuoso,100M,S1,wikidata,P,06,1,0.015550350770354271,200
virtuoso,100M,S1,wikidata,P,07,1,0.017242832109332085,200
virtuoso,100M,S1,wikidata,P,08,1,0.015553547069430351,200
virtuoso,100M,S1,wikidata,P,09,1,0.01595265045762062,200
virtuoso,100M,S1,wikidata,P,00,2,0.014994443394243717,200
virtuoso,100M,S1,wikidata,P,01,2,0.015253651887178421,200
virtuoso,100M,S1,wikidata,P,02,2,0.016763709485530853,200
virtuoso,100M,S1,wikidata,P,03,2,0.016693806275725365,200
virtuoso,100M,S1,wikidata,P,04,2,0.017127884551882744,200
virtuoso,100M,S1,wikidata,P,05,2,0.015533439815044403,200
virtuoso,100M,S1,wikidata,P,06,2,0.015538147650659084,200
virtuoso,100M,S1,wikidata,P,07,2,0.016981749795377254,200
virtuoso,100M,S1,wikidata,P,08,2,0.01517393160611391,200
virtuoso,100M,S1,wikidata,P,09,2,0.016264066100120544,200
virtuoso,100M,S1,wikidata,P,00,3,0.013799509964883327,200
virtuoso,100M,S1,wikidata,P,01,3,0.01599523052573204,200
virtuoso,100M,S1,wikidata,P,02,3,0.0197006668895483,200
virtuoso,100M,S1,wikidata,P,03,3,0.016585832461714745,200
virtuoso,100M,S1,wikidata,P,04,3,0.017056159675121307,200
virtuoso,100M,S1,wikidata,P,05,3,0.014951111748814583,200
virtuoso,100M,S1,wikidata,P,06,3,0.015500538051128387,200
virtuoso,100M,S1,wikidata,P,07,3,0.01705792360007763,200
virtuoso,100M,S1,wikidata,P,08,3,0.016024094074964523,200
virtuoso,100M,S1,wikidata,P,09,3,0.015881885774433613,200
virtuoso,100M,S1,wikidata,P,00,4,0.014325191266834736,200
virtuoso,100M,S1,wikidata,P,01,4,0.016193704679608345,200
virtuoso,100M,S1,wikidata,P,02,4,0.017830289900302887,200
virtuoso,100M,S1,wikidata,P,03,4,0.016315975226461887,200
virtuoso,100M,S1,wikidata,P,04,4,0.01683351956307888,200
virtuoso,100M,S1,wikidata,P,05,4,0.015641462989151478,200
virtuoso,100M,S1,wikidata,P,06,4,0.015659506432712078,200
virtuoso,100M,S1,wikidata,P,07,4,0.017116294242441654,200
virtuoso,100M,S1,wikidata,P,08,4,0.015387283638119698,200
virtuoso,100M,S1,wikidata,P,09,4,0.01584837306290865,200
virtuoso,100M,S1,wikidata,P,00,5,0.01480191107839346,200
virtuoso,100M,S1,wikidata,P,01,5,0.015970964916050434,200
virtuoso,100M,S1,wikidata,P,02,5,0.020761458203196526,200
virtuoso,100M,S1,wikidata,P,03,5,0.016394332982599735,200
virtuoso,100M,S1,wikidata,P,04,5,0.016874227672815323,200
virtuoso,100M,S1,wikidata,P,05,5,0.0157167948782444,200
virtuoso,100M,S1,wikidata,P,06,5,0.015225378796458244,200
virtuoso,100M,S1,wikidata,P,07,5,0.017051752656698227,200
virtuoso,100M,S1,wikidata,P,08,5,0.015542595647275448,200
virtuoso,100M,S1,wikidata,P,09,5,0.016105318441987038,200
