engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S2,rdf,P,00,1,0.136757,200
virtuoso,100M,S2,rdf,P,01,1,0.138722,200
virtuoso,100M,S2,rdf,P,02,1,0.121417,200
virtuoso,100M,S2,rdf,P,03,1,0.223391,200
virtuoso,100M,S2,rdf,P,04,1,0.346376,200
virtuoso,100M,S2,rdf,P,05,1,0.149546,200
virtuoso,100M,S2,rdf,P,06,1,0.563699,200
virtuoso,100M,S2,rdf,P,07,1,0.473422,200
virtuoso,100M,S2,rdf,P,08,1,0.211196,200
virtuoso,100M,S2,rdf,P,09,1,0.244248,200
virtuoso,100M,S2,rdf,P,00,2,0.135679,200
virtuoso,100M,S2,rdf,P,01,2,0.137535,200
virtuoso,100M,S2,rdf,P,02,2,0.121752,200
virtuoso,100M,S2,rdf,P,03,2,0.222363,200
virtuoso,100M,S2,rdf,P,04,2,0.343514,200
virtuoso,100M,S2,rdf,P,05,2,0.147500,200
virtuoso,100M,S2,rdf,P,06,2,0.562010,200
virtuoso,100M,S2,rdf,P,07,2,0.472484,200
virtuoso,100M,S2,rdf,P,08,2,0.199664,200
virtuoso,100M,S2,rdf,P,09,2,0.232100,200
virtuoso,100M,S2,rdf,P,00,3,0.136258,200
virtuoso,100M,S2,rdf,P,01,3,0.138667,200
virtuoso,100M,S2,rdf,P,02,3,0.114770,200
virtuoso,100M,S2,rdf,P,03,3,0.221620,200
virtuoso,100M,S2,rdf,P,04,3,0.345190,200
virtuoso,100M,S2,rdf,P,05,3,0.147711,200
virtuoso,100M,S2,rdf,P,06,3,0.562134,200
virtuoso,100M,S2,rdf,P,07,3,0.471075,200
virtuoso,100M,S2,rdf,P,08,3,0.214111,200
virtuoso,100M,S2,rdf,P,09,3,0.251841,200
virtuoso,100M,S2,rdf,P,00,4,0.137817,200
virtuoso,100M,S2,rdf,P,01,4,0.140222,200
virtuoso,100M,S2,rdf,P,02,4,0.122980,200
virtuoso,100M,S2,rdf,P,03,4,0.229186,200
virtuoso,100M,S2,rdf,P,04,4,0.350826,200
virtuoso,100M,S2,rdf,P,05,4,0.151119,200
virtuoso,100M,S2,rdf,P,06,4,0.569254,200
virtuoso,100M,S2,rdf,P,07,4,0.477193,200
virtuoso,100M,S2,rdf,P,08,4,0.213381,200
virtuoso,100M,S2,rdf,P,09,4,0.245844,200
virtuoso,100M,S2,rdf,P,00,5,0.136859,200
virtuoso,100M,S2,rdf,P,01,5,0.139724,200
virtuoso,100M,S2,rdf,P,02,5,0.121429,200
virtuoso,100M,S2,rdf,P,03,5,0.223362,200
virtuoso,100M,S2,rdf,P,04,5,0.345528,200
virtuoso,100M,S2,rdf,P,05,5,0.160494,200
virtuoso,100M,S2,rdf,P,06,5,0.577077,200
virtuoso,100M,S2,rdf,P,07,5,0.486656,200
virtuoso,100M,S2,rdf,P,08,5,0.212409,200
virtuoso,100M,S2,rdf,P,09,5,0.245329,200
