engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S4,namedgraphs,P,00,1,0.005472,200
virtuoso,100M,S4,namedgraphs,P,01,1,0.005445,200
virtuoso,100M,S4,namedgraphs,P,02,1,0.005527,200
virtuoso,100M,S4,namedgraphs,P,03,1,0.005381,200
virtuoso,100M,S4,namedgraphs,P,04,1,0.005521,200
virtuoso,100M,S4,namedgraphs,P,05,1,0.004276,200
virtuoso,100M,S4,namedgraphs,P,06,1,0.004181,200
virtuoso,100M,S4,namedgraphs,P,07,1,0.003671,200
virtuoso,100M,S4,namedgraphs,P,08,1,0.005456,200
virtuoso,100M,S4,namedgraphs,P,09,1,0.004177,200
virtuoso,100M,S4,namedgraphs,P,00,2,0.005493,200
virtuoso,100M,S4,namedgraphs,P,01,2,0.005388,200
virtuoso,100M,S4,namedgraphs,P,02,2,0.005475,200
virtuoso,100M,S4,namedgraphs,P,03,2,0.005492,200
virtuoso,100M,S4,namedgraphs,P,04,2,0.005301,200
virtuoso,100M,S4,namedgraphs,P,05,2,0.004366,200
virtuoso,100M,S4,namedgraphs,P,06,2,0.004170,200
virtuoso,100M,S4,namedgraphs,P,07,2,0.003598,200
virtuoso,100M,S4,namedgraphs,P,08,2,0.005411,200
virtuoso,100M,S4,namedgraphs,P,09,2,0.004060,200
virtuoso,100M,S4,namedgraphs,P,00,3,0.005461,200
virtuoso,100M,S4,namedgraphs,P,01,3,0.005507,200
virtuoso,100M,S4,namedgraphs,P,02,3,0.005541,200
virtuoso,100M,S4,namedgraphs,P,03,3,0.005478,200
virtuoso,100M,S4,namedgraphs,P,04,3,0.005309,200
virtuoso,100M,S4,namedgraphs,P,05,3,0.004228,200
virtuoso,100M,S4,namedgraphs,P,06,3,0.004490,200
virtuoso,100M,S4,namedgraphs,P,07,3,0.003687,200
virtuoso,100M,S4,namedgraphs,P,08,3,0.005379,200
virtuoso,100M,S4,namedgraphs,P,09,3,0.004142,200
virtuoso,100M,S4,namedgraphs,P,00,4,0.005461,200
virtuoso,100M,S4,namedgraphs,P,01,4,0.005461,200
virtuoso,100M,S4,namedgraphs,P,02,4,0.005457,200
virtuoso,100M,S4,namedgraphs,P,03,4,0.005511,200
virtuoso,100M,S4,namedgraphs,P,04,4,0.005417,200
virtuoso,100M,S4,namedgraphs,P,05,4,0.004252,200
virtuoso,100M,S4,namedgraphs,P,06,4,0.004167,200
virtuoso,100M,S4,namedgraphs,P,07,4,0.003638,200
virtuoso,100M,S4,namedgraphs,P,08,4,0.005445,200
virtuoso,100M,S4,namedgraphs,P,09,4,0.004183,200
virtuoso,100M,S4,namedgraphs,P,00,5,0.005475,200
virtuoso,100M,S4,namedgraphs,P,01,5,0.005361,200
virtuoso,100M,S4,namedgraphs,P,02,5,0.005389,200
virtuoso,100M,S4,namedgraphs,P,03,5,0.005312,200
virtuoso,100M,S4,namedgraphs,P,04,5,0.005317,200
virtuoso,100M,S4,namedgraphs,P,05,5,0.004192,200
virtuoso,100M,S4,namedgraphs,P,06,5,0.004011,200
virtuoso,100M,S4,namedgraphs,P,07,5,0.003748,200
virtuoso,100M,S4,namedgraphs,P,08,5,0.005537,200
virtuoso,100M,S4,namedgraphs,P,09,5,0.003960,200
