engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S4,rdf,B,00,1,0.014127017930150032,200
virtuoso,100M,S4,rdf,B,01,1,0.014095998369157314,200
virtuoso,100M,S4,rdf,B,02,1,0.013913066126406193,200
virtuoso,100M,S4,rdf,B,03,1,0.013856807723641396,200
virtuoso,100M,S4,rdf,B,04,1,0.013705143705010414,200
virtuoso,100M,S4,rdf,B,05,1,0.01319411862641573,200
virtuoso,100M,S4,rdf,B,06,1,0.013348029926419258,200
virtuoso,100M,S4,rdf,B,07,1,0.012994963675737381,200
virtuoso,100M,S4,rdf,B,08,1,0.013961595483124256,200
virtuoso,100M,S4,rdf,B,09,1,0.013309617526829243,200
virtuoso,100M,S4,rdf,B,00,2,0.013873069547116756,200
virtuoso,100M,S4,rdf,B,01,2,0.013994038105010986,200
virtuoso,100M,S4,rdf,B,02,2,0.013909418135881424,200
virtuoso,100M,S4,rdf,B,03,2,0.013734439387917519,200
virtuoso,100M,S4,rdf,B,04,2,0.014129984192550182,200
virtuoso,100M,S4,rdf,B,05,2,0.013838403858244419,200
virtuoso,100M,S4,rdf,B,06,2,0.013800262473523617,200
virtuoso,100M,S4,rdf,B,07,2,0.013166528195142746,200
virtuoso,100M,S4,rdf,B,08,2,0.014166423119604588,200
virtuoso,100M,S4,rdf,B,09,2,0.013718018308281898,200
virtuoso,100M,S4,rdf,B,00,3,0.013972638174891472,200
virtuoso,100M,S4,rdf,B,01,3,0.013925799168646336,200
virtuoso,100M,S4,rdf,B,02,3,0.014059120789170265,200
virtuoso,100M,S4,rdf,B,03,3,0.013814699836075306,200
virtuoso,100M,S4,rdf,B,04,3,0.013671559281647205,200
virtuoso,100M,S4,rdf,B,05,3,0.013395669870078564,200
virtuoso,100M,S4,rdf,B,06,3,0.013696035370230675,200
virtuoso,100M,S4,rdf,B,07,3,0.01348549872636795,200
virtuoso,100M,S4,rdf,B,08,3,0.014230574481189251,200
virtuoso,100M,S4,rdf,B,09,3,0.01387960184365511,200
virtuoso,100M,S4,rdf,B,00,4,0.013785003684461117,200
virtuoso,100M,S4,rdf,B,01,4,0.01421077735722065,200
virtuoso,100M,S4,rdf,B,02,4,0.014083786867558956,200
virtuoso,100M,S4,rdf,B,03,4,0.013817094266414642,200
virtuoso,100M,S4,rdf,B,04,4,0.014086252078413963,200
virtuoso,100M,S4,rdf,B,05,4,0.013796004466712475,200
virtuoso,100M,S4,rdf,B,06,4,0.01360455434769392,200
virtuoso,100M,S4,rdf,B,07,4,0.013132333755493164,200
virtuoso,100M,S4,rdf,B,08,4,0.014073948375880718,200
virtuoso,100M,S4,rdf,B,09,4,0.013604123145341873,200
virtuoso,100M,S4,rdf,B,00,5,0.013935907743871212,200
virtuoso,100M,S4,rdf,B,01,5,0.013822895474731922,200
virtuoso,100M,S4,rdf,B,02,5,0.01384108979254961,200
virtuoso,100M,S4,rdf,B,03,5,0.014219612814486027,200
virtuoso,100M,S4,rdf,B,04,5,0.014278274029493332,200
virtuoso,100M,S4,rdf,B,05,5,0.013335787691175938,200
virtuoso,100M,S4,rdf,B,06,5,0.013595315627753735,200
virtuoso,100M,S4,rdf,B,07,5,0.013199761509895325,200
virtuoso,100M,S4,rdf,B,08,5,0.014082955196499825,200
virtuoso,100M,S4,rdf,B,09,5,0.013493574224412441,200
