engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S5,wikidata,R,00,1,0.015861,200
virtuoso,100M,S5,wikidata,R,01,1,0.011742,200
virtuoso,100M,S5,wikidata,R,00,2,0.014032,200
virtuoso,100M,S5,wikidata,R,01,2,0.011830,200
virtuoso,100M,S5,wikidata,R,00,3,0.013868,200
virtuoso,100M,S5,wikidata,R,01,3,0.011921,200
virtuoso,100M,S5,wikidata,R,00,4,0.013922,200
virtuoso,100M,S5,wikidata,R,01,4,0.011872,200
virtuoso,100M,S5,wikidata,R,00,5,0.013710,200
virtuoso,100M,S5,wikidata,R,01,5,0.013751,200
