engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,100M,S7,namedgraphs,B,00,1,0.001288,200
virtuoso,100M,S7,namedgraphs,B,01,1,0.001283,200
virtuoso,100M,S7,namedgraphs,B,02,1,0.001195,200
virtuoso,100M,S7,namedgraphs,B,03,1,0.001386,200
virtuoso,100M,S7,namedgraphs,B,04,1,0.001444,200
virtuoso,100M,S7,namedgraphs,B,05,1,0.001563,200
virtuoso,100M,S7,namedgraphs,B,06,1,0.001718,200
virtuoso,100M,S7,namedgraphs,B,07,1,0.001499,200
virtuoso,100M,S7,namedgraphs,B,08,1,0.001634,200
virtuoso,100M,S7,namedgraphs,B,09,1,0.001494,200
virtuoso,100M,S7,namedgraphs,B,00,2,0.001518,200
virtuoso,100M,S7,namedgraphs,B,01,2,0.001464,200
virtuoso,100M,S7,namedgraphs,B,02,2,0.001332,200
virtuoso,100M,S7,namedgraphs,B,03,2,0.001319,200
virtuoso,100M,S7,namedgraphs,B,04,2,0.001295,200
virtuoso,100M,S7,namedgraphs,B,05,2,0.001447,200
virtuoso,100M,S7,namedgraphs,B,06,2,0.001400,200
virtuoso,100M,S7,namedgraphs,B,07,2,0.001376,200
virtuoso,100M,S7,namedgraphs,B,08,2,0.001464,200
virtuoso,100M,S7,namedgraphs,B,09,2,0.001695,200
virtuoso,100M,S7,namedgraphs,B,00,3,0.001463,200
virtuoso,100M,S7,namedgraphs,B,01,3,0.001418,200
virtuoso,100M,S7,namedgraphs,B,02,3,0.001439,200
virtuoso,100M,S7,namedgraphs,B,03,3,0.001540,200
virtuoso,100M,S7,namedgraphs,B,04,3,0.001451,200
virtuoso,100M,S7,namedgraphs,B,05,3,0.001570,200
virtuoso,100M,S7,namedgraphs,B,06,3,0.001526,200
virtuoso,100M,S7,namedgraphs,B,07,3,0.001512,200
virtuoso,100M,S7,namedgraphs,B,08,3,0.001473,200
virtuoso,100M,S7,namedgraphs,B,09,3,0.001622,200
virtuoso,100M,S7,namedgraphs,B,00,4,0.001394,200
virtuoso,100M,S7,namedgraphs,B,01,4,0.001422,200
virtuoso,100M,S7,namedgraphs,B,02,4,0.001330,200
virtuoso,100M,S7,namedgraphs,B,03,4,0.001553,200
virtuoso,100M,S7,namedgraphs,B,04,4,0.001384,200
virtuoso,100M,S7,namedgraphs,B,05,4,0.001604,200
virtuoso,100M,S7,namedgraphs,B,06,4,0.001618,200
virtuoso,100M,S7,namedgraphs,B,07,4,0.001535,200
virtuoso,100M,S7,namedgraphs,B,08,4,0.001379,200
virtuoso,100M,S7,namedgraphs,B,09,4,0.001769,200
virtuoso,100M,S7,namedgraphs,B,00,5,0.001374,200
virtuoso,100M,S7,namedgraphs,B,01,5,0.001451,200
virtuoso,100M,S7,namedgraphs,B,02,5,0.001351,200
virtuoso,100M,S7,namedgraphs,B,03,5,0.001648,200
virtuoso,100M,S7,namedgraphs,B,04,5,0.001346,200
virtuoso,100M,S7,namedgraphs,B,05,5,0.001668,200
virtuoso,100M,S7,namedgraphs,B,06,5,0.001592,200
virtuoso,100M,S7,namedgraphs,B,07,5,0.001492,200
virtuoso,100M,S7,namedgraphs,B,08,5,0.001487,200
virtuoso,100M,S7,namedgraphs,B,09,5,0.001570,200
