engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso,10M,S5,rdf,R,00,1,0.017301764339208603,200
virtuoso,10M,S5,rdf,R,01,1,0.01664498634636402,200
virtuoso,10M,S5,rdf,R,00,2,0.017339525744318962,200
virtuoso,10M,S5,rdf,R,01,2,0.01635129190981388,200
virtuoso,10M,S5,rdf,R,00,3,0.017652535811066628,200
virtuoso,10M,S5,rdf,R,01,3,0.01637640781700611,200
virtuoso,10M,S5,rdf,R,00,4,0.01760777086019516,200
virtuoso,10M,S5,rdf,R,01,4,0.016023101285099983,200
virtuoso,10M,S5,rdf,R,00,5,0.016858568415045738,200
virtuoso,10M,S5,rdf,R,01,5,0.016012443229556084,200
