engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-curl,100M,F4,namedgraphs,P,00,1,0.054106,200
virtuoso-curl,100M,F4,namedgraphs,P,01,1,0.065565,200
virtuoso-curl,100M,F4,namedgraphs,P,02,1,0.058941,200
virtuoso-curl,100M,F4,namedgraphs,P,03,1,0.045944,200
virtuoso-curl,100M,F4,namedgraphs,P,04,1,0.106254,200
virtuoso-curl,100M,F4,namedgraphs,P,05,1,0.048280,200
virtuoso-curl,100M,F4,namedgraphs,P,06,1,0.094940,200
virtuoso-curl,100M,F4,namedgraphs,P,07,1,0.047968,200
virtuoso-curl,100M,F4,namedgraphs,P,08,1,0.057993,200
virtuoso-curl,100M,F4,namedgraphs,P,09,1,0.064178,200
virtuoso-curl,100M,F4,namedgraphs,P,00,2,0.054750,200
virtuoso-curl,100M,F4,namedgraphs,P,01,2,0.065455,200
virtuoso-curl,100M,F4,namedgraphs,P,02,2,0.059102,200
virtuoso-curl,100M,F4,namedgraphs,P,03,2,0.046167,200
virtuoso-curl,100M,F4,namedgraphs,P,04,2,0.071307,200
virtuoso-curl,100M,F4,namedgraphs,P,05,2,0.048479,200
virtuoso-curl,100M,F4,namedgraphs,P,06,2,0.093260,200
virtuoso-curl,100M,F4,namedgraphs,P,07,2,0.046200,200
virtuoso-curl,100M,F4,namedgraphs,P,08,2,0.059045,200
virtuoso-curl,100M,F4,namedgraphs,P,09,2,0.063283,200
virtuoso-curl,100M,F4,namedgraphs,P,00,3,0.061927,200
virtuoso-curl,100M,F4,namedgraphs,P,01,3,0.065892,200
virtuoso-curl,100M,F4,namedgraphs,P,02,3,0.059432,200
virtuoso-curl,100M,F4,namedgraphs,P,03,3,0.046857,200
virtuoso-curl,100M,F4,namedgraphs,P,04,3,0.075235,200
virtuoso-curl,100M,F4,namedgraphs,P,05,3,0.049979,200
virtuoso-curl,100M,F4,namedgraphs,P,06,3,0.095293,200
virtuoso-curl,100M,F4,namedgraphs,P,07,3,0.048653,200
virtuoso-curl,100M,F4,namedgraphs,P,08,3,0.058617,200
virtuoso-curl,100M,F4,namedgraphs,P,09,3,0.064717,200
virtuoso-curl,100M,F4,namedgraphs,P,00,4,0.055329,200
virtuoso-curl,100M,F4,namedgraphs,P,01,4,0.076986,200
virtuoso-curl,100M,F4,namedgraphs,P,02,4,0.059678,200
virtuoso-curl,100M,F4,namedgraphs,P,03,4,0.046427,200
virtuoso-curl,100M,F4,namedgraphs,P,04,4,0.070342,200
virtuoso-curl,100M,F4,namedgraphs,P,05,4,0.047763,200
virtuoso-curl,100M,F4,namedgraphs,P,06,4,0.095277,200
virtuoso-curl,100M,F4,namedgraphs,P,07,4,0.048354,200
virtuoso-curl,100M,F4,namedgraphs,P,08,4,0.058380,200
virtuoso-curl,100M,F4,namedgraphs,P,09,4,0.064534,200
virtuoso-curl,100M,F4,namedgraphs,P,00,5,0.054425,200
virtuoso-curl,100M,F4,namedgraphs,P,01,5,0.065557,200
virtuoso-curl,100M,F4,namedgraphs,P,02,5,0.058477,200
virtuoso-curl,100M,F4,namedgraphs,P,03,5,0.047057,200
virtuoso-curl,100M,F4,namedgraphs,P,04,5,0.071619,200
virtuoso-curl,100M,F4,namedgraphs,P,05,5,0.048550,200
virtuoso-curl,100M,F4,namedgraphs,P,06,5,0.150388,200
virtuoso-curl,100M,F4,namedgraphs,P,07,5,0.048271,200
virtuoso-curl,100M,F4,namedgraphs,P,08,5,0.058736,200
virtuoso-curl,100M,F4,namedgraphs,P,09,5,0.064201,200
