engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-curl,100M,L5,namedgraphs,P,00,1,0.034300,200
virtuoso-curl,100M,L5,namedgraphs,P,01,1,0.165579,200
virtuoso-curl,100M,L5,namedgraphs,P,02,1,0.164502,200
virtuoso-curl,100M,L5,namedgraphs,P,03,1,0.088106,200
virtuoso-curl,100M,L5,namedgraphs,P,04,1,0.030086,200
virtuoso-curl,100M,L5,namedgraphs,P,05,1,0.063442,200
virtuoso-curl,100M,L5,namedgraphs,P,06,1,0.164664,200
virtuoso-curl,100M,L5,namedgraphs,P,07,1,0.165453,200
virtuoso-curl,100M,L5,namedgraphs,P,08,1,0.164444,200
virtuoso-curl,100M,L5,namedgraphs,P,09,1,0.087168,200
virtuoso-curl,100M,L5,namedgraphs,P,00,2,0.034187,200
virtuoso-curl,100M,L5,namedgraphs,P,01,2,0.244570,200
virtuoso-curl,100M,L5,namedgraphs,P,02,2,0.164715,200
virtuoso-curl,100M,L5,namedgraphs,P,03,2,0.088200,200
virtuoso-curl,100M,L5,namedgraphs,P,04,2,0.030641,200
virtuoso-curl,100M,L5,namedgraphs,P,05,2,0.062766,200
virtuoso-curl,100M,L5,namedgraphs,P,06,2,0.164733,200
virtuoso-curl,100M,L5,namedgraphs,P,07,2,0.165055,200
virtuoso-curl,100M,L5,namedgraphs,P,08,2,0.233645,200
virtuoso-curl,100M,L5,namedgraphs,P,09,2,0.089045,200
virtuoso-curl,100M,L5,namedgraphs,P,00,3,0.077466,200
virtuoso-curl,100M,L5,namedgraphs,P,01,3,0.165314,200
virtuoso-curl,100M,L5,namedgraphs,P,02,3,0.164030,200
virtuoso-curl,100M,L5,namedgraphs,P,03,3,0.088640,200
virtuoso-curl,100M,L5,namedgraphs,P,04,3,0.030792,200
virtuoso-curl,100M,L5,namedgraphs,P,05,3,0.062522,200
virtuoso-curl,100M,L5,namedgraphs,P,06,3,0.200481,200
virtuoso-curl,100M,L5,namedgraphs,P,07,3,0.164817,200
virtuoso-curl,100M,L5,namedgraphs,P,08,3,0.165528,200
virtuoso-curl,100M,L5,namedgraphs,P,09,3,0.088874,200
virtuoso-curl,100M,L5,namedgraphs,P,00,4,0.077716,200
virtuoso-curl,100M,L5,namedgraphs,P,01,4,0.164668,200
virtuoso-curl,100M,L5,namedgraphs,P,02,4,0.206400,200
virtuoso-curl,100M,L5,namedgraphs,P,03,4,0.087174,200
virtuoso-curl,100M,L5,namedgraphs,P,04,4,0.031520,200
virtuoso-curl,100M,L5,namedgraphs,P,05,4,0.062552,200
virtuoso-curl,100M,L5,namedgraphs,P,06,4,0.165517,200
virtuoso-curl,100M,L5,namedgraphs,P,07,4,0.164172,200
virtuoso-curl,100M,L5,namedgraphs,P,08,4,0.161432,200
virtuoso-curl,100M,L5,namedgraphs,P,09,4,0.112037,200
virtuoso-curl,100M,L5,namedgraphs,P,00,5,0.077310,200
virtuoso-curl,100M,L5,namedgraphs,P,01,5,0.165004,200
virtuoso-curl,100M,L5,namedgraphs,P,02,5,0.164065,200
virtuoso-curl,100M,L5,namedgraphs,P,03,5,0.088934,200
virtuoso-curl,100M,L5,namedgraphs,P,04,5,0.030769,200
virtuoso-curl,100M,L5,namedgraphs,P,05,5,0.062734,200
virtuoso-curl,100M,L5,namedgraphs,P,06,5,0.164098,200
virtuoso-curl,100M,L5,namedgraphs,P,07,5,0.245591,200
virtuoso-curl,100M,L5,namedgraphs,P,08,5,0.164560,200
virtuoso-curl,100M,L5,namedgraphs,P,09,5,0.088338,200
