engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-curl,100M,S6,namedgraphs,P,00,1,0.001930,200
virtuoso-curl,100M,S6,namedgraphs,P,01,1,0.004947,200
virtuoso-curl,100M,S6,namedgraphs,P,02,1,0.005427,200
virtuoso-curl,100M,S6,namedgraphs,P,03,1,0.009467,200
virtuoso-curl,100M,S6,namedgraphs,P,04,1,0.003800,200
virtuoso-curl,100M,S6,namedgraphs,P,05,1,0.007023,200
virtuoso-curl,100M,S6,namedgraphs,P,06,1,0.005382,200
virtuoso-curl,100M,S6,namedgraphs,P,07,1,0.009770,200
virtuoso-curl,100M,S6,namedgraphs,P,08,1,0.002112,200
virtuoso-curl,100M,S6,namedgraphs,P,09,1,0.007443,200
virtuoso-curl,100M,S6,namedgraphs,P,00,2,0.001605,200
virtuoso-curl,100M,S6,namedgraphs,P,01,2,0.004680,200
virtuoso-curl,100M,S6,namedgraphs,P,02,2,0.005210,200
virtuoso-curl,100M,S6,namedgraphs,P,03,2,0.009253,200
virtuoso-curl,100M,S6,namedgraphs,P,04,2,0.003674,200
virtuoso-curl,100M,S6,namedgraphs,P,05,2,0.006794,200
virtuoso-curl,100M,S6,namedgraphs,P,06,2,0.005187,200
virtuoso-curl,100M,S6,namedgraphs,P,07,2,0.009602,200
virtuoso-curl,100M,S6,namedgraphs,P,08,2,0.002188,200
virtuoso-curl,100M,S6,namedgraphs,P,09,2,0.007668,200
virtuoso-curl,100M,S6,namedgraphs,P,00,3,0.001662,200
virtuoso-curl,100M,S6,namedgraphs,P,01,3,0.004924,200
virtuoso-curl,100M,S6,namedgraphs,P,02,3,0.005477,200
virtuoso-curl,100M,S6,namedgraphs,P,03,3,0.009696,200
virtuoso-curl,100M,S6,namedgraphs,P,04,3,0.003906,200
virtuoso-curl,100M,S6,namedgraphs,P,05,3,0.006891,200
virtuoso-curl,100M,S6,namedgraphs,P,06,3,0.005122,200
virtuoso-curl,100M,S6,namedgraphs,P,07,3,0.009537,200
virtuoso-curl,100M,S6,namedgraphs,P,08,3,0.002164,200
virtuoso-curl,100M,S6,namedgraphs,P,09,3,0.007711,200
virtuoso-curl,100M,S6,namedgraphs,P,00,4,0.001969,200
virtuoso-curl,100M,S6,namedgraphs,P,01,4,0.005026,200
virtuoso-curl,100M,S6,namedgraphs,P,02,4,0.005503,200
virtuoso-curl,100M,S6,namedgraphs,P,03,4,0.009288,200
virtuoso-curl,100M,S6,namedgraphs,P,04,4,0.003634,200
virtuoso-curl,100M,S6,namedgraphs,P,05,4,0.006866,200
virtuoso-curl,100M,S6,namedgraphs,P,06,4,0.005149,200
virtuoso-curl,100M,S6,namedgraphs,P,07,4,0.009651,200
virtuoso-curl,100M,S6,namedgraphs,P,08,4,0.001898,200
virtuoso-curl,100M,S6,namedgraphs,P,09,4,0.007439,200
virtuoso-curl,100M,S6,namedgraphs,P,00,5,0.001741,200
virtuoso-curl,100M,S6,namedgraphs,P,01,5,0.004970,200
virtuoso-curl,100M,S6,namedgraphs,P,02,5,0.005309,200
virtuoso-curl,100M,S6,namedgraphs,P,03,5,0.009479,200
virtuoso-curl,100M,S6,namedgraphs,P,04,5,0.003808,200
virtuoso-curl,100M,S6,namedgraphs,P,05,5,0.007122,200
virtuoso-curl,100M,S6,namedgraphs,P,06,5,0.005337,200
virtuoso-curl,100M,S6,namedgraphs,P,07,5,0.009876,200
virtuoso-curl,100M,S6,namedgraphs,P,08,5,0.002141,200
virtuoso-curl,100M,S6,namedgraphs,P,09,5,0.007494,200
