engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-ram,100M,F3,namedgraphs,P,00,1,2.5023092851042747,200
virtuoso-ram,100M,F3,namedgraphs,P,01,1,0.06539848633110523,200
virtuoso-ram,100M,F3,namedgraphs,P,02,1,0.07464994676411152,200
virtuoso-ram,100M,F3,namedgraphs,P,03,1,0.05044271796941757,200
virtuoso-ram,100M,F3,namedgraphs,P,04,1,0.21458564139902592,200
virtuoso-ram,100M,F3,namedgraphs,P,05,1,0.2345218937844038,200
virtuoso-ram,100M,F3,namedgraphs,P,06,1,0.21480721980333328,200
virtuoso-ram,100M,F3,namedgraphs,P,07,1,0.025469105690717697,200
virtuoso-ram,100M,F3,namedgraphs,P,08,1,0.2339061200618744,200
virtuoso-ram,100M,F3,namedgraphs,P,09,1,0.0756881944835186,200
virtuoso-ram,100M,F3,namedgraphs,P,00,2,0.06448058411478996,200
virtuoso-ram,100M,F3,namedgraphs,P,01,2,0.07080321945250034,200
virtuoso-ram,100M,F3,namedgraphs,P,02,2,0.07081296853721142,200
virtuoso-ram,100M,F3,namedgraphs,P,03,2,0.046013133600354195,200
virtuoso-ram,100M,F3,namedgraphs,P,04,2,0.21113328263163567,200
virtuoso-ram,100M,F3,namedgraphs,P,05,2,0.2331270519644022,200
virtuoso-ram,100M,F3,namedgraphs,P,06,2,0.2119455523788929,200
virtuoso-ram,100M,F3,namedgraphs,P,07,2,0.019311964511871338,200
virtuoso-ram,100M,F3,namedgraphs,P,08,2,0.22473382204771042,200
virtuoso-ram,100M,F3,namedgraphs,P,09,2,0.07094207219779491,200
virtuoso-ram,100M,F3,namedgraphs,P,00,3,0.06591029092669487,200
virtuoso-ram,100M,F3,namedgraphs,P,01,3,0.06452795676887035,200
virtuoso-ram,100M,F3,namedgraphs,P,02,3,0.08306148834526539,200
virtuoso-ram,100M,F3,namedgraphs,P,03,3,0.04610474780201912,200
virtuoso-ram,100M,F3,namedgraphs,P,04,3,0.21080002188682556,200
virtuoso-ram,100M,F3,namedgraphs,P,05,3,0.23135225474834442,200
virtuoso-ram,100M,F3,namedgraphs,P,06,3,0.20918993651866913,200
virtuoso-ram,100M,F3,namedgraphs,P,07,3,0.019838355481624603,200
virtuoso-ram,100M,F3,namedgraphs,P,08,3,0.22684005461633205,200
virtuoso-ram,100M,F3,namedgraphs,P,09,3,0.0696265883743763,200
virtuoso-ram,100M,F3,namedgraphs,P,00,4,0.06554041430354118,200
virtuoso-ram,100M,F3,namedgraphs,P,01,4,0.06376537680625916,200
virtuoso-ram,100M,F3,namedgraphs,P,02,4,0.07114569284021854,200
virtuoso-ram,100M,F3,namedgraphs,P,03,4,0.04555676504969597,200
virtuoso-ram,100M,F3,namedgraphs,P,04,4,0.3342477213591337,200
virtuoso-ram,100M,F3,namedgraphs,P,05,4,0.23247048258781433,200
virtuoso-ram,100M,F3,namedgraphs,P,06,4,0.21275946870446205,200
virtuoso-ram,100M,F3,namedgraphs,P,07,4,0.018854821100831032,200
virtuoso-ram,100M,F3,namedgraphs,P,08,4,0.22641154378652573,200
virtuoso-ram,100M,F3,namedgraphs,P,09,4,0.07057869620621204,200
virtuoso-ram,100M,F3,namedgraphs,P,00,5,0.0634903647005558,200
virtuoso-ram,100M,F3,namedgraphs,P,01,5,0.06479923613369465,200
virtuoso-ram,100M,F3,namedgraphs,P,02,5,0.07070610485970974,200
virtuoso-ram,100M,F3,namedgraphs,P,03,5,0.04599634371697903,200
virtuoso-ram,100M,F3,namedgraphs,P,04,5,0.21167702786624432,200
virtuoso-ram,100M,F3,namedgraphs,P,05,5,0.34177560918033123,200
virtuoso-ram,100M,F3,namedgraphs,P,06,5,0.21278409659862518,200
virtuoso-ram,100M,F3,namedgraphs,P,07,5,0.0191261637955904,200
virtuoso-ram,100M,F3,namedgraphs,P,08,5,0.22562750801444054,200
virtuoso-ram,100M,F3,namedgraphs,P,09,5,0.07103476487100124,200
