engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-ram,100M,L5,namedgraphs,P,00,1,2.449306759983301,200
virtuoso-ram,100M,L5,namedgraphs,P,01,1,0.26168092526495457,200
virtuoso-ram,100M,L5,namedgraphs,P,02,1,0.2657248228788376,200
virtuoso-ram,100M,L5,namedgraphs,P,03,1,0.14004016481339931,200
virtuoso-ram,100M,L5,namedgraphs,P,04,1,0.04453565739095211,200
virtuoso-ram,100M,L5,namedgraphs,P,05,1,0.09558381885290146,200
virtuoso-ram,100M,L5,namedgraphs,P,06,1,0.2615853976458311,200
virtuoso-ram,100M,L5,namedgraphs,P,07,1,0.2629341408610344,200
virtuoso-ram,100M,L5,namedgraphs,P,08,1,0.26350441575050354,200
virtuoso-ram,100M,L5,namedgraphs,P,09,1,0.13846361078321934,200
virtuoso-ram,100M,L5,namedgraphs,P,00,2,0.04813225008547306,200
virtuoso-ram,100M,L5,namedgraphs,P,01,2,0.34140797704458237,200
virtuoso-ram,100M,L5,namedgraphs,P,02,2,0.2596560884267092,200
virtuoso-ram,100M,L5,namedgraphs,P,03,2,0.13715540431439877,200
virtuoso-ram,100M,L5,namedgraphs,P,04,2,0.04281974211335182,200
virtuoso-ram,100M,L5,namedgraphs,P,05,2,0.09409619309008121,200
virtuoso-ram,100M,L5,namedgraphs,P,06,2,0.2602658588439226,200
virtuoso-ram,100M,L5,namedgraphs,P,07,2,0.26160094887018204,200
virtuoso-ram,100M,L5,namedgraphs,P,08,2,0.32946490310132504,200
virtuoso-ram,100M,L5,namedgraphs,P,09,2,0.1372541729360819,200
virtuoso-ram,100M,L5,namedgraphs,P,00,3,0.046728672459721565,200
virtuoso-ram,100M,L5,namedgraphs,P,01,3,0.2644747067242861,200
virtuoso-ram,100M,L5,namedgraphs,P,02,3,0.26237220130860806,200
virtuoso-ram,100M,L5,namedgraphs,P,03,3,0.1363654639571905,200
virtuoso-ram,100M,L5,namedgraphs,P,04,3,0.04253213666379452,200
virtuoso-ram,100M,L5,namedgraphs,P,05,3,0.0918310284614563,200
virtuoso-ram,100M,L5,namedgraphs,P,06,3,0.29874615743756294,200
virtuoso-ram,100M,L5,namedgraphs,P,07,3,0.262507114559412,200
virtuoso-ram,100M,L5,namedgraphs,P,08,3,0.26153725758194923,200
virtuoso-ram,100M,L5,namedgraphs,P,09,3,0.1385185830295086,200
virtuoso-ram,100M,L5,namedgraphs,P,00,4,0.047362254932522774,200
virtuoso-ram,100M,L5,namedgraphs,P,01,4,0.2626889608800411,200
virtuoso-ram,100M,L5,namedgraphs,P,02,4,0.3066011406481266,200
virtuoso-ram,100M,L5,namedgraphs,P,03,4,0.1384640745818615,200
virtuoso-ram,100M,L5,namedgraphs,P,04,4,0.04190640151500702,200
virtuoso-ram,100M,L5,namedgraphs,P,05,4,0.09275022335350513,200
virtuoso-ram,100M,L5,namedgraphs,P,06,4,0.25998375564813614,200
virtuoso-ram,100M,L5,namedgraphs,P,07,4,0.25928301736712456,200
virtuoso-ram,100M,L5,namedgraphs,P,08,4,0.259604562073946,200
virtuoso-ram,100M,L5,namedgraphs,P,09,4,0.16422432847321033,200
virtuoso-ram,100M,L5,namedgraphs,P,00,5,0.047153063118457794,200
virtuoso-ram,100M,L5,namedgraphs,P,01,5,0.2588976062834263,200
virtuoso-ram,100M,L5,namedgraphs,P,02,5,0.2610888537019491,200
virtuoso-ram,100M,L5,namedgraphs,P,03,5,0.136531388387084,200
virtuoso-ram,100M,L5,namedgraphs,P,04,5,0.04121247120201588,200
virtuoso-ram,100M,L5,namedgraphs,P,05,5,0.09424177557229996,200
virtuoso-ram,100M,L5,namedgraphs,P,06,5,0.2605890780687332,200
virtuoso-ram,100M,L5,namedgraphs,P,07,5,0.34337220527231693,200
virtuoso-ram,100M,L5,namedgraphs,P,08,5,0.2606775462627411,200
virtuoso-ram,100M,L5,namedgraphs,P,09,5,0.13959774002432823,200
