engine,size,template,scheme,mode,query_id,repetition,time,status
virtuoso-ram,100M,S6,namedgraphs,P,00,1,2.423619467765093,200
virtuoso-ram,100M,S6,namedgraphs,P,01,1,0.008044620975852013,200
virtuoso-ram,100M,S6,namedgraphs,P,02,1,0.00825306586921215,200
virtuoso-ram,100M,S6,namedgraphs,P,03,1,0.013436809182167053,200
virtuoso-ram,100M,S6,namedgraphs,P,04,1,0.006098980084061623,200
virtuoso-ram,100M,S6,namedgraphs,P,05,1,0.010026594623923302,200
virtuoso-ram,100M,S6,namedgraphs,P,06,1,0.00780300609767437,200
virtuoso-ram,100M,S6,namedgraphs,P,07,1,0.013945749029517174,200
virtuoso-ram,100M,S6,namedgraphs,P,08,1,0.0046163201332092285,200
virtuoso-ram,100M,S6,namedgraphs,P,09,1,0.011037399992346764,200
virtuoso-ram,100M,S6,namedgraphs,P,00,2,0.0022932756692171097,200
virtuoso-ram,100M,S6,namedgraphs,P,01,2,0.005641961470246315,200
virtuoso-ram,100M,S6,namedgraphs,P,02,2,0.006309719756245613,200
virtuoso-ram,100M,S6,namedgraphs,P,03,2,0.011526525020599365,200
virtuoso-ram,100M,S6,namedgraphs,P,04,2,0.004534918814897537,200
virtuoso-ram,100M,S6,namedgraphs,P,05,2,0.008098412305116653,200
virtuoso-ram,100M,S6,namedgraphs,P,06,2,0.006024347618222237,200
virtuoso-ram,100M,S6,namedgraphs,P,07,2,0.012197950854897499,200
virtuoso-ram,100M,S6,namedgraphs,P,08,2,0.0025919992476701736,200
virtuoso-ram,100M,S6,namedgraphs,P,09,2,0.008908150717616081,200
virtuoso-ram,100M,S6,namedgraphs,P,00,3,0.00243213027715683,200
virtuoso-ram,100M,S6,namedgraphs,P,01,3,0.005542980507016182,200
virtuoso-ram,100M,S6,namedgraphs,P,02,3,0.006199100986123085,200
virtuoso-ram,100M,S6,namedgraphs,P,03,3,0.01177988015115261,200
virtuoso-ram,100M,S6,namedgraphs,P,04,3,0.004289727658033371,200
virtuoso-ram,100M,S6,namedgraphs,P,05,3,0.008137037977576256,200
virtuoso-ram,100M,S6,namedgraphs,P,06,3,0.006023447960615158,200
virtuoso-ram,100M,S6,namedgraphs,P,07,3,0.011622034013271332,200
virtuoso-ram,100M,S6,namedgraphs,P,08,3,0.0029571298509836197,200
virtuoso-ram,100M,S6,namedgraphs,P,09,3,0.008839702233672142,200
virtuoso-ram,100M,S6,namedgraphs,P,00,4,0.002386614680290222,200
virtuoso-ram,100M,S6,namedgraphs,P,01,4,0.00584760308265686,200
virtuoso-ram,100M,S6,namedgraphs,P,02,4,0.00634581595659256,200
virtuoso-ram,100M,S6,namedgraphs,P,03,4,0.011605601757764816,200
virtuoso-ram,100M,S6,namedgraphs,P,04,4,0.004512608051300049,200
virtuoso-ram,100M,S6,namedgraphs,P,05,4,0.008166352286934853,200
virtuoso-ram,100M,S6,namedgraphs,P,06,4,0.00603560172021389,200
virtuoso-ram,100M,S6,namedgraphs,P,07,4,0.011764921247959137,200
virtuoso-ram,100M,S6,namedgraphs,P,08,4,0.0026966314762830734,200
virtuoso-ram,100M,S6,namedgraphs,P,09,4,0.00921127200126648,200
virtuoso-ram,100M,S6,namedgraphs,P,00,5,0.0022253599017858505,200
virtuoso-ram,100M,S6,namedgraphs,P,01,5,0.0057779643684625626,200
virtuoso-ram,100M,S6,namedgraphs,P,02,5,0.0064191147685050964,200
virtuoso-ram,100M,S6,namedgraphs,P,03,5,0.01149163581430912,200
virtuoso-ram,100M,S6,namedgraphs,P,04,5,0.004477407783269882,200
virtuoso-ram,100M,S6,namedgraphs,P,05,5,0.008191559463739395,200
virtuoso-ram,100M,S6,namedgraphs,P,06,5,0.005889123305678368,200
virtuoso-ram,100M,S6,namedgraphs,P,07,5,0.011767014861106873,200
virtuoso-ram,100M,S6,namedgraphs,P,08,5,0.0030105914920568466,200
virtuoso-ram,100M,S6,namedgraphs,P,09,5,0.008881449699401855,200
